,ticker,company,end_date,form,filed,cash_usd_m,long_term_debt,net_income_usd_m,operating_income_usd_m,revenue,revenue_alt,shares_outstanding,stockholders_equity_usd_m,total_assets_usd_m
1970-01-01 00:00:00.000000012,AMGN,AMGEN INC,2009-12-31,10-K,2013-02-27,2884.0,10601000000.0,4605.0,5506.0,14642000000.0,,995000000.0,22667.0,39629.0
1970-01-01 00:00:00.000000022,AMGN,AMGEN INC,2010-12-31,10-K,2014-02-24,3287.0,13362000000.0,4627.0,5545.0,15053000000.0,,932100000.0,23944.0,43486.0
1970-01-01 00:00:00.000000032,AMGN,AMGEN INC,2011-12-31,10-K,2015-02-19,6946.0,21428000000.0,3683.0,4312.0,15582000000.0,,795600000.0,19029.0,48871.0
1970-01-01 00:00:00.000000042,AMGN,AMGEN INC,2012-12-31,10-K,2016-02-16,3257.0,26529000000.0,4345.0,5577.0,17265000000.0,,756300000.0,19060.0,54298.0
1970-01-01 00:00:00.000000052,AMGN,AMGEN INC,2013-12-31,10-K,2017-02-14,3805.0,32128000000.0,5081.0,5867.0,18676000000.0,,754600000.0,22096.0,66125.0
1970-01-01 00:00:00.000000062,AMGN,AMGEN INC,2014-12-31,10-K,2018-02-13,3731.0,30715000000.0,5158.0,6191.0,20063000000.0,,760400000.0,25778.0,69009.0
1970-01-01 00:00:00.000000072,AMGN,AMGEN INC,2015-12-31,10-K,2019-02-13,4144.0,31429000000.0,6939.0,8470.0,21662000000.0,,754000000.0,28083.0,71449.0
1970-01-01 00:00:00.000000082,AMGN,AMGEN INC,2016-12-31,10-K,2020-02-12,3241.0,34596000000.0,7722.0,9794.0,22991000000.0,,738200000.0,29875.0,77626.0
1970-01-01 00:00:00.000000092,AMGN,AMGEN INC,2017-12-31,10-K,2021-02-09,3800.0,35342000000.0,1979.0,9973.0,22849000000.0,,722200000.0,25241.0,79954.0
1970-01-01 00:00:00.000000102,AMGN,AMGEN INC,2018-12-31,10-K,2022-02-16,6945.0,33929000000.0,8394.0,10263.0,23747000000.0,,629600000.0,12500.0,66416.0
1970-01-01 00:00:00.000000112,AMGN,AMGEN INC,2019-12-31,10-K,2023-02-09,6037.0,29903000000.0,7842.0,9674.0,23362000000.0,23362000000.0,591400000.0,9673.0,59707.0
1970-01-01 00:00:00.000000119,AMGN,AMGEN INC,2020-12-31,10-K,2024-02-14,6266.0,32986000000.0,7264.0,9139.0,,25424000000.0,578300000.0,9409.0,62948.0
1970-01-01 00:00:00.000000123,AMGN,AMGEN INC,2021-12-31,10-K,2025-02-14,7989.0,33309000000.0,5893.0,7639.0,,25979000000.0,558300000.0,6700.0,61165.0
1970-01-01 00:00:00.000000127,AMGN,AMGEN INC,2022-12-31,10-K,2026-02-13,7629.0,38945000000.0,6552.0,9566.0,,26323000000.0,534000000.0,3661.0,65121.0
1970-01-01 00:00:00.000000130,AMGN,AMGEN INC,2023-12-31,10-K,2026-02-13,10944.0,64613000000.0,6717.0,7897.0,,28190000000.0,535400000.0,6232.0,97154.0
1970-01-01 00:00:00.000000132,AMGN,AMGEN INC,2024-12-31,10-K,2026-02-13,11973.0,60099000000.0,4090.0,7258.0,,33424000000.0,536900000.0,5877.0,91839.0
1970-01-01 00:00:00.000000133,AMGN,AMGEN INC,2025-12-31,10-K,2026-02-13,9129.0,54604000000.0,7711.0,9080.0,,36751000000.0,538800000.0,8658.0,90586.0
