,ticker,company,end_date,form,filed,cash_usd_m,long_term_debt,net_income_usd_m,operating_income_usd_m,revenue,revenue_alt,shares_outstanding,stockholders_equity_usd_m,total_assets_usd_m,total_liabilities_usd_m
1970-01-01 00:00:00.000000004,AON,Aon plc,2008-12-31,10-K,2011-02-25,582.0,,1462.0,940.0,7528000000.0,,276800000.0,5310.0,22940.0,17525.0
1970-01-01 00:00:00.000000012,AON,Aon plc,2009-12-31,10-K,2013-02-22,217.0,,198.0,1021.0,7595000000.0,,266200000.0,5379.0,22958.0,17527.0
1970-01-01 00:00:00.000000021,AON,Aon plc,2010-12-31,10-K,2013-02-22,346.0,4506000000.0,231.0,1244.0,8512000000.0,,332300000.0,8251.0,28982.0,20676.0
1970-01-01 00:00:00.000000031,AON,Aon plc,2011-12-31,10-K,2014-02-18,272.0,4492000000.0,,1596.0,11287000000.0,,324400000.0,8078.0,29552.0,21432.0
1970-01-01 00:00:00.000000079,AON,Aon plc,2016-12-31,10-K,2019-02-19,426.0,6205000000.0,,1811.0,9409000000.0,9409000000.0,,5475.0,26615.0,21083.0
1970-01-01 00:00:00.000000088,AON,Aon plc,2017-12-31,10-K,2020-02-14,756.0,5966000000.0,,1065.0,2909000000.0,9998000000.0,,4583.0,26088.0,21440.0
1970-01-01 00:00:00.000000097,AON,Aon plc,2018-12-31,10-K,2021-02-19,656.0,6244000000.0,,1544.0,2770000000.0,10770000000.0,,4151.0,26422.0,22203.0
1970-01-01 00:00:00.000000103,AON,Aon plc,2019-12-31,10-K,2022-02-18,790.0,7339000000.0,1532.0,2169.0,,11013000000.0,,3375.0,29405.0,25956.0
1970-01-01 00:00:00.000000106,AON,Aon plc,2020-12-31,10-K,2023-02-17,884.0,7729000000.0,1969.0,2781.0,,11066000000.0,,3495.0,32114.0,28531.0
1970-01-01 00:00:00.000000109,AON,Aon plc,2021-12-31,10-K,2024-02-16,544.0,9392000000.0,1255.0,2090.0,,12193000000.0,,1061.0,31917.0,30759.0
1970-01-01 00:00:00.000000112,AON,Aon plc,2022-12-31,10-K,2025-02-18,690.0,10770000000.0,2589.0,3669.0,,12479000000.0,,-529.0,32704.0,33133.0
1970-01-01 00:00:00.000000115,AON,Aon plc,2023-12-31,10-K,2026-02-13,778.0,11199000000.0,2564.0,3785.0,,13376000000.0,,-826.0,33959.0,34701.0
1970-01-01 00:00:00.000000117,AON,Aon plc,2024-12-31,10-K,2026-02-13,1085.0,17016000000.0,2654.0,3835.0,,15698000000.0,,6121.0,48965.0,42535.0
1970-01-01 00:00:00.000000118,AON,Aon plc,2025-12-31,10-K,2026-02-13,1195.0,15249000000.0,3695.0,4344.0,,17181000000.0,,9352.0,50784.0,41236.0
