,ticker,company,end_date,form,filed,cash_usd_m,long_term_debt,net_income_usd_m,operating_income_usd_m,revenue_alt,shares_outstanding,stockholders_equity_usd_m,total_assets_usd_m,total_liabilities_usd_m
1970-01-01 00:00:00.000000076,APH,AMPHENOL CORPORATION,2016-09-30,10-K,2017-02-17,1034.6,3010700000.0,224.3,326.3,6286400000.0,308300000.0,3674.9,8498.7,
1970-01-01 00:00:00.000000080,APH,AMPHENOL CORPORATION,2016-12-31,10-K,2019-02-13,1034.6,3010700000.0,822.9,1205.2,6286400000.0,308300000.0,3674.9,8498.7,
1970-01-01 00:00:00.000000089,APH,AMPHENOL CORPORATION,2017-12-31,10-K,2020-02-12,1719.1,3542600000.0,650.5,1427.6,7011300000.0,305700000.0,3989.8,10003.9,
1970-01-01 00:00:00.000000110,APH,AMPHENOL CORPORATION,2020-09-30,10-K,2021-02-10,1702.0,,346.6,475.8,2323400000.0,598700000.0,5384.9,12327.3,6875.4
1970-01-01 00:00:00.000000113,APH,AMPHENOL CORPORATION,2020-12-31,10-K,2023-02-08,1702.0,,1203.4,1638.4,8598900000.0,598700000.0,5384.9,12327.3,6875.4
1970-01-01 00:00:00.000000116,APH,AMPHENOL CORPORATION,2021-12-31,10-K,2024-02-07,1197.1,,1590.8,2105.1,10876300000.0,599100000.0,6302.0,14678.4,8299.3
1970-01-01 00:00:00.000000119,APH,AMPHENOL CORPORATION,2022-12-31,10-K,2025-02-07,1373.1,,1902.3,2585.8,12623000000.0,594800000.0,7015.6,15326.2,8232.1
1970-01-01 00:00:00.000000122,APH,AMPHENOL CORPORATION,2023-12-31,10-K,2026-02-11,1475.0,,1928.0,2559.6,12554700000.0,1197800000.0,8346.5,16526.4,8099.9
1970-01-01 00:00:00.000000124,APH,AMPHENOL CORPORATION,2024-12-31,10-K,2026-02-11,3317.0,,2424.0,3156.9,15222700000.0,1209300000.0,9792.0,21440.2,11584.1
1970-01-01 00:00:00.000000125,APH,AMPHENOL CORPORATION,2025-12-31,10-K,2026-02-11,11130.6,,4270.3,5868.6,23094700000.0,1226600000.0,13413.1,36236.9,22727.2
