,ticker,company,end_date,form,filed,cash_usd_m,long_term_debt,net_income_usd_m,operating_income_usd_m,revenue,revenue_alt,shares_outstanding,stockholders_equity_usd_m,total_assets_usd_m,total_liabilities_usd_m
1970-01-01 00:00:00.000000049,APTV,Aptiv PLC,2016-09-30,10-K,2017-02-06,737.0,,293.0,460.0,12274000000.0,,269789959.0,2401.0,12292.0,9529.0
1970-01-01 00:00:00.000000053,APTV,Aptiv PLC,2016-12-31,10-K,2019-02-04,737.0,,1257.0,1539.0,12274000000.0,,269789959.0,2401.0,12292.0,9529.0
1970-01-01 00:00:00.000000058,APTV,Aptiv PLC,2017-09-30,10-K,2018-02-05,1596.0,,395.0,373.0,12884000000.0,,265839794.0,3299.0,12169.0,8652.0
1970-01-01 00:00:00.000000062,APTV,Aptiv PLC,2017-12-31,10-K,2020-02-03,1596.0,,1355.0,1416.0,12884000000.0,,265839794.0,3299.0,12169.0,8652.0
1970-01-01 00:00:00.000000067,APTV,Aptiv PLC,2018-09-30,10-K,2019-02-04,567.0,,222.0,323.0,3485000000.0,,259991022.0,3459.0,12480.0,8810.0
1970-01-01 00:00:00.000000071,APTV,Aptiv PLC,2018-12-31,10-K,2021-02-08,567.0,,1067.0,1473.0,14435000000.0,,259991022.0,3459.0,12480.0,8810.0
1970-01-01 00:00:00.000000076,APTV,Aptiv PLC,2019-09-30,10-K,2020-02-03,412.0,,246.0,320.0,3559000000.0,,255288240.0,3819.0,13459.0,9448.0
1970-01-01 00:00:00.000000080,APTV,Aptiv PLC,2019-12-31,10-K,2022-02-07,412.0,,990.0,1276.0,14357000000.0,,255288240.0,3819.0,13459.0,9448.0
1970-01-01 00:00:00.000000083,APTV,Aptiv PLC,2020-09-30,10-K,2021-02-08,2821.0,,299.0,364.0,3668000000.0,,270025374.0,7905.0,17522.0,9422.0
1970-01-01 00:00:00.000000086,APTV,Aptiv PLC,2020-12-31,10-K,2023-02-08,2821.0,,1804.0,2118.0,13066000000.0,,270025374.0,7905.0,17522.0,9422.0
1970-01-01 00:00:00.000000089,APTV,Aptiv PLC,2021-12-31,10-K,2024-02-06,3139.0,,590.0,1189.0,15618000000.0,,270514140.0,8347.0,18007.0,9446.0
1970-01-01 00:00:00.000000092,APTV,Aptiv PLC,2022-12-31,10-K,2025-02-07,1531.0,6581000000.0,594.0,1263.0,17489000000.0,17489000000.0,270949579.0,8809.0,21884.0,12790.0
1970-01-01 00:00:00.000000095,APTV,Aptiv PLC,2023-12-31,10-K,2026-02-06,1640.0,6296000000.0,2938.0,1559.0,20051000000.0,20051000000.0,279033365.0,11548.0,24427.0,12583.0
1970-01-01 00:00:00.000000097,APTV,Aptiv PLC,2024-12-31,10-K,2026-02-06,1573.0,8465000000.0,268.0,479.0,4907000000.0,19713000000.0,235035739.0,8796.0,23458.0,14373.0
1970-01-01 00:00:00.000000098,APTV,Aptiv PLC,2025-12-31,10-K,2026-02-06,1851.0,7653000000.0,138.0,425.0,5153000000.0,20398000000.0,212746899.0,9207.0,23413.0,13914.0
