,ticker,company,end_date,form,filed,cash_usd_m,net_income_usd_m,operating_income_usd_m,revenue,shares_outstanding,stockholders_equity_usd_m,total_assets_usd_m
1970-01-01 00:00:00.000000072,ATO,ATMOS ENERGY CORP,2016-09-30,10-K,2019-11-12,47.534,350.104,657.23,2454648000.0,,3463.059,10010.889
1970-01-01 00:00:00.000000082,ATO,ATMOS ENERGY CORP,2017-09-30,10-K,2020-11-13,26.409,396.421,735.628,2759735000.0,106104634.0,3898.666,10749.596
1970-01-01 00:00:00.000000092,ATO,ATMOS ENERGY CORP,2018-09-30,10-K,2021-11-12,13.771,603.064,727.934,3115546000.0,111273683.0,4769.951,11874.437
1970-01-01 00:00:00.000000102,ATO,ATMOS ENERGY CORP,2019-09-30,10-K,2022-11-14,24.55,511.406,746.058,2901848000.0,119338925.0,5750.223,13367.619
1970-01-01 00:00:00.000000109,ATO,ATMOS ENERGY CORP,2020-09-30,10-K,2023-11-14,20.808,601.443,824.099,2821137000.0,125882477.0,6791.203,15359.032
1970-01-01 00:00:00.000000113,ATO,ATMOS ENERGY CORP,2021-09-30,10-K,2024-11-18,116.723,665.563,904.998,3407490000.0,132419754.0,7906.889,19608.662
1970-01-01 00:00:00.000000117,ATO,ATMOS ENERGY CORP,2022-09-30,10-K,2025-11-14,51.554,774.398,920.982,4201662000.0,140896598.0,9419.091,22192.989
1970-01-01 00:00:00.000000120,ATO,ATMOS ENERGY CORP,2023-09-30,10-K,2025-11-14,15.404,885.862,1067.147,4275357000.0,148492783.0,10870.064,22516.968
1970-01-01 00:00:00.000000122,ATO,ATMOS ENERGY CORP,2024-09-30,10-K,2025-11-14,307.34,1042.895,1355.362,4165187000.0,155258845.0,12157.669,25194.465
1970-01-01 00:00:00.000000123,ATO,ATMOS ENERGY CORP,2025-09-30,10-K,2025-11-14,202.687,1198.754,1559.971,4702755000.0,161568384.0,13558.89,28249.522
