,ticker,company,end_date,form,filed,cash_usd_m,long_term_debt,net_income_usd_m,operating_income_usd_m,revenue,revenue_alt,shares_outstanding,stockholders_equity_usd_m,total_assets_usd_m,total_liabilities_usd_m
1970-01-01 00:00:00.000000022,AVB,"AVALONBAY COMMUNITIES, INC.",2010-12-31,10-K,2014-03-03,304.407,4068417000.0,176.259,545.51,842820000.0,,85899080.0,3310.618,7821.488,4491.635
1970-01-01 00:00:00.000000032,AVB,"AVALONBAY COMMUNITIES, INC.",2011-12-31,10-K,2015-02-19,616.853,3600025000.0,440.45,599.927,900087000.0,,95175677.0,4394.741,8482.39,4073.435
1970-01-01 00:00:00.000000042,AVB,"AVALONBAY COMMUNITIES, INC.",2012-12-31,10-K,2016-02-26,2733.618,3854068000.0,423.869,667.928,1000627000.0,,114403472.0,6837.215,11160.078,4312.258
1970-01-01 00:00:00.000000052,AVB,"AVALONBAY COMMUNITIES, INC.",2013-12-31,10-K,2017-02-24,281.355,6019571000.0,353.141,966.058,1462921000.0,,129416695.0,8596.132,15328.143,6711.096
1970-01-01 00:00:00.000000057,AVB,"AVALONBAY COMMUNITIES, INC.",2014-09-30,10-K,2015-02-19,509.46,6448138000.0,683.567,1099.587,430525000.0,,132050382.0,,16140.578,7081.408
1970-01-01 00:00:00.000000061,AVB,"AVALONBAY COMMUNITIES, INC.",2014-12-31,10-K,2017-02-24,509.46,6448138000.0,683.567,1099.587,1685061000.0,,132050382.0,9046.405,16140.578,7081.408
1970-01-01 00:00:00.000000066,AVB,"AVALONBAY COMMUNITIES, INC.",2015-09-30,10-K,2016-02-26,400.507,6481291000.0,742.038,1215.742,475360000.0,,137002031.0,,16931.305,7080.782
1970-01-01 00:00:00.000000070,AVB,"AVALONBAY COMMUNITIES, INC.",2015-12-31,10-K,2018-02-23,400.507,6481291000.0,742.038,1215.742,1856028000.0,,137002031.0,,16931.305,7080.782
1970-01-01 00:00:00.000000075,AVB,"AVALONBAY COMMUNITIES, INC.",2016-09-30,10-K,2017-02-24,214.994,7076758000.0,1034.002,1313.987,516211000.0,5599000.0,137330904.0,,17867.271,7688.089
1970-01-01 00:00:00.000000079,AVB,"AVALONBAY COMMUNITIES, INC.",2016-12-31,10-K,2019-02-22,214.994,7076758000.0,1034.002,1313.987,2045255000.0,5599000.0,137330904.0,,17867.271,7688.089
1970-01-01 00:00:00.000000084,AVB,"AVALONBAY COMMUNITIES, INC.",2017-09-30,10-K,2018-02-23,67.088,7404313000.0,876.921,1398.978,550500000.0,4147000.0,138094154.0,,18414.821,8020.719
1970-01-01 00:00:00.000000088,AVB,"AVALONBAY COMMUNITIES, INC.",2017-12-31,10-K,2020-02-21,67.088,7404313000.0,876.921,1398.978,2158628000.0,4147000.0,138094154.0,,18414.821,8020.719
1970-01-01 00:00:00.000000093,AVB,"AVALONBAY COMMUNITIES, INC.",2018-09-30,10-K,2019-02-22,91.659,7102355000.0,,1485.132,575982000.0,3572000.0,139660299.0,10632.606,18380.2,7744.35
1970-01-01 00:00:00.000000097,AVB,"AVALONBAY COMMUNITIES, INC.",2018-12-31,10-K,2021-02-25,91.659,7102355000.0,974.525,1485.132,2284535000.0,3572000.0,139660299.0,10632.606,18380.2,7744.35
1970-01-01 00:00:00.000000100,AVB,"AVALONBAY COMMUNITIES, INC.",2019-09-30,10-K,2020-02-21,39.687,7355371000.0,,1551.891,587613000.0,4960000.0,140643962.0,10989.549,19121.051,8127.601
1970-01-01 00:00:00.000000103,AVB,"AVALONBAY COMMUNITIES, INC.",2019-12-31,10-K,2022-02-25,39.687,7355371000.0,,1551.891,2324626000.0,4960000.0,140643962.0,10989.549,19121.051,8127.601
1970-01-01 00:00:00.000000106,AVB,"AVALONBAY COMMUNITIES, INC.",2020-12-31,10-K,2023-02-24,216.976,7629814000.0,,1472.421,2301261000.0,3819000.0,139526671.0,10751.583,19199.144,8444.293
1970-01-01 00:00:00.000000109,AVB,"AVALONBAY COMMUNITIES, INC.",2021-12-31,10-K,2024-02-23,420.251,8103547000.0,,1456.875,2294850000.0,3084000.0,139751926.0,10932.527,19902.016,8965.555
1970-01-01 00:00:00.000000112,AVB,"AVALONBAY COMMUNITIES, INC.",2022-12-31,10-K,2025-02-27,613.189,8316045000.0,,1701.416,2593446000.0,6333000.0,139916864.0,11253.476,20457.764,9201.526
1970-01-01 00:00:00.000000115,AVB,"AVALONBAY COMMUNITIES, INC.",2023-12-31,10-K,2026-02-27,397.89,7981822000.0,928.825,1790.786,2767909000.0,7722000.0,142025456.0,11783.241,20678.214,8893.423
1970-01-01 00:00:00.000000117,AVB,"AVALONBAY COMMUNITIES, INC.",2024-12-31,10-K,2026-02-27,108.576,8077249000.0,1081.994,1910.08,2913757000.0,7081000.0,142254022.0,11941.092,21000.737,9059.645
1970-01-01 00:00:00.000000118,AVB,"AVALONBAY COMMUNITIES, INC.",2025-12-31,10-K,2026-02-27,187.234,9328552000.0,,2020.949,3040725000.0,7042000.0,140080657.0,11611.34,22192.137,10357.82
