,ticker,company,end_date,form,filed,cash_usd_m,long_term_debt,net_income_usd_m,revenue_alt,shares_outstanding,stockholders_equity_usd_m,total_assets_usd_m
1970-01-01 00:00:00.000000032,AVY,AVERY DENNISON CORPORATION,2016-01-02,10-K,2016-02-24,158.8,,320.7,6086500000.0,89967697.0,965.7,4133.7
1970-01-01 00:00:00.000000039,AVY,AVERY DENNISON CORPORATION,2016-12-31,10-K,2020-02-26,195.1,,320.7,6086500000.0,88308860.0,925.5,4396.4
1970-01-01 00:00:00.000000046,AVY,AVERY DENNISON CORPORATION,2017-12-30,10-K,2021-02-25,224.4,,281.8,6613800000.0,88011541.0,1032.4,5136.9
1970-01-01 00:00:00.000000058,AVY,AVERY DENNISON CORPORATION,2018-12-29,10-K,2022-02-23,232.0,1750900000.0,467.4,7159000000.0,84723655.0,955.1,5177.5
1970-01-01 00:00:00.000000068,AVY,AVERY DENNISON CORPORATION,2019-12-28,10-K,2023-02-22,253.7,1475300000.0,303.6,7070100000.0,83366840.0,1204.0,5488.8
1970-01-01 00:00:00.000000075,AVY,AVERY DENNISON CORPORATION,2021-01-02,10-K,2024-02-21,252.3,2029200000.0,555.9,6971500000.0,83151174.0,1484.9,6083.9
1970-01-01 00:00:00.000000079,AVY,AVERY DENNISON CORPORATION,2022-01-01,10-K,2025-02-26,162.7,2774200000.0,740.1,8408300000.0,82605953.0,1924.4,7971.6
1970-01-01 00:00:00.000000083,AVY,AVERY DENNISON CORPORATION,2022-12-31,10-K,2026-02-25,167.2,2495400000.0,757.1,9039300000.0,80810016.0,2032.2,7950.5
1970-01-01 00:00:00.000000086,AVY,AVERY DENNISON CORPORATION,2023-12-30,10-K,2026-02-25,215.0,2615000000.0,503.0,8364300000.0,80495585.0,2127.9,8209.8
1970-01-01 00:00:00.000000088,AVY,AVERY DENNISON CORPORATION,2024-12-28,10-K,2026-02-25,329.1,2550800000.0,704.9,8755700000.0,79800396.0,2312.3,8404.2
1970-01-01 00:00:00.000000089,AVY,AVERY DENNISON CORPORATION,2025-12-31,10-K,2026-02-25,202.8,3199000000.0,688.0,8855500000.0,76877487.0,2242.1,8801.7
