,ticker,company,end_date,form,filed,cash_usd_m,long_term_debt,net_income_usd_m,operating_income_usd_m,revenue,revenue_alt,shares_outstanding,stockholders_equity_usd_m,total_assets_usd_m,total_liabilities_usd_m
1970-01-01 00:00:00.000000022,BA,BOEING CO,2010-12-31,10-K,2014-02-14,5359.0,,3307.0,4971.0,64306000000.0,,1012261159.0,2766.0,68565.0,65703.0
1970-01-01 00:00:00.000000031,BA,BOEING CO,2011-12-31,10-K,2014-02-14,10049.0,,4018.0,5823.0,68735000000.0,,1012261159.0,3515.0,79986.0,76378.0
1970-01-01 00:00:00.000000092,BA,BOEING CO,2017-12-31,10-K,2021-02-01,8813.0,,8458.0,10344.0,94005000000.0,94005000000.0,1012261159.0,1656.0,112362.0,
1970-01-01 00:00:00.000000102,BA,BOEING CO,2018-12-31,10-K,2022-01-31,7637.0,,10460.0,11987.0,101127000000.0,101127000000.0,1012261159.0,339.0,117359.0,
1970-01-01 00:00:00.000000112,BA,BOEING CO,2019-12-31,10-K,2023-01-27,9485.0,20964000000.0,-636.0,-1975.0,76559000000.0,,1012261159.0,-8617.0,133625.0,141925.0
1970-01-01 00:00:00.000000119,BA,BOEING CO,2020-12-31,10-K,2024-01-31,7752.0,63380000000.0,-11873.0,-12767.0,58158000000.0,,1012261159.0,-18316.0,152136.0,170211.0
1970-01-01 00:00:00.000000123,BA,BOEING CO,2021-12-31,10-K,2025-02-03,8052.0,57921000000.0,-4202.0,-2870.0,62286000000.0,,1012261159.0,-14999.0,138552.0,153398.0
1970-01-01 00:00:00.000000127,BA,BOEING CO,2022-12-31,10-K,2026-01-30,14614.0,56794000000.0,-4935.0,-3519.0,66608000000.0,,1012261159.0,-15883.0,137100.0,152948.0
1970-01-01 00:00:00.000000130,BA,BOEING CO,2023-12-31,10-K,2026-01-30,12691.0,52055000000.0,-2222.0,-773.0,77794000000.0,,1012261159.0,-17233.0,137012.0,154240.0
1970-01-01 00:00:00.000000132,BA,BOEING CO,2024-12-31,10-K,2026-01-30,13801.0,53625000000.0,-11817.0,-10707.0,66517000000.0,,1012261159.0,-3908.0,156363.0,160277.0
1970-01-01 00:00:00.000000133,BA,BOEING CO,2025-12-31,10-K,2026-01-30,10921.0,53848000000.0,2235.0,4281.0,89463000000.0,,1012261159.0,5454.0,168235.0,162778.0
