,ticker,company,end_date,form,filed,cash_usd_m,long_term_debt,net_income_usd_m,operating_income_usd_m,revenue_alt,stockholders_equity_usd_m,total_assets_usd_m,total_liabilities_usd_m
1970-01-01 00:00:00.000000086,BAX,Baxter International Inc.,2017-09-30,10-K,2018-02-23,3394.0,,251.0,1288.0,10584000000.0,9124.0,17111.0,7995.0
1970-01-01 00:00:00.000000090,BAX,Baxter International Inc.,2017-12-31,10-K,2020-03-17,3394.0,,602.0,1288.0,10584000000.0,9124.0,17111.0,7995.0
1970-01-01 00:00:00.000000092,BAX,Baxter International Inc.,2018-03-31,10-K,2020-03-17,2949.0,,382.0,434.0,2692000000.0,9068.0,16843.0,7781.0
1970-01-01 00:00:00.000000094,BAX,Baxter International Inc.,2018-06-30,10-K,2020-03-17,2858.0,,341.0,377.0,2813000000.0,8842.0,16519.0,7689.0
1970-01-01 00:00:00.000000096,BAX,Baxter International Inc.,2018-09-30,10-K,2020-03-17,2863.0,,518.0,1584.0,2761000000.0,9107.0,16803.0,7713.0
1970-01-01 00:00:00.000000099,BAX,Baxter International Inc.,2018-12-31,10-K,2021-02-11,1838.0,,1546.0,1584.0,11099000000.0,7844.0,15720.0,7854.0
1970-01-01 00:00:00.000000101,BAX,Baxter International Inc.,2019-03-31,10-K,2021-02-11,1902.0,,342.0,383.0,2638000000.0,7570.0,16241.0,8648.0
1970-01-01 00:00:00.000000103,BAX,Baxter International Inc.,2019-06-30,10-K,2021-02-11,2934.0,,313.0,350.0,2834000000.0,7779.0,17503.0,9700.0
1970-01-01 00:00:00.000000104,BAX,Baxter International Inc.,2019-09-30,10-K,2020-03-17,3335.0,,369.0,1772.0,2851000000.0,7882.0,18193.0,10281.0
1970-01-01 00:00:00.000000108,BAX,Baxter International Inc.,2019-12-31,10-K,2022-02-23,3335.0,,1001.0,1772.0,11362000000.0,7882.0,18193.0,10281.0
1970-01-01 00:00:00.000000111,BAX,Baxter International Inc.,2020-09-30,10-K,2021-02-11,3730.0,,356.0,1616.0,2972000000.0,8689.0,20019.0,11293.0
1970-01-01 00:00:00.000000114,BAX,Baxter International Inc.,2020-12-31,10-K,2023-02-09,3730.0,6233000000.0,1102.0,1616.0,11673000000.0,8689.0,20019.0,11293.0
1970-01-01 00:00:00.000000117,BAX,Baxter International Inc.,2021-12-31,10-K,2024-02-08,2951.0,17754000000.0,1284.0,1350.0,12146000000.0,9077.0,33521.0,24400.0
1970-01-01 00:00:00.000000120,BAX,Baxter International Inc.,2022-09-30,10-K,2024-02-08,1621.0,,-2937.0,-2845.0,3609000000.0,5833.0,28287.0,22392.0
1970-01-01 00:00:00.000000123,BAX,Baxter International Inc.,2022-12-31,10-K,2025-02-21,1621.0,16702000000.0,-2433.0,-2845.0,10057000000.0,5833.0,28287.0,22392.0
1970-01-01 00:00:00.000000128,BAX,Baxter International Inc.,2023-09-30,10-K,2024-02-08,3078.0,,2508.0,707.0,3708000000.0,8402.0,28276.0,19808.0
1970-01-01 00:00:00.000000132,BAX,Baxter International Inc.,2023-12-31,10-K,2026-02-12,3078.0,13855000000.0,2656.0,707.0,10360000000.0,8402.0,28276.0,19808.0
1970-01-01 00:00:00.000000134,BAX,Baxter International Inc.,2024-06-30,10-K,2025-02-21,1764.0,,-314.0,14.0,2694000000.0,6964.0,25782.0,18758.0
1970-01-01 00:00:00.000000135,BAX,Baxter International Inc.,2024-09-30,10-K,2025-02-21,1764.0,13180000000.0,140.0,14.0,2699000000.0,6964.0,25782.0,18758.0
1970-01-01 00:00:00.000000137,BAX,Baxter International Inc.,2024-12-31,10-K,2026-02-12,1764.0,13180000000.0,-649.0,14.0,10636000000.0,6964.0,25782.0,18758.0
1970-01-01 00:00:00.000000138,BAX,Baxter International Inc.,2025-12-31,10-K,2026-02-12,1966.0,9438000000.0,-957.0,-308.0,11244000000.0,6129.0,20055.0,13953.0
