,ticker,company,end_date,form,filed,cash_usd_m,net_income_usd_m,operating_income_usd_m,revenue,stockholders_equity_usd_m,total_assets_usd_m
1970-01-01 00:00:00.000000005,BDX,"BECTON, DICKINSON AND COMPANY",2008-09-30,10-K,2011-11-23,830.477,1126.996,1488.144,,4935.568,7912.943
1970-01-01 00:00:00.000000008,BDX,"BECTON, DICKINSON AND COMPANY",2009-09-30,10-K,2011-11-23,1394.244,1231.603,1589.682,,5142.712,9304.624
1970-01-01 00:00:00.000000014,BDX,"BECTON, DICKINSON AND COMPANY",2011-09-30,10-K,2011-11-23,1175.282,1170.0,1763.282,,4828.175,10430.428
1970-01-01 00:00:00.000000021,BDX,"BECTON, DICKINSON AND COMPANY",2012-09-30,10-K,2015-11-25,1671.0,1170.0,1558.0,,4136.0,11361.0
1970-01-01 00:00:00.000000025,BDX,"BECTON, DICKINSON AND COMPANY",2013-09-30,10-K,2016-11-23,1890.0,1293.0,1254.0,,5043.0,12149.0
1970-01-01 00:00:00.000000032,BDX,"BECTON, DICKINSON AND COMPANY",2014-09-30,10-K,2017-11-22,1861.0,1185.0,1606.0,,5053.0,12384.0
1970-01-01 00:00:00.000000042,BDX,"BECTON, DICKINSON AND COMPANY",2015-09-30,10-K,2018-11-21,1424.0,695.0,1074.0,,7164.0,26478.0
1970-01-01 00:00:00.000000048,BDX,"BECTON, DICKINSON AND COMPANY",2016-06-30,10-K,2017-11-22,1541.0,390.0,1430.0,12483000000.0,,25586.0
1970-01-01 00:00:00.000000051,BDX,"BECTON, DICKINSON AND COMPANY",2016-09-30,10-K,2018-11-21,1541.0,976.0,1430.0,12483000000.0,7633.0,25586.0
1970-01-01 00:00:00.000000056,BDX,"BECTON, DICKINSON AND COMPANY",2017-06-30,10-K,2017-11-22,14179.0,-132.0,1522.0,12093000000.0,12948.0,37734.0
1970-01-01 00:00:00.000000060,BDX,"BECTON, DICKINSON AND COMPANY",2017-09-30,10-K,2019-11-27,14179.0,1100.0,1522.0,12093000000.0,12948.0,37734.0
1970-01-01 00:00:00.000000065,BDX,"BECTON, DICKINSON AND COMPANY",2018-06-30,10-K,2018-11-21,1140.0,594.0,1509.0,4278000000.0,20994.0,53904.0
1970-01-01 00:00:00.000000069,BDX,"BECTON, DICKINSON AND COMPANY",2018-09-30,10-K,2020-11-25,1140.0,311.0,1509.0,15983000000.0,20994.0,53904.0
1970-01-01 00:00:00.000000074,BDX,"BECTON, DICKINSON AND COMPANY",2019-06-30,10-K,2019-11-27,536.0,451.0,1760.0,4350000000.0,21081.0,51765.0
1970-01-01 00:00:00.000000078,BDX,"BECTON, DICKINSON AND COMPANY",2019-09-30,10-K,2021-11-24,536.0,1233.0,1760.0,17290000000.0,21081.0,51765.0
1970-01-01 00:00:00.000000081,BDX,"BECTON, DICKINSON AND COMPANY",2020-06-30,10-K,2020-11-25,2825.0,286.0,912.0,3855000000.0,23765.0,54012.0
1970-01-01 00:00:00.000000084,BDX,"BECTON, DICKINSON AND COMPANY",2020-09-30,10-K,2022-11-22,2825.0,874.0,912.0,16074000000.0,23765.0,54012.0
1970-01-01 00:00:00.000000087,BDX,"BECTON, DICKINSON AND COMPANY",2021-09-30,10-K,2023-11-21,2283.0,2092.0,2250.0,19131000000.0,23677.0,53866.0
1970-01-01 00:00:00.000000090,BDX,"BECTON, DICKINSON AND COMPANY",2022-09-30,10-K,2024-11-27,1006.0,1779.0,2282.0,18870000000.0,25282.0,52934.0
1970-01-01 00:00:00.000000093,BDX,"BECTON, DICKINSON AND COMPANY",2023-09-30,10-K,2025-11-25,1416.0,1484.0,2111.0,19372000000.0,25796.0,52780.0
1970-01-01 00:00:00.000000095,BDX,"BECTON, DICKINSON AND COMPANY",2024-09-30,10-K,2025-11-25,1717.0,1705.0,2397.0,20178000000.0,25890.0,57286.0
1970-01-01 00:00:00.000000096,BDX,"BECTON, DICKINSON AND COMPANY",2025-09-30,10-K,2025-11-25,641.0,1678.0,2579.0,21840000000.0,25390.0,55325.0
