,ticker,company,end_date,form,filed,cash_usd_m,long_term_debt,net_income_usd_m,operating_income_usd_m,revenue,revenue_alt,stockholders_equity_usd_m,total_assets_usd_m,total_liabilities_usd_m
1970-01-01 00:00:00.000000032,CAG,"Conagra Brands, Inc.",2012-05-27,10-K,2015-07-17,85.9,2900000000.0,467.9,1589.1,1600000000.0,,4439.5,11441.9,6905.9
1970-01-01 00:00:00.000000037,CAG,"Conagra Brands, Inc.",2013-02-24,10-K,2013-07-19,150.9,9400000000.0,120.0,1695.3,1700000000.0,,5264.4,20349.8,15042.3
1970-01-01 00:00:00.000000041,CAG,"Conagra Brands, Inc.",2013-05-26,10-K,2015-07-17,150.9,9400000000.0,773.9,1695.3,1700000000.0,,5264.4,20349.8,15042.3
1970-01-01 00:00:00.000000046,CAG,"Conagra Brands, Inc.",2014-02-23,10-K,2014-07-16,141.3,8900000000.0,234.3,1434.0,1700000000.0,,5258.5,19241.5,13964.3
1970-01-01 00:00:00.000000050,CAG,"Conagra Brands, Inc.",2014-05-25,10-K,2016-07-15,141.3,8900000000.0,303.1,1434.0,1700000000.0,,5258.5,19241.5,13964.3
1970-01-01 00:00:00.000000059,CAG,"Conagra Brands, Inc.",2015-05-31,10-K,2017-07-21,183.1,7900000000.0,-252.6,1209.4,1600000000.0,,4526.0,17437.8,12827.8
1970-01-01 00:00:00.000000068,CAG,"Conagra Brands, Inc.",2016-05-29,10-K,2018-07-20,798.1,5440000000.0,-677.0,1223.1,1500000000.0,,3713.6,13390.6,9595.8
1970-01-01 00:00:00.000000073,CAG,"Conagra Brands, Inc.",2017-02-26,10-K,2017-07-21,251.4,2970000000.0,179.7,1240.0,,7826900000.0,3990.8,10096.3,6018.5
1970-01-01 00:00:00.000000077,CAG,"Conagra Brands, Inc.",2017-05-28,10-K,2019-07-19,251.4,2970000000.0,639.3,1240.0,,7826900000.0,3990.8,10096.3,6018.5
1970-01-01 00:00:00.000000082,CAG,"Conagra Brands, Inc.",2018-02-25,10-K,2018-07-20,128.0,3540000000.0,362.8,1412.5,,7938300000.0,3676.2,10389.5,6632.9
1970-01-01 00:00:00.000000086,CAG,"Conagra Brands, Inc.",2018-05-27,10-K,2020-07-24,128.0,3540000000.0,808.4,1412.5,,7938300000.0,3676.2,10389.5,6632.9
1970-01-01 00:00:00.000000091,CAG,"Conagra Brands, Inc.",2019-02-24,10-K,2019-07-19,236.6,10680000000.0,242.0,1641.8,,2707100000.0,7384.6,22213.8,14750.1
1970-01-01 00:00:00.000000095,CAG,"Conagra Brands, Inc.",2019-05-26,10-K,2021-07-23,236.6,10680000000.0,678.3,1641.8,,9538400000.0,7384.6,22213.8,14750.1
1970-01-01 00:00:00.000000098,CAG,"Conagra Brands, Inc.",2020-02-23,10-K,2020-07-24,553.3,9750000000.0,204.4,1815.6,,2555000000.0,7876.1,22304.0,14353.3
1970-01-01 00:00:00.000000101,CAG,"Conagra Brands, Inc.",2020-05-31,10-K,2022-07-21,553.3,9750000000.0,840.1,1815.6,,11054400000.0,7876.1,22304.0,14353.3
1970-01-01 00:00:00.000000104,CAG,"Conagra Brands, Inc.",2021-05-30,10-K,2023-07-13,79.2,8300000000.0,1298.8,2141.0,,11184700000.0,8551.8,22195.6,13564.2
1970-01-01 00:00:00.000000107,CAG,"Conagra Brands, Inc.",2022-05-29,10-K,2024-07-11,83.3,8800000000.0,888.2,1587.6,,11535900000.0,8787.7,22435.1,13572.9
1970-01-01 00:00:00.000000110,CAG,"Conagra Brands, Inc.",2023-05-28,10-K,2025-07-10,93.3,8600000000.0,683.6,1075.3,,12277000000.0,8736.8,22052.6,13245.3
1970-01-01 00:00:00.000000112,CAG,"Conagra Brands, Inc.",2024-05-26,10-K,2025-07-10,77.7,7510000000.0,347.2,852.8,,12050900000.0,8440.4,20862.3,12351.0
1970-01-01 00:00:00.000000113,CAG,"Conagra Brands, Inc.",2025-05-25,10-K,2025-07-10,68.0,7260000000.0,1152.4,1364.6,,11612800000.0,8932.7,20933.9,12001.2
