,ticker,company,end_date,form,filed,cash_usd_m,long_term_debt,net_income_usd_m,operating_income_usd_m,revenue,revenue_alt,shares_outstanding,stockholders_equity_usd_m,total_assets_usd_m,total_liabilities_usd_m
1970-01-01 00:00:00.000000005,CBRE,"CBRE GROUP, INC.",2009-12-31,10-K,2013-03-01,741.557,,33.341,241.842,4165820000.0,,321767407.0,629.122,5039.406,4255.111
1970-01-01 00:00:00.000000012,CBRE,"CBRE GROUP, INC.",2010-12-31,10-K,2014-03-03,506.574,1428322000.0,200.345,446.379,5115316000.0,,323594919.0,908.215,5121.568,4055.773
1970-01-01 00:00:00.000000022,CBRE,"CBRE GROUP, INC.",2011-12-31,10-K,2015-03-02,1093.182,2472686000.0,239.162,462.862,5905411000.0,,327972156.0,1151.481,7219.143,5801.98
1970-01-01 00:00:00.000000032,CBRE,"CBRE GROUP, INC.",2012-12-31,10-K,2016-02-29,1089.297,2427605000.0,315.555,585.081,6514099000.0,,330082187.0,1539.211,7809.542,6127.73
1970-01-01 00:00:00.000000042,CBRE,"CBRE GROUP, INC.",2013-12-31,10-K,2017-03-01,491.912,1840680000.0,316.538,616.128,7184794000.0,,331927166.0,1895.785,6998.414,5062.408
1970-01-01 00:00:00.000000052,CBRE,"CBRE GROUP, INC.",2014-12-31,10-K,2018-03-01,740.884,1875209000.0,484.503,792.254,9049918000.0,,332991031.0,2259.83,7568.01,5266.612
1970-01-01 00:00:00.000000057,CBRE,"CBRE GROUP, INC.",2015-09-30,10-K,2016-02-29,540.403,2710438000.0,149.123,240.101,2712559000.0,,334230496.0,2712.652,11017.943,8258.873
1970-01-01 00:00:00.000000061,CBRE,"CBRE GROUP, INC.",2015-12-31,10-K,2018-03-01,540.403,2710438000.0,547.132,835.944,10855810000.0,,334230496.0,2712.652,11017.943,8258.873
1970-01-01 00:00:00.000000064,CBRE,"CBRE GROUP, INC.",2016-09-30,10-K,2017-03-01,762.576,,104.163,172.492,3193487000.0,16830004000.0,337279449.0,3014.487,10779.587,7722.342
1970-01-01 00:00:00.000000067,CBRE,"CBRE GROUP, INC.",2016-12-31,10-K,2019-03-01,762.576,2574301000.0,573.079,816.831,17369108000.0,16830004000.0,337279449.0,3014.487,10779.587,7722.342
1970-01-01 00:00:00.000000070,CBRE,"CBRE GROUP, INC.",2017-12-31,10-K,2020-03-02,751.774,,697.109,1078.682,18628787000.0,18152507000.0,339459138.0,4114.496,11718.396,7543.782
1970-01-01 00:00:00.000000073,CBRE,"CBRE GROUP, INC.",2018-12-31,10-K,2021-02-24,777.219,,1063.219,1087.989,21340088000.0,20778100000.0,336912783.0,4938.797,13456.793,8446.891
1970-01-01 00:00:00.000000076,CBRE,"CBRE GROUP, INC.",2019-09-30,10-K,2021-02-24,971.781,,256.599,316.63,5925101000.0,23274086000.0,334752283.0,6232.693,16197.196,9924.084
1970-01-01 00:00:00.000000079,CBRE,"CBRE GROUP, INC.",2019-12-31,10-K,2022-03-01,971.781,,1282.357,1259.875,23894091000.0,23274086000.0,334752283.0,6232.693,16197.196,9924.084
1970-01-01 00:00:00.000000082,CBRE,"CBRE GROUP, INC.",2020-09-30,10-K,2021-02-24,1896.188,,184.132,211.408,5645142000.0,23170119000.0,335561345.0,7078.326,18039.143,10533.483
1970-01-01 00:00:00.000000085,CBRE,"CBRE GROUP, INC.",2020-12-31,10-K,2023-02-27,1896.188,,751.989,969.759,23826195000.0,23170119000.0,335561345.0,7078.326,18039.143,10533.483
1970-01-01 00:00:00.000000086,CBRE,"CBRE GROUP, INC.",2021-12-10,10-K,2022-03-01,2430.951,,1837.0,1637.0,27746000000.0,26950000000.0,22000000.0,8528.193,22073.491,12714.374
1970-01-01 00:00:00.000000089,CBRE,"CBRE GROUP, INC.",2021-12-31,10-K,2024-02-20,2430.951,,1837.0,1637.0,27746000000.0,26950000000.0,332875959.0,8528.193,22073.491,12714.374
1970-01-01 00:00:00.000000092,CBRE,"CBRE GROUP, INC.",2022-12-31,10-K,2025-02-14,1318.0,,1407.0,1512.0,30828000000.0,30174000000.0,311014160.0,7853.0,20513.0,11907.0
1970-01-01 00:00:00.000000095,CBRE,"CBRE GROUP, INC.",2023-12-31,10-K,2026-02-12,1265.0,,986.0,1117.0,31949000000.0,31505000000.0,304889140.0,8267.0,22548.0,13481.0
1970-01-01 00:00:00.000000097,CBRE,"CBRE GROUP, INC.",2024-12-31,10-K,2026-02-12,1114.0,,968.0,1413.0,35767000000.0,35181000000.0,302052229.0,8411.0,24383.0,15191.0
1970-01-01 00:00:00.000000098,CBRE,"CBRE GROUP, INC.",2025-12-31,10-K,2026-02-12,1864.0,,1157.0,1753.0,40550000000.0,39900000000.0,295731478.0,8878.0,30877.0,21251.0
