,ticker,company,end_date,form,filed,cash_usd_m,long_term_debt,net_income_usd_m,operating_income_usd_m,revenue,revenue_alt,shares_outstanding,stockholders_equity_usd_m,total_assets_usd_m,total_liabilities_usd_m
1970-01-01 00:00:00.000000005,CHRW,"C.H. ROBINSON WORLDWIDE, INC.",2008-12-31,10-K,2012-02-29,494.743,,359.177,571.586,8578614000.0,,170437000.0,1107.221,1815.721,708.5
1970-01-01 00:00:00.000000012,CHRW,"C.H. ROBINSON WORLDWIDE, INC.",2009-12-31,10-K,2013-03-01,337.308,,360.83,584.811,7577189000.0,,167098000.0,1079.9,1834.248,754.348
1970-01-01 00:00:00.000000022,CHRW,"C.H. ROBINSON WORLDWIDE, INC.",2010-12-31,10-K,2014-03-03,398.607,,387.026,622.86,9274305000.0,,166048000.0,1204.068,1995.699,791.631
1970-01-01 00:00:00.000000032,CHRW,"C.H. ROBINSON WORLDWIDE, INC.",2011-12-31,10-K,2015-03-02,373.669,,431.612,692.73,10336346000.0,,163441000.0,1248.474,2138.041,889.567
1970-01-01 00:00:00.000000042,CHRW,"C.H. ROBINSON WORLDWIDE, INC.",2012-12-31,10-K,2016-02-29,210.019,0.0,593.804,675.32,11359113000.0,,161327000.0,1504.372,2804.225,1299.853
1970-01-01 00:00:00.000000052,CHRW,"C.H. ROBINSON WORLDWIDE, INC.",2013-12-31,10-K,2017-03-01,162.047,500000000.0,415.904,682.65,12752076000.0,,150197000.0,939.724,2802.818,1863.094
1970-01-01 00:00:00.000000062,CHRW,"C.H. ROBINSON WORLDWIDE, INC.",2014-12-31,10-K,2018-02-28,128.94,500000000.0,449.711,748.418,13470067000.0,,146458000.0,1047.015,3214.338,2167.323
1970-01-01 00:00:00.000000072,CHRW,"C.H. ROBINSON WORLDWIDE, INC.",2015-12-31,10-K,2019-02-25,168.229,500000000.0,509.699,858.31,13476084000.0,,143455000.0,1150.45,3184.358,2033.908
1970-01-01 00:00:00.000000082,CHRW,"C.H. ROBINSON WORLDWIDE, INC.",2016-12-31,10-K,2020-02-19,247.666,500000000.0,513.384,837.531,3414975000.0,13144413000.0,141258000.0,1257.847,3687.758,2429.911
1970-01-01 00:00:00.000000092,CHRW,"C.H. ROBINSON WORLDWIDE, INC.",2017-12-31,10-K,2021-02-19,333.89,1465000000.0,504.893,775.119,,14869380000.0,139542000.0,1425.745,4235.834,2810.089
1970-01-01 00:00:00.000000102,CHRW,"C.H. ROBINSON WORLDWIDE, INC.",2018-12-31,10-K,2022-02-23,378.615,1346352000.0,664.505,912.083,,16631172000.0,137284000.0,1595.087,4427.412,2832.325
1970-01-01 00:00:00.000000109,CHRW,"C.H. ROBINSON WORLDWIDE, INC.",2019-12-31,10-K,2023-02-17,447.858,1235333000.0,576.968,789.976,,15309508000.0,134895000.0,1670.73,4641.06,2970.33
1970-01-01 00:00:00.000000113,CHRW,"C.H. ROBINSON WORLDWIDE, INC.",2020-12-31,10-K,2024-02-16,243.796,1093301000.0,506.421,673.268,,16207106000.0,134298000.0,1879.933,5144.258,3264.325
1970-01-01 00:00:00.000000117,CHRW,"C.H. ROBINSON WORLDWIDE, INC.",2021-12-31,10-K,2025-02-14,257.413,1918649000.0,844.245,1082.108,,23102138000.0,129186000.0,2021.934,7028.112,5006.178
1970-01-01 00:00:00.000000121,CHRW,"C.H. ROBINSON WORLDWIDE, INC.",2022-12-31,10-K,2026-02-13,217.482,1973704000.0,940.524,1266.782,,24696625000.0,116323000.0,1353.422,5954.564,4601.142
1970-01-01 00:00:00.000000124,CHRW,"C.H. ROBINSON WORLDWIDE, INC.",2023-12-31,10-K,2026-02-13,145.524,1580487000.0,325.129,514.607,,17596443000.0,116768000.0,1418.697,5225.28,3806.583
1970-01-01 00:00:00.000000126,CHRW,"C.H. ROBINSON WORLDWIDE, INC.",2024-12-31,10-K,2026-02-13,145.762,1377649000.0,465.69,669.141,,17724956000.0,118664000.0,1722.051,5297.926,3575.875
1970-01-01 00:00:00.000000127,CHRW,"C.H. ROBINSON WORLDWIDE, INC.",2025-12-31,10-K,2026-02-13,160.871,1089438000.0,587.081,794.961,,16232763000.0,118429000.0,1845.647,5058.381,3212.734
