,ticker,company,end_date,form,filed,cash_usd_m,long_term_debt,net_income_usd_m,operating_income_usd_m,revenue,revenue_alt,shares_outstanding,stockholders_equity_usd_m,total_assets_usd_m,total_liabilities_usd_m
1970-01-01 00:00:00.000000012,CL,COLGATE-PALMOLIVE COMPANY,2009-12-31,10-K,2013-02-21,600.0,3147000000.0,2291.0,3615.0,,,494165017.0,3116.0,11134.0,7877.0
1970-01-01 00:00:00.000000022,CL,COLGATE-PALMOLIVE COMPANY,2010-12-31,10-K,2014-02-20,490.0,3376000000.0,2203.0,3489.0,,,989700934.0,2675.0,11172.0,8355.0
1970-01-01 00:00:00.000000032,CL,COLGATE-PALMOLIVE COMPANY,2011-12-31,10-K,2015-02-19,878.0,4776000000.0,2431.0,3841.0,16734000000.0,,960036150.0,2375.0,12724.0,10183.0
1970-01-01 00:00:00.000000042,CL,COLGATE-PALMOLIVE COMPANY,2012-12-31,10-K,2016-02-18,884.0,5176000000.0,2472.0,3889.0,17085000000.0,,935728676.0,2189.0,13394.0,11004.0
1970-01-01 00:00:00.000000052,CL,COLGATE-PALMOLIVE COMPANY,2013-12-31,10-K,2017-02-23,962.0,5644000000.0,2241.0,3556.0,17420000000.0,,919946575.0,2305.0,13985.0,11449.0
1970-01-01 00:00:00.000000062,CL,COLGATE-PALMOLIVE COMPANY,2014-12-31,10-K,2018-02-15,1089.0,6132000000.0,2180.0,3557.0,17277000000.0,,906712145.0,1145.0,13440.0,12074.0
1970-01-01 00:00:00.000000072,CL,COLGATE-PALMOLIVE COMPANY,2015-12-31,10-K,2019-02-21,970.0,6544000000.0,1384.0,2789.0,16034000000.0,,892738518.0,-299.0,11935.0,11979.0
1970-01-01 00:00:00.000000082,CL,COLGATE-PALMOLIVE COMPANY,2016-12-31,10-K,2020-02-21,1315.0,6520000000.0,2441.0,3955.0,15195000000.0,15195000000.0,883108963.0,-243.0,12123.0,12106.0
1970-01-01 00:00:00.000000092,CL,COLGATE-PALMOLIVE COMPANY,2017-12-31,10-K,2021-02-18,1535.0,6566000000.0,2024.0,3707.0,,15454000000.0,874701118.0,-60.0,12676.0,12433.0
1970-01-01 00:00:00.000000102,CL,COLGATE-PALMOLIVE COMPANY,2018-12-31,10-K,2022-02-17,726.0,,2400.0,3694.0,,15544000000.0,862912792.0,-102.0,12161.0,11964.0
1970-01-01 00:00:00.000000112,CL,COLGATE-PALMOLIVE COMPANY,2019-12-31,10-K,2023-02-16,883.0,,2367.0,3554.0,,15693000000.0,854701779.0,117.0,15034.0,14476.0
1970-01-01 00:00:00.000000119,CL,COLGATE-PALMOLIVE COMPANY,2020-12-31,10-K,2024-02-15,888.0,,2695.0,3885.0,,16471000000.0,849893601.0,743.0,15920.0,14819.0
1970-01-01 00:00:00.000000123,CL,COLGATE-PALMOLIVE COMPANY,2021-12-31,10-K,2025-02-13,832.0,,2166.0,3332.0,,17421000000.0,840480284.0,609.0,15040.0,14069.0
1970-01-01 00:00:00.000000127,CL,COLGATE-PALMOLIVE COMPANY,2022-12-31,10-K,2026-02-23,775.0,,1785.0,2893.0,,17967000000.0,830212606.0,401.0,15731.0,14925.0
1970-01-01 00:00:00.000000130,CL,COLGATE-PALMOLIVE COMPANY,2023-12-31,10-K,2026-02-23,966.0,,2300.0,3984.0,,19457000000.0,821412769.0,609.0,16393.0,15436.0
1970-01-01 00:00:00.000000132,CL,COLGATE-PALMOLIVE COMPANY,2024-12-31,10-K,2026-02-23,1096.0,7005000000.0,2889.0,4268.0,,20101000000.0,812574698.0,212.0,16046.0,15502.0
1970-01-01 00:00:00.000000133,CL,COLGATE-PALMOLIVE COMPANY,2025-12-31,10-K,2026-02-23,1288.0,7839000000.0,2132.0,3306.0,,20382000000.0,801239524.0,54.0,16330.0,15965.0
