,ticker,company,end_date,form,filed,cash_usd_m,long_term_debt,net_income_usd_m,operating_income_usd_m,revenue,stockholders_equity_usd_m,total_assets_usd_m,total_liabilities_usd_m
1970-01-01 00:00:00.000000072,CMG,"CHIPOTLE MEXICAN GRILL, INC.",2016-12-31,10-K,2020-02-05,87.88,,22.938,34.567,3904384000.0,1402.493,2026.103,623.61
1970-01-01 00:00:00.000000082,CMG,"CHIPOTLE MEXICAN GRILL, INC.",2017-12-31,10-K,2021-02-10,184.569,,176.253,270.794,4476412000.0,1364.445,2045.692,681.247
1970-01-01 00:00:00.000000092,CMG,"CHIPOTLE MEXICAN GRILL, INC.",2018-12-31,10-K,2022-02-11,249.953,,176.553,258.368,4864985000.0,1441.339,2265.518,824.179
1970-01-01 00:00:00.000000102,CMG,"CHIPOTLE MEXICAN GRILL, INC.",2019-12-31,10-K,2023-02-09,480.626,,350.158,443.958,5586369000.0,1683.026,5104.604,3421.578
1970-01-01 00:00:00.000000109,CMG,"CHIPOTLE MEXICAN GRILL, INC.",2020-12-31,10-K,2024-02-08,607.987,,355.766,290.164,5984634000.0,2020.135,5982.896,3962.761
1970-01-01 00:00:00.000000113,CMG,"CHIPOTLE MEXICAN GRILL, INC.",2021-12-31,10-K,2025-02-05,815.374,,652.984,804.943,7547061000.0,2297.374,6652.958,4355.584
1970-01-01 00:00:00.000000117,CMG,"CHIPOTLE MEXICAN GRILL, INC.",2022-12-31,10-K,2026-02-04,384.0,,899.101,1160.403,8634652000.0,2368.023,6927.504,4559.481
1970-01-01 00:00:00.000000120,CMG,"CHIPOTLE MEXICAN GRILL, INC.",2023-12-31,10-K,2026-02-04,560.609,0.0,1228.737,1557.813,9871649000.0,3062.207,8044.362,4982.155
1970-01-01 00:00:00.000000122,CMG,"CHIPOTLE MEXICAN GRILL, INC.",2024-12-31,10-K,2026-02-04,748.537,0.0,1534.11,1916.333,11313853000.0,3655.546,9204.374,5548.828
1970-01-01 00:00:00.000000123,CMG,"CHIPOTLE MEXICAN GRILL, INC.",2025-12-31,10-K,2026-02-04,350.545,0.0,1535.761,1935.798,11925601000.0,2830.607,8994.531,6163.924
