,ticker,company,end_date,form,filed,cash_usd_m,long_term_debt,net_income_usd_m,operating_income_usd_m,revenue,stockholders_equity_usd_m,total_assets_usd_m,total_liabilities_usd_m
1970-01-01 00:00:00.000000012,CPB,CAMPBELL'S CO,2010-08-01,10-K,2013-09-26,254.0,2645000000.0,844.0,1348.0,,926.0,6276.0,5347.0
1970-01-01 00:00:00.000000022,CPB,CAMPBELL'S CO,2011-07-31,10-K,2014-09-24,484.0,2427000000.0,805.0,1212.0,,1088.0,6862.0,5766.0
1970-01-01 00:00:00.000000032,CPB,CAMPBELL'S CO,2012-07-29,10-K,2015-09-29,335.0,2408000000.0,774.0,1155.0,,898.0,6530.0,5632.0
1970-01-01 00:00:00.000000042,CPB,CAMPBELL'S CO,2013-07-28,10-K,2016-09-22,333.0,3244000000.0,458.0,1080.0,,1217.0,8323.0,7113.0
1970-01-01 00:00:00.000000052,CPB,CAMPBELL'S CO,2014-08-03,10-K,2017-09-27,232.0,2544000000.0,866.0,1267.0,,1615.0,8113.0,6510.0
1970-01-01 00:00:00.000000062,CPB,CAMPBELL'S CO,2015-08-02,10-K,2018-09-27,253.0,2539000000.0,666.0,1054.0,,1381.0,8077.0,6700.0
1970-01-01 00:00:00.000000072,CPB,CAMPBELL'S CO,2016-07-31,10-K,2019-09-26,66.0,2755000000.0,563.0,960.0,,1525.0,7837.0,6304.0
1970-01-01 00:00:00.000000082,CPB,CAMPBELL'S CO,2017-07-30,10-K,2020-09-24,37.0,2499000000.0,887.0,1431.0,5837000000.0,1637.0,7726.0,6081.0
1970-01-01 00:00:00.000000087,CPB,CAMPBELL'S CO,2018-04-29,10-K,2018-09-27,49.0,,-393.0,1010.0,6615000000.0,1364.0,14529.0,13156.0
1970-01-01 00:00:00.000000091,CPB,CAMPBELL'S CO,2018-07-29,10-K,2020-09-24,49.0,8595000000.0,261.0,1010.0,6615000000.0,1364.0,14529.0,13156.0
1970-01-01 00:00:00.000000096,CPB,CAMPBELL'S CO,2019-04-28,10-K,2019-09-26,31.0,,84.0,979.0,1953000000.0,1103.0,13148.0,12036.0
1970-01-01 00:00:00.000000100,CPB,CAMPBELL'S CO,2019-07-28,10-K,2021-09-23,31.0,,211.0,979.0,8107000000.0,1103.0,13148.0,12036.0
1970-01-01 00:00:00.000000103,CPB,CAMPBELL'S CO,2020-04-26,10-K,2020-09-24,859.0,,168.0,1107.0,2238000000.0,2563.0,12372.0,9803.0
1970-01-01 00:00:00.000000106,CPB,CAMPBELL'S CO,2020-08-02,10-K,2022-09-22,859.0,,1628.0,1107.0,8691000000.0,2563.0,12372.0,9803.0
1970-01-01 00:00:00.000000109,CPB,CAMPBELL'S CO,2021-08-01,10-K,2023-09-21,69.0,,1002.0,1545.0,8476000000.0,3152.0,11734.0,8580.0
1970-01-01 00:00:00.000000112,CPB,CAMPBELL'S CO,2022-07-31,10-K,2024-09-19,109.0,,757.0,1163.0,8562000000.0,3331.0,11892.0,8559.0
1970-01-01 00:00:00.000000115,CPB,CAMPBELL'S CO,2023-07-30,10-K,2025-09-18,189.0,,858.0,1312.0,9357000000.0,3661.0,12058.0,8395.0
1970-01-01 00:00:00.000000117,CPB,CAMPBELL'S CO,2024-07-28,10-K,2025-09-18,108.0,,567.0,1000.0,9636000000.0,3794.0,15235.0,11439.0
1970-01-01 00:00:00.000000118,CPB,CAMPBELL'S CO,2025-08-03,10-K,2025-09-18,132.0,,602.0,1124.0,10253000000.0,3902.0,14896.0,10992.0
