,ticker,company,end_date,form,filed,cash_usd_m,long_term_debt,net_income_usd_m,revenue_alt,shares_outstanding,stockholders_equity_usd_m,total_assets_usd_m,total_liabilities_usd_m
1970-01-01 00:00:00.000000021,CPT,CAMDEN PROPERTY TRUST,2011-12-31,10-K,2014-02-21,55.159,2432100000.0,49.379,,72000000.0,1758.717,4622.075,2696.382
1970-01-01 00:00:00.000000031,CPT,CAMDEN PROPERTY TRUST,2012-12-31,10-K,2015-02-20,26.669,2510500000.0,283.39,,84400000.0,2563.099,5385.172,2758.464
1970-01-01 00:00:00.000000041,CPT,CAMDEN PROPERTY TRUST,2013-12-31,10-K,2016-02-19,17.794,2530800000.0,336.364,,85300000.0,2691.536,5632.141,2824.78
1970-01-01 00:00:00.000000050,CPT,CAMDEN PROPERTY TRUST,2014-12-31,10-K,2017-02-13,153.918,2743500000.0,292.089,,86600000.0,2815.602,6043.981,3087.438
1970-01-01 00:00:00.000000059,CPT,CAMDEN PROPERTY TRUST,2015-12-31,10-K,2018-02-16,10.617,2724700000.0,249.315,,86900000.0,2816.557,6037.612,3065.352
1970-01-01 00:00:00.000000068,CPT,CAMDEN PROPERTY TRUST,2016-12-31,10-K,2019-02-15,237.364,2480600000.0,819.823,876447000.0,87500000.0,3014.873,6028.152,2855.562
1970-01-01 00:00:00.000000077,CPT,CAMDEN PROPERTY TRUST,2017-12-31,10-K,2020-02-20,368.492,2204600000.0,196.422,8176000.0,92700000.0,3405.363,6173.748,2611.804
1970-01-01 00:00:00.000000086,CPT,CAMDEN PROPERTY TRUST,2018-12-31,10-K,2021-02-18,34.378,2321600000.0,156.128,7231000.0,93200000.0,3311.423,6219.586,2781.808
1970-01-01 00:00:00.000000092,CPT,CAMDEN PROPERTY TRUST,2019-12-31,10-K,2022-02-17,23.184,2524100000.0,219.623,8696000.0,97200000.0,3628.685,6748.504,3046.78
1970-01-01 00:00:00.000000095,CPT,CAMDEN PROPERTY TRUST,2020-12-31,10-K,2023-02-23,420.441,3166600000.0,123.911,10800000.0,97400000.0,3444.905,7198.952,3682.365
1970-01-01 00:00:00.000000098,CPT,CAMDEN PROPERTY TRUST,2021-12-31,10-K,2024-02-22,613.391,3170400000.0,303.907,10532000.0,103300000.0,4197.49,7976.784,3710.529
1970-01-01 00:00:00.000000101,CPT,CAMDEN PROPERTY TRUST,2022-12-31,10-K,2025-02-20,10.687,3680900000.0,653.613,5188000.0,106500000.0,4986.62,9327.935,4271.014
1970-01-01 00:00:00.000000104,CPT,CAMDEN PROPERTY TRUST,2023-12-31,10-K,2026-02-12,259.686,3715400000.0,403.309,3451000.0,106800000.0,4980.757,9383.737,4331.966
1970-01-01 00:00:00.000000106,CPT,CAMDEN PROPERTY TRUST,2024-12-31,10-K,2026-02-12,21.045,3485600000.0,163.293,7137000.0,106700000.0,4675.198,8852.144,4104.955
1970-01-01 00:00:00.000000107,CPT,CAMDEN PROPERTY TRUST,2025-12-31,10-K,2026-02-12,25.203,3900800000.0,384.462,12967000.0,104300000.0,4362.523,9042.989,4604.736
