,ticker,company,end_date,form,filed,cash_usd_m,long_term_debt,net_income_usd_m,operating_income_usd_m,revenue,revenue_alt,shares_outstanding,stockholders_equity_usd_m,total_assets_usd_m,total_liabilities_usd_m
1970-01-01 00:00:00.000000005,CSGP,"CoStar Group, Inc.",2010-12-31,10-K,2014-02-20,206.405,,13.289,22.775,226260000.0,,20773000.0,381.502,439.648,58.146
1970-01-01 00:00:00.000000009,CSGP,"CoStar Group, Inc.",2011-12-31,10-K,2015-02-26,545.28,,14.656,21.771,251738000.0,,25426000.0,659.177,771.035,111.858
1970-01-01 00:00:00.000000013,CSGP,"CoStar Group, Inc.",2012-12-31,10-K,2016-02-26,156.027,,9.915,27.44,349936000.0,,28348000.0,826.343,1165.139,338.796
1970-01-01 00:00:00.000000017,CSGP,"CoStar Group, Inc.",2013-12-31,10-K,2017-02-24,255.953,,29.734,54.154,440943000.0,,28848000.0,927.862,1256.982,329.12
1970-01-01 00:00:00.000000021,CSGP,"CoStar Group, Inc.",2014-12-31,10-K,2018-02-23,527.012,371801000.0,44.869,80.878,575936000.0,,32318000.0,1513.546,2070.483,556.937
1970-01-01 00:00:00.000000025,CSGP,"CoStar Group, Inc.",2015-12-31,10-K,2019-02-28,421.818,355112000.0,-3.465,11.455,711764000.0,,32509000.0,1543.78,2079.571,535.791
1970-01-01 00:00:00.000000032,CSGP,"CoStar Group, Inc.",2016-12-31,10-K,2020-02-26,567.223,338339000.0,85.071,144.905,218311000.0,837630000.0,32509000.0,1654.213,2185.063,530.85
1970-01-01 00:00:00.000000042,CSGP,"CoStar Group, Inc.",2017-12-31,10-K,2021-02-24,1211.463,0.0,122.695,173.816,,965230000.0,36107000.0,2651.25,2873.441,222.191
1970-01-01 00:00:00.000000052,CSGP,"CoStar Group, Inc.",2018-12-31,10-K,2022-02-23,1100.416,0.0,238.334,273.564,,1191832000.0,36446000.0,3021.942,3312.957,291.015
1970-01-01 00:00:00.000000062,CSGP,"CoStar Group, Inc.",2019-12-31,10-K,2023-02-22,1070.731,,314.963,363.547,,1399719000.0,36668000.0,3405.593,3853.986,448.393
1970-01-01 00:00:00.000000069,CSGP,"CoStar Group, Inc.",2020-12-31,10-K,2024-02-22,3693.813,,227.128,289.202,,1659019000.0,394285000.0,5375.2,6915.42,1540.061
1970-01-01 00:00:00.000000073,CSGP,"CoStar Group, Inc.",2021-12-31,10-K,2025-02-20,3800.0,,292.6,432.3,,1944100000.0,394936000.0,5711.5,7256.871,1545.199
1970-01-01 00:00:00.000000076,CSGP,"CoStar Group, Inc.",2022-12-31,10-K,2025-02-20,5000.0,1000000000.0,369.5,451.0,,2182400000.0,406700000.0,6870.0,8402.5,1532.5
1970-01-01 00:00:00.000000079,CSGP,"CoStar Group, Inc.",2023-12-31,10-K,2026-02-26,5200.0,1000000000.0,375.0,282.0,,2455000000.0,408100000.0,7338.6,8919.7,1581.1
1970-01-01 00:00:00.000000081,CSGP,"CoStar Group, Inc.",2024-12-31,10-K,2026-02-26,4681.0,1000000000.0,139.0,5.0,,2736000000.0,409500000.0,7553.0,9257.0,1704.0
1970-01-01 00:00:00.000000082,CSGP,"CoStar Group, Inc.",2025-12-31,10-K,2026-02-26,1633.0,140000000.0,7.0,-72.0,,3247000000.0,417900000.0,8334.0,10538.0,2167.0
