,ticker,company,end_date,form,filed,cash_usd_m,long_term_debt,net_income_usd_m,operating_income_usd_m,revenue_alt,shares_outstanding,stockholders_equity_usd_m,total_assets_usd_m,total_liabilities_usd_m
1970-01-01 00:00:00.000000042,DRI,"DARDEN RESTAURANTS, INC.",2013-05-26,10-K,2016-07-25,88.2,2496200000.0,411.9,400.0,,130300000.0,2059.5,6936.9,4877.4
1970-01-01 00:00:00.000000052,DRI,"DARDEN RESTAURANTS, INC.",2014-05-25,10-K,2017-07-21,98.3,2478400000.0,286.2,308.9,,132300000.0,2156.9,7082.7,4925.8
1970-01-01 00:00:00.000000062,DRI,"DARDEN RESTAURANTS, INC.",2015-05-31,10-K,2018-07-20,535.9,1467300000.0,709.5,367.6,,126700000.0,2333.5,5994.7,3661.2
1970-01-01 00:00:00.000000072,DRI,"DARDEN RESTAURANTS, INC.",2016-05-29,10-K,2019-07-19,274.8,440000000.0,375.0,622.2,6933500000.0,126200000.0,1952.0,4582.6,2630.6
1970-01-01 00:00:00.000000082,DRI,"DARDEN RESTAURANTS, INC.",2017-05-28,10-K,2020-07-24,233.1,936600000.0,479.1,677.5,7170200000.0,125400000.0,2101.7,5292.3,3190.6
1970-01-01 00:00:00.000000092,DRI,"DARDEN RESTAURANTS, INC.",2018-05-27,10-K,2021-07-23,146.9,926500000.0,596.0,766.8,8080100000.0,123500000.0,2194.8,5469.6,3274.8
1970-01-01 00:00:00.000000102,DRI,"DARDEN RESTAURANTS, INC.",2019-05-26,10-K,2022-07-22,457.3,927700000.0,713.4,832.5,8510400000.0,123100000.0,2392.6,5892.8,3500.2
1970-01-01 00:00:00.000000109,DRI,"DARDEN RESTAURANTS, INC.",2020-05-31,10-K,2023-07-21,763.3,928800000.0,-52.4,47.9,7806900000.0,129900000.0,2331.2,9946.1,7614.9
1970-01-01 00:00:00.000000113,DRI,"DARDEN RESTAURANTS, INC.",2021-05-30,10-K,2024-07-19,1214.7,929800000.0,629.3,648.7,7196100000.0,130800000.0,2813.1,10656.1,7843.0
1970-01-01 00:00:00.000000117,DRI,"DARDEN RESTAURANTS, INC.",2022-05-29,10-K,2025-07-18,420.6,901000000.0,952.8,1162.2,9630000000.0,123900000.0,2198.2,10135.8,7937.6
1970-01-01 00:00:00.000000120,DRI,"DARDEN RESTAURANTS, INC.",2023-05-28,10-K,2025-07-18,367.8,884900000.0,981.9,1201.8,10487800000.0,121100000.0,2201.5,10241.5,8040.0
1970-01-01 00:00:00.000000122,DRI,"DARDEN RESTAURANTS, INC.",2024-05-26,10-K,2025-07-18,194.8,1370400000.0,1027.6,1314.2,11390000000.0,118900000.0,2242.5,11323.0,9080.5
1970-01-01 00:00:00.000000123,DRI,"DARDEN RESTAURANTS, INC.",2025-05-25,10-K,2025-07-18,240.0,2128900000.0,1049.6,1362.3,12076700000.0,117000000.0,2311.3,12587.0,10275.7
