,ticker,company,end_date,form,filed,cash_usd_m,net_income_usd_m,operating_income_usd_m,revenue,shares_outstanding,stockholders_equity_usd_m,total_assets_usd_m,total_liabilities_usd_m
1970-01-01 00:00:00.000000005,EA,ELECTRONIC ARTS INC.,2009-03-31,10-K,2012-05-25,1621.0,-1088.0,-827.0,,323000000.0,3134.0,4678.0,1544.0
1970-01-01 00:00:00.000000012,EA,ELECTRONIC ARTS INC.,2010-03-31,10-K,2013-05-22,1273.0,-677.0,-686.0,,330000000.0,2729.0,4646.0,1917.0
1970-01-01 00:00:00.000000022,EA,ELECTRONIC ARTS INC.,2011-03-31,10-K,2014-05-21,1579.0,-276.0,-312.0,,333000000.0,2564.0,4928.0,2364.0
1970-01-01 00:00:00.000000032,EA,ELECTRONIC ARTS INC.,2012-03-31,10-K,2015-05-21,1293.0,76.0,35.0,,320000000.0,2458.0,5491.0,3033.0
1970-01-01 00:00:00.000000042,EA,ELECTRONIC ARTS INC.,2013-03-31,10-K,2016-05-27,1292.0,98.0,121.0,,302000000.0,2267.0,5070.0,2803.0
1970-01-01 00:00:00.000000052,EA,ELECTRONIC ARTS INC.,2014-03-31,10-K,2017-05-24,1782.0,8.0,33.0,,311000000.0,2422.0,5716.0,3294.0
1970-01-01 00:00:00.000000062,EA,ELECTRONIC ARTS INC.,2015-03-31,10-K,2018-05-23,2068.0,875.0,948.0,,310000000.0,3036.0,6147.0,3080.0
1970-01-01 00:00:00.000000072,EA,ELECTRONIC ARTS INC.,2016-03-31,10-K,2019-05-24,2493.0,1156.0,898.0,,301000000.0,3396.0,7050.0,3652.0
1970-01-01 00:00:00.000000082,EA,ELECTRONIC ARTS INC.,2017-03-31,10-K,2020-05-20,2565.0,967.0,1224.0,4845000000.0,308000000.0,4060.0,7718.0,3658.0
1970-01-01 00:00:00.000000092,EA,ELECTRONIC ARTS INC.,2018-03-31,10-K,2021-05-26,4258.0,1043.0,1434.0,5150000000.0,306000000.0,4595.0,8584.0,3989.0
1970-01-01 00:00:00.000000102,EA,ELECTRONIC ARTS INC.,2019-03-31,10-K,2022-05-25,4708.0,1019.0,996.0,4950000000.0,298000000.0,5331.0,8957.0,3626.0
1970-01-01 00:00:00.000000109,EA,ELECTRONIC ARTS INC.,2020-03-31,10-K,2023-05-24,3768.0,3039.0,1445.0,5537000000.0,288000000.0,7461.0,11112.0,3651.0
1970-01-01 00:00:00.000000113,EA,ELECTRONIC ARTS INC.,2021-03-31,10-K,2024-05-22,5260.0,837.0,1046.0,5629000000.0,286000000.0,7840.0,13288.0,5448.0
1970-01-01 00:00:00.000000117,EA,ELECTRONIC ARTS INC.,2022-03-31,10-K,2025-05-13,,789.0,1129.0,6991000000.0,280000000.0,7625.0,13800.0,6175.0
1970-01-01 00:00:00.000000120,EA,ELECTRONIC ARTS INC.,2023-03-31,10-K,2025-05-13,,802.0,1332.0,7426000000.0,273000000.0,7293.0,13459.0,6166.0
1970-01-01 00:00:00.000000122,EA,ELECTRONIC ARTS INC.,2024-03-31,10-K,2025-05-13,,1273.0,1518.0,7562000000.0,266000000.0,7513.0,13420.0,5907.0
1970-01-01 00:00:00.000000123,EA,ELECTRONIC ARTS INC.,2025-03-31,10-K,2025-05-13,,1121.0,1520.0,7463000000.0,252000000.0,6386.0,12368.0,5982.0
