,ticker,company,end_date,form,filed,cash_usd_m,long_term_debt,net_income_usd_m,operating_income_usd_m,revenue,revenue_alt,shares_outstanding,stockholders_equity_usd_m,total_assets_usd_m
1970-01-01 00:00:00.000000006,ED,CONSOLIDATED EDISON INC,2010-12-31,10-K,2014-02-21,338.0,10676000000.0,1003.0,2120.0,13325000000.0,,21976200.0,11274.0,36348.0
1970-01-01 00:00:00.000000010,ED,CONSOLIDATED EDISON INC,2011-12-31,10-K,2015-02-19,648.0,10673000000.0,1062.0,2239.0,12886000000.0,,21976200.0,11649.0,39214.0
1970-01-01 00:00:00.000000013,ED,CONSOLIDATED EDISON INC,2012-12-31,10-K,2015-02-19,394.0,10768000000.0,1141.0,2339.0,12188000000.0,,21976200.0,11869.0,41209.0
1970-01-01 00:00:00.000000017,ED,CONSOLIDATED EDISON INC,2013-12-31,10-K,2017-02-16,674.0,10974000000.0,1062.0,2244.0,12354000000.0,,21976200.0,12245.0,40451.0
1970-01-01 00:00:00.000000021,ED,CONSOLIDATED EDISON INC,2014-12-31,10-K,2018-02-15,699.0,12106000000.0,1092.0,2209.0,12919000000.0,,21976200.0,12576.0,44071.0
1970-01-01 00:00:00.000000024,ED,CONSOLIDATED EDISON INC,2015-12-31,10-K,2018-02-15,944.0,12745000000.0,1193.0,2427.0,12554000000.0,,21976200.0,13052.0,45642.0
1970-01-01 00:00:00.000000029,ED,CONSOLIDATED EDISON INC,2017-12-31,10-K,2019-02-21,797.0,16029000000.0,1525.0,2774.0,12033000000.0,11928000000.0,,15418.0,48111.0
1970-01-01 00:00:00.000000034,ED,CONSOLIDATED EDISON INC,2018-12-31,10-K,2021-02-18,895.0,18145000000.0,1382.0,2664.0,12337000000.0,11928000000.0,320960396.0,16726.0,53920.0
1970-01-01 00:00:00.000000037,ED,CONSOLIDATED EDISON INC,2019-12-31,10-K,2022-02-17,981.0,19973000000.0,1343.0,2676.0,12574000000.0,12144000000.0,332629597.0,18022.0,58079.0
1970-01-01 00:00:00.000000040,ED,CONSOLIDATED EDISON INC,2020-12-31,10-K,2023-02-16,1272.0,22349000000.0,1101.0,2654.0,12246000000.0,12026000000.0,342297534.0,18847.0,62895.0
1970-01-01 00:00:00.000000043,ED,CONSOLIDATED EDISON INC,2021-12-31,10-K,2024-02-15,992.0,23044000000.0,1346.0,2826.0,13676000000.0,13456000000.0,353983712.0,20037.0,63116.0
1970-01-01 00:00:00.000000046,ED,CONSOLIDATED EDISON INC,2022-12-31,10-K,2025-02-20,1282.0,23441000000.0,1660.0,2624.0,15670000000.0,15455000000.0,354962058.0,20687.0,69065.0
1970-01-01 00:00:00.000000049,ED,CONSOLIDATED EDISON INC,2023-12-31,10-K,2026-02-19,1189.0,22240000000.0,2519.0,3196.0,14663000000.0,14476000000.0,345415772.0,21158.0,66331.0
1970-01-01 00:00:00.000000051,ED,CONSOLIDATED EDISON INC,2024-12-31,10-K,2026-02-19,1324.0,24710000000.0,1820.0,2670.0,15256000000.0,15469000000.0,346597693.0,21962.0,70562.0
1970-01-01 00:00:00.000000052,ED,CONSOLIDATED EDISON INC,2025-12-31,10-K,2026-02-19,1629.0,25801000000.0,2023.0,2935.0,16918000000.0,17049000000.0,361121447.0,24190.0,74603.0
