,ticker,company,end_date,form,filed,cash_usd_m,net_income_usd_m,operating_income_usd_m,revenue,shares_outstanding,stockholders_equity_usd_m,total_assets_usd_m
1970-01-01 00:00:00.000000001,EOG,"EOG RESOURCES, INC.",2007-12-31,10-K,2010-02-25,54.231,1089.918,1648.396,4239303000.0,249632000.0,,15951.226
1970-01-01 00:00:00.000000005,EOG,"EOG RESOURCES, INC.",2008-12-31,10-K,2012-02-24,331.311,2436.919,3767.185,7127143000.0,249632000.0,,15951.226
1970-01-01 00:00:00.000000009,EOG,"EOG RESOURCES, INC.",2009-12-31,10-K,2013-02-22,685.751,546.627,970.841,4786959000.0,252509000.0,,18118.667
1970-01-01 00:00:00.000000013,EOG,"EOG RESOURCES, INC.",2010-12-31,10-K,2014-02-24,788.853,160.654,523.319,6099896000.0,254077000.0,,21624.233
1970-01-01 00:00:00.000000017,EOG,"EOG RESOURCES, INC.",2011-12-31,10-K,2015-02-18,615.726,1091.123,2113.309,10126115000.0,269019000.0,,24838.797
1970-01-01 00:00:00.000000023,EOG,"EOG RESOURCES, INC.",2012-12-31,10-K,2015-02-18,876.435,570.279,1479.797,11682636000.0,271632000.0,,27336.578
1970-01-01 00:00:00.000000093,EOG,"EOG RESOURCES, INC.",2019-12-31,10-K,2023-02-23,2027.972,2735.0,3699.0,17380000000.0,,21640.0,37125.0
1970-01-01 00:00:00.000000100,EOG,"EOG RESOURCES, INC.",2020-12-31,10-K,2024-02-22,3329.0,-605.0,-544.0,11032000000.0,,20302.0,35805.0
1970-01-01 00:00:00.000000104,EOG,"EOG RESOURCES, INC.",2021-12-31,10-K,2025-02-27,5209.0,4664.0,6102.0,18642000000.0,,22180.0,38236.0
1970-01-01 00:00:00.000000108,EOG,"EOG RESOURCES, INC.",2022-12-31,10-K,2026-02-24,5972.0,7759.0,9966.0,25702000000.0,,24779.0,41371.0
1970-01-01 00:00:00.000000111,EOG,"EOG RESOURCES, INC.",2023-12-31,10-K,2026-02-24,5278.0,7594.0,9603.0,24186000000.0,,28090.0,43857.0
1970-01-01 00:00:00.000000113,EOG,"EOG RESOURCES, INC.",2024-12-31,10-K,2026-02-24,7092.0,6403.0,8082.0,23698000000.0,,29351.0,47186.0
1970-01-01 00:00:00.000000114,EOG,"EOG RESOURCES, INC.",2025-12-31,10-K,2026-02-24,3396.0,4980.0,6385.0,22632000000.0,,29833.0,51799.0
