,ticker,company,end_date,form,filed,cash_usd_m,long_term_debt,net_income_usd_m,operating_income_usd_m,revenue,revenue_alt,stockholders_equity_usd_m,total_assets_usd_m,total_liabilities_usd_m
1970-01-01 00:00:00.000000074,EQT,EQT CORPORATION,2016-09-30,10-K,2017-02-09,1103.54,3289459000.0,-8.016,108.457,1387054000.0,,5860.281,15472.922,6353.675
1970-01-01 00:00:00.000000078,EQT,EQT CORPORATION,2016-12-31,10-K,2019-02-14,1103.54,3289459000.0,-452.983,-755.028,1387054000.0,,5860.281,15472.922,6353.675
1970-01-01 00:00:00.000000083,EQT,EQT CORPORATION,2017-09-30,10-K,2018-02-15,26.311,4702329000.0,23.34,137.694,3091020000.0,,13319.618,29522.604,11107.991
1970-01-01 00:00:00.000000087,EQT,EQT CORPORATION,2017-12-31,10-K,2020-02-27,26.311,4702329000.0,1508.529,382.212,3091020000.0,,13319.618,29522.604,11107.991
1970-01-01 00:00:00.000000092,EQT,EQT CORPORATION,2018-09-30,10-K,2019-02-14,3.487,4697381000.0,-39.693,-147.451,1050046000.0,4709384000.0,10958.229,20721.344,9763.115
1970-01-01 00:00:00.000000096,EQT,EQT CORPORATION,2018-12-31,10-K,2021-02-17,3.487,4697381000.0,-2244.568,-2783.124,4557868000.0,4709384000.0,10958.229,20721.344,9763.115
1970-01-01 00:00:00.000000099,EQT,EQT CORPORATION,2019-09-30,10-K,2020-02-27,4.596,5292979000.0,-361.028,-161.529,951576000.0,3791414000.0,9803.588,18809.227,9005.639
1970-01-01 00:00:00.000000102,EQT,EQT CORPORATION,2019-12-31,10-K,2022-02-10,4.596,5292979000.0,-1221.695,-1152.11,4416484000.0,3791414000.0,9803.588,18809.227,9005.639
1970-01-01 00:00:00.000000105,EQT,EQT CORPORATION,2020-12-31,10-K,2023-02-16,18.21,4925466000.0,-958.799,-877.666,3058843000.0,2650299000.0,9255.24,18113.469,8850.739
1970-01-01 00:00:00.000000108,EQT,EQT CORPORATION,2021-12-31,10-K,2024-02-14,113.963,5591072000.0,-1142.747,-1360.975,3064663000.0,6804020000.0,9954.763,21607.388,11636.389
1970-01-01 00:00:00.000000111,EQT,EQT CORPORATION,2022-12-31,10-K,2025-02-19,1458.644,5678965000.0,1770.965,2717.997,7497689000.0,12114168000.0,11172.474,22669.926,11456.598
1970-01-01 00:00:00.000000114,EQT,EQT CORPORATION,2023-12-31,10-K,2026-02-18,80.977,5795113000.0,1735.232,2314.411,6908923000.0,5044768000.0,14773.2,25285.098,10504.281
1970-01-01 00:00:00.000000116,EQT,EQT CORPORATION,2024-12-31,10-K,2026-02-18,202.093,9324177000.0,230.577,685.296,5273309000.0,,20597.628,39830.255,15552.119
1970-01-01 00:00:00.000000117,EQT,EQT CORPORATION,2025-12-31,10-K,2026-02-18,110.795,7800328000.0,2039.247,3249.619,8644211000.0,,23752.677,41792.874,14432.726
