,ticker,company,end_date,form,filed,cash_usd_m,long_term_debt,net_income_usd_m,operating_income_usd_m,revenue,revenue_alt,shares_outstanding,stockholders_equity_usd_m,total_assets_usd_m,total_liabilities_usd_m
1970-01-01 00:00:00.000000009,GOOG,ALPHABET INC.,2015-12-31,10-K,2019-02-05,16549.0,,16348.0,19360.0,74989000000.0,,687348000.0,120331.0,147461.0,27130.0
1970-01-01 00:00:00.000000013,GOOG,ALPHABET INC.,2016-12-31,10-K,2020-02-04,12918.0,,19478.0,23716.0,90272000000.0,90272000000.0,691293000.0,139036.0,167497.0,28461.0
1970-01-01 00:00:00.000000017,GOOG,ALPHABET INC.,2017-12-31,10-K,2021-02-03,10715.0,,12662.0,26178.0,,110855000000.0,694783000.0,152502.0,197295.0,44793.0
1970-01-01 00:00:00.000000021,GOOG,ALPHABET INC.,2018-12-31,10-K,2022-02-02,16701.0,,30736.0,27524.0,136819000000.0,136819000000.0,695556000.0,177628.0,232792.0,55164.0
1970-01-01 00:00:00.000000025,GOOG,ALPHABET INC.,2019-12-31,10-K,2023-02-03,18498.0,,34343.0,34231.0,161857000000.0,,688335000.0,201442.0,275909.0,74467.0
1970-01-01 00:00:00.000000029,GOOG,ALPHABET INC.,2020-12-31,10-K,2024-01-31,26465.0,,40269.0,41224.0,182527000000.0,182527000000.0,675222000.0,222544.0,319616.0,97072.0
1970-01-01 00:00:00.000000033,GOOG,ALPHABET INC.,2021-12-31,10-K,2025-02-05,20945.0,,76033.0,78714.0,,257637000000.0,13242000000.0,251635.0,359268.0,107633.0
1970-01-01 00:00:00.000000037,GOOG,ALPHABET INC.,2022-12-31,10-K,2026-02-05,21879.0,,59972.0,74842.0,,282836000000.0,12849000000.0,256144.0,365264.0,109120.0
1970-01-01 00:00:00.000000040,GOOG,ALPHABET INC.,2023-12-31,10-K,2026-02-05,24048.0,13000000000.0,73795.0,84293.0,307394000000.0,307394000000.0,12460000000.0,283379.0,402392.0,119013.0
1970-01-01 00:00:00.000000042,GOOG,ALPHABET INC.,2024-12-31,10-K,2026-02-05,23466.0,12000000000.0,100118.0,112390.0,350018000000.0,350018000000.0,12211000000.0,325084.0,450256.0,125172.0
1970-01-01 00:00:00.000000043,GOOG,ALPHABET INC.,2025-12-31,10-K,2026-02-05,30708.0,49085000000.0,132170.0,129039.0,402836000000.0,,12088000000.0,415265.0,595281.0,180016.0
