,ticker,company,end_date,form,filed,cash_usd_m,long_term_debt,net_income_usd_m,operating_income_usd_m,revenue,revenue_alt,shares_outstanding,stockholders_equity_usd_m,total_assets_usd_m
1970-01-01 00:00:00.000000022,LNT,ALLIANT ENERGY CORP,2011-12-31,10-K,2015-02-25,11.4,2716300000.0,321.9,513.3,3221400000.0,,111018821.0,3013.0,9687.9
1970-01-01 00:00:00.000000032,LNT,ALLIANT ENERGY CORP,2012-12-31,10-K,2016-02-24,21.2,3149900000.0,335.7,519.7,3094500000.0,,110987400.0,3134.9,10785.5
1970-01-01 00:00:00.000000042,LNT,ALLIANT ENERGY CORP,2013-12-31,10-K,2017-02-24,9.8,3348400000.0,376.2,533.9,3276800000.0,,221887338.0,3281.4,11092.5
1970-01-01 00:00:00.000000052,LNT,ALLIANT ENERGY CORP,2014-12-31,10-K,2018-02-23,56.9,3802800000.0,393.3,543.6,3350300000.0,,221871360.0,3438.7,12063.5
1970-01-01 00:00:00.000000061,LNT,ALLIANT ENERGY CORP,2015-12-31,10-K,2018-02-23,5.8,3870500000.0,388.4,577.0,3253600000.0,,226918432.0,3724.1,12495.2
1970-01-01 00:00:00.000000072,LNT,ALLIANT ENERGY CORP,2016-12-31,10-K,2020-02-21,8.2,,381.7,554.1,3320000000.0,3320000000.0,227673654.0,4062.0,13373.8
1970-01-01 00:00:00.000000082,LNT,ALLIANT ENERGY CORP,2017-12-31,10-K,2021-02-19,27.9,,467.5,671.2,3382200000.0,3382200000.0,231348646.0,4182.2,14187.8
1970-01-01 00:00:00.000000092,LNT,ALLIANT ENERGY CORP,2018-12-31,10-K,2022-02-18,20.9,,522.0,694.0,3534000000.0,3534000000.0,236063279.0,4585.7,15426.0
1970-01-01 00:00:00.000000099,LNT,ALLIANT ENERGY CORP,2019-12-31,10-K,2023-02-24,16.0,,567.0,778.0,3648000000.0,3648000000.0,245022800.0,5205.0,16701.0
1970-01-01 00:00:00.000000103,LNT,ALLIANT ENERGY CORP,2020-12-31,10-K,2024-02-16,54.0,,624.0,740.0,3416000000.0,3416000000.0,249868415.0,5688.0,17710.0
1970-01-01 00:00:00.000000107,LNT,ALLIANT ENERGY CORP,2021-12-31,10-K,2025-02-21,39.0,,674.0,795.0,3669000000.0,3669000000.0,250474529.0,5990.0,18553.0
1970-01-01 00:00:00.000000111,LNT,ALLIANT ENERGY CORP,2022-12-31,10-K,2026-02-20,20.0,,686.0,928.0,4205000000.0,4205000000.0,251134966.0,6276.0,20163.0
1970-01-01 00:00:00.000000114,LNT,ALLIANT ENERGY CORP,2023-12-31,10-K,2026-02-20,62.0,,703.0,943.0,4027000000.0,4027000000.0,256096848.0,6777.0,21237.0
1970-01-01 00:00:00.000000116,LNT,ALLIANT ENERGY CORP,2024-12-31,10-K,2026-02-20,81.0,,690.0,886.0,3981000000.0,3981000000.0,256690222.0,7004.0,22714.0
1970-01-01 00:00:00.000000117,LNT,ALLIANT ENERGY CORP,2025-12-31,10-K,2026-02-20,556.0,,810.0,1025.0,4362000000.0,4362000000.0,257137261.0,7334.0,24991.0
