,ticker,company,end_date,form,filed,cash_usd_m,long_term_debt,net_income_usd_m,operating_income_usd_m,revenue,revenue_alt,shares_outstanding,stockholders_equity_usd_m,total_assets_usd_m,total_liabilities_usd_m
1970-01-01 00:00:00.000000012,MMM,3M COMPANY,2009-12-31,10-K,2013-02-14,3040.0,5619000000.0,935.0,4814.0,,,710599119.0,12764.0,27250.0,13948.0
1970-01-01 00:00:00.000000019,MMM,3M COMPANY,2010-12-31,10-K,2014-02-13,3377.0,5368000000.0,4085.0,5918.0,,,711977608.0,15663.0,30156.0,14139.0
1970-01-01 00:00:00.000000026,MMM,3M COMPANY,2011-12-31,10-K,2015-02-12,2219.0,5047000000.0,4283.0,6178.0,,,694970041.0,15420.0,31616.0,15754.0
1970-01-01 00:00:00.000000036,MMM,3M COMPANY,2012-12-31,10-K,2016-02-11,2883.0,5902000000.0,4444.0,6483.0,,,687091650.0,17575.0,33876.0,15836.0
1970-01-01 00:00:00.000000045,MMM,3M COMPANY,2013-12-31,10-K,2016-02-11,2581.0,5912000000.0,4659.0,6666.0,,,663296239.0,17502.0,33304.0,15602.0
1970-01-01 00:00:00.000000051,MMM,3M COMPANY,2014-09-30,10-K,2015-02-12,1897.0,6760000000.0,1303.0,7135.0,,,635134594.0,13109.0,31374.0,18067.0
1970-01-01 00:00:00.000000055,MMM,3M COMPANY,2014-12-31,10-K,2017-02-09,1897.0,6760000000.0,4956.0,7135.0,,,635134594.0,13109.0,31374.0,18067.0
1970-01-01 00:00:00.000000060,MMM,3M COMPANY,2015-09-30,10-K,2016-02-11,1798.0,9878000000.0,1296.0,6946.0,,,609330124.0,11429.0,32883.0,21415.0
1970-01-01 00:00:00.000000064,MMM,3M COMPANY,2015-12-31,10-K,2018-02-08,1798.0,9878000000.0,4833.0,6946.0,,,609330124.0,11429.0,32883.0,21415.0
1970-01-01 00:00:00.000000069,MMM,3M COMPANY,2016-09-30,10-K,2017-02-09,,11478000000.0,1329.0,7027.0,30109000000.0,30109000000.0,596726278.0,10298.0,32906.0,22563.0
1970-01-01 00:00:00.000000073,MMM,3M COMPANY,2016-12-31,10-K,2019-02-07,2398.0,11478000000.0,5050.0,7027.0,30109000000.0,30109000000.0,596726278.0,10298.0,32906.0,22563.0
1970-01-01 00:00:00.000000078,MMM,3M COMPANY,2017-09-30,10-K,2018-02-08,,13198000000.0,1429.0,7692.0,31657000000.0,7990000000.0,594884237.0,11563.0,37987.0,26365.0
1970-01-01 00:00:00.000000082,MMM,3M COMPANY,2017-12-31,10-K,2020-02-06,,13198000000.0,4858.0,7692.0,31657000000.0,7990000000.0,594884237.0,11563.0,37987.0,26365.0
1970-01-01 00:00:00.000000087,MMM,3M COMPANY,2018-09-30,10-K,2019-02-07,,14156000000.0,1543.0,7207.0,32765000000.0,8152000000.0,576575168.0,9796.0,36500.0,26652.0
1970-01-01 00:00:00.000000091,MMM,3M COMPANY,2018-12-31,10-K,2021-02-04,,14156000000.0,5349.0,7207.0,32765000000.0,32765000000.0,576575168.0,9796.0,36500.0,26652.0
1970-01-01 00:00:00.000000096,MMM,3M COMPANY,2019-09-30,10-K,2020-02-06,,19359000000.0,1583.0,6174.0,32136000000.0,7991000000.0,575184835.0,10063.0,44659.0,34533.0
1970-01-01 00:00:00.000000100,MMM,3M COMPANY,2019-12-31,10-K,2022-02-09,,19359000000.0,4517.0,6174.0,32136000000.0,32136000000.0,575184835.0,10063.0,44659.0,34533.0
1970-01-01 00:00:00.000000103,MMM,3M COMPANY,2020-09-30,10-K,2021-02-04,,18783000000.0,1413.0,7161.0,32184000000.0,8350000000.0,577749638.0,12867.0,47344.0,34413.0
1970-01-01 00:00:00.000000106,MMM,3M COMPANY,2020-12-31,10-K,2023-02-08,,18783000000.0,5449.0,7161.0,32184000000.0,32184000000.0,577749638.0,12867.0,47344.0,34413.0
1970-01-01 00:00:00.000000109,MMM,3M COMPANY,2021-12-31,10-K,2024-02-07,,17347000000.0,5921.0,7369.0,35355000000.0,35355000000.0,571845478.0,15046.0,47072.0,31955.0
1970-01-01 00:00:00.000000112,MMM,3M COMPANY,2022-12-31,10-K,2025-02-05,,15939000000.0,5777.0,4369.0,26161000000.0,26161000000.0,549245105.0,14722.0,46455.0,31685.0
1970-01-01 00:00:00.000000115,MMM,3M COMPANY,2023-09-30,10-K,2025-02-05,,14240000000.0,-2075.0,-10689.0,6270000000.0,24610000000.0,552581136.0,4807.0,50580.0,45712.0
1970-01-01 00:00:00.000000118,MMM,3M COMPANY,2023-12-31,10-K,2026-02-03,,14240000000.0,-6995.0,-10689.0,24610000000.0,24610000000.0,552581136.0,4807.0,50580.0,45712.0
1970-01-01 00:00:00.000000120,MMM,3M COMPANY,2024-06-30,10-K,2025-02-05,,13044000000.0,1145.0,4822.0,6255000000.0,24575000000.0,539470303.0,3842.0,39868.0,35974.0
1970-01-01 00:00:00.000000121,MMM,3M COMPANY,2024-09-30,10-K,2025-02-05,,13044000000.0,1372.0,4822.0,6294000000.0,24575000000.0,539470303.0,3842.0,39868.0,35974.0
1970-01-01 00:00:00.000000123,MMM,3M COMPANY,2024-12-31,10-K,2026-02-03,,13044000000.0,4173.0,4822.0,24575000000.0,24575000000.0,539470303.0,3842.0,39868.0,35974.0
1970-01-01 00:00:00.000000124,MMM,3M COMPANY,2025-12-31,10-K,2026-02-03,,12602000000.0,3250.0,4629.0,24948000000.0,24948000000.0,530279131.0,4702.0,37733.0,32986.0
