,ticker,company,end_date,form,filed,cash_usd_m,long_term_debt,net_income_usd_m,operating_income_usd_m,revenue_alt,shares_outstanding,stockholders_equity_usd_m,total_assets_usd_m,total_liabilities_usd_m
1970-01-01 00:00:00.000000005,MO,"ALTRIA GROUP, INC.",2008-12-31,10-K,2012-02-16,7916.0,500000000.0,4930.0,4882.0,,2061371584.0,2828.0,27215.0,24387.0
1970-01-01 00:00:00.000000012,MO,"ALTRIA GROUP, INC.",2009-12-31,10-K,2013-02-27,1871.0,11960000000.0,3206.0,5462.0,,2076028644.0,4069.0,36677.0,32573.0
1970-01-01 00:00:00.000000022,MO,"ALTRIA GROUP, INC.",2010-12-31,10-K,2014-02-26,2314.0,12194000000.0,919.0,6228.0,,2088739666.0,5192.0,37402.0,32175.0
1970-01-01 00:00:00.000000029,MO,"ALTRIA GROUP, INC.",2011-12-31,10-K,2015-02-25,3270.0,13689000000.0,3390.0,6068.0,,2044419285.0,3680.0,36751.0,33036.0
1970-01-01 00:00:00.000000036,MO,"ALTRIA GROUP, INC.",2012-12-31,10-K,2016-02-25,2900.0,13878000000.0,4180.0,7253.0,,2009740296.0,3168.0,35329.0,32125.0
1970-01-01 00:00:00.000000046,MO,"ALTRIA GROUP, INC.",2013-12-31,10-K,2017-02-27,3175.0,14517000000.0,4535.0,8084.0,,1993479282.0,4119.0,34859.0,30706.0
1970-01-01 00:00:00.000000056,MO,"ALTRIA GROUP, INC.",2014-12-31,10-K,2018-02-27,3321.0,14693000000.0,5070.0,7620.0,,1971474523.0,3014.0,34475.0,31430.0
1970-01-01 00:00:00.000000066,MO,"ALTRIA GROUP, INC.",2015-12-31,10-K,2019-02-26,2369.0,12847000000.0,5241.0,8361.0,,1960059481.0,2880.0,31459.0,28549.0
1970-01-01 00:00:00.000000076,MO,"ALTRIA GROUP, INC.",2016-12-31,10-K,2020-02-25,4569.0,13881000000.0,14239.0,8761.0,25744000000.0,1943272224.0,12770.0,45932.0,33121.0
1970-01-01 00:00:00.000000086,MO,"ALTRIA GROUP, INC.",2017-12-31,10-K,2021-02-26,1253.0,13894000000.0,10222.0,9593.0,25576000000.0,1901259192.0,15377.0,43202.0,27784.0
1970-01-01 00:00:00.000000096,MO,"ALTRIA GROUP, INC.",2018-12-31,10-K,2022-02-25,1333.0,13042000000.0,6963.0,9115.0,25364000000.0,1874057595.0,14787.0,55459.0,40631.0
1970-01-01 00:00:00.000000106,MO,"ALTRIA GROUP, INC.",2019-12-31,10-K,2023-02-27,2117.0,28042000000.0,-1293.0,10326.0,25110000000.0,1857981554.0,6222.0,49271.0,42914.0
1970-01-01 00:00:00.000000113,MO,"ALTRIA GROUP, INC.",2020-12-31,10-K,2024-02-27,4945.0,29471000000.0,4467.0,10873.0,26153000000.0,1858419165.0,2839.0,47414.0,44449.0
1970-01-01 00:00:00.000000117,MO,"ALTRIA GROUP, INC.",2021-12-31,10-K,2025-02-26,4544.0,28044000000.0,2475.0,11560.0,26013000000.0,1823175618.0,-1606.0,39523.0,41129.0
1970-01-01 00:00:00.000000121,MO,"ALTRIA GROUP, INC.",2022-12-31,10-K,2026-02-25,4030.0,26680000000.0,5764.0,11919.0,25096000000.0,1785534122.0,-3973.0,36954.0,40877.0
1970-01-01 00:00:00.000000124,MO,"ALTRIA GROUP, INC.",2023-12-31,10-K,2026-02-25,3686.0,26233000000.0,8130.0,11547.0,24483000000.0,1763461775.0,-3540.0,38570.0,42060.0
1970-01-01 00:00:00.000000126,MO,"ALTRIA GROUP, INC.",2024-12-31,10-K,2026-02-25,3127.0,24926000000.0,11264.0,11241.0,24018000000.0,1690651867.0,-2238.0,35177.0,37365.0
1970-01-01 00:00:00.000000127,MO,"ALTRIA GROUP, INC.",2025-12-31,10-K,2026-02-25,4474.0,25709000000.0,6947.0,9899.0,23279000000.0,1674318297.0,-3502.0,35017.0,38469.0
