,ticker,company,end_date,form,filed,cash_usd_m,long_term_debt,net_income_usd_m,operating_income_usd_m,revenue,total_assets_usd_m,total_liabilities_usd_m
1970-01-01 00:00:00.000000012,T,AT&T INC.,2009-12-31,10-K,2013-02-22,3277.0,72048000000.0,12138.0,21000.0,122513000000.0,268312.0,
1970-01-01 00:00:00.000000022,T,AT&T INC.,2010-12-31,10-K,2014-02-21,1201.0,64515000000.0,19864.0,19573.0,124280000000.0,269391.0,
1970-01-01 00:00:00.000000031,T,AT&T INC.,2011-12-31,10-K,2014-02-21,3045.0,64753000000.0,3944.0,9218.0,126723000000.0,270442.0,
1970-01-01 00:00:00.000000052,T,AT&T INC.,2013-12-31,10-K,2017-02-17,3339.0,,18418.0,30752.0,128752000000.0,277787.0,186813.0
1970-01-01 00:00:00.000000062,T,AT&T INC.,2014-12-31,10-K,2018-02-20,8603.0,,-3999.0,12212.0,132447000000.0,296834.0,206564.0
1970-01-01 00:00:00.000000071,T,AT&T INC.,2015-12-31,10-K,2018-02-20,5121.0,,13345.0,24785.0,146801000000.0,402672.0,279032.0
1970-01-01 00:00:00.000000112,T,AT&T INC.,2019-12-31,10-K,2023-02-13,9702.0,161109000000.0,13903.0,27955.0,181193000000.0,551669.0,
1970-01-01 00:00:00.000000116,T,AT&T INC.,2020-12-31,10-K,2024-02-23,7924.0,155209000000.0,-5176.0,8372.0,143050000000.0,525761.0,
1970-01-01 00:00:00.000000123,T,AT&T INC.,2021-12-31,10-K,2025-02-12,19223.0,167476000000.0,20081.0,25897.0,134038000000.0,551622.0,
1970-01-01 00:00:00.000000133,T,AT&T INC.,2022-12-31,10-K,2026-02-09,3701.0,133207000000.0,-8524.0,-4587.0,120741000000.0,402853.0,
1970-01-01 00:00:00.000000136,T,AT&T INC.,2023-09-30,10-K,2024-02-23,6722.0,133402000000.0,14400.0,5782.0,30350000000.0,407060.0,
1970-01-01 00:00:00.000000139,T,AT&T INC.,2023-12-31,10-K,2026-02-09,6722.0,133402000000.0,14400.0,23461.0,122428000000.0,407060.0,
1970-01-01 00:00:00.000000141,T,AT&T INC.,2024-12-31,10-K,2026-02-09,3298.0,122116000000.0,10948.0,19049.0,122336000000.0,394795.0,
1970-01-01 00:00:00.000000142,T,AT&T INC.,2025-12-31,10-K,2026-02-09,18234.0,134718000000.0,21953.0,24162.0,125648000000.0,420198.0,
