,ticker,company,end_date,form,filed,cash_usd_m,net_income_usd_m,operating_income_usd_m,revenue,revenue_alt,shares_outstanding,stockholders_equity_usd_m,total_assets_usd_m
1970-01-01 00:00:00.000000042,TECH,BIO-TECHNE CORPORATION,2017-06-30,10-K,2020-08-26,91.612,76.086,120.584,,563003000.0,37356041.0,949.627,1558.219
1970-01-01 00:00:00.000000047,TECH,BIO-TECHNE CORPORATION,2018-03-31,10-K,2018-08-27,121.99,19.738,136.178,,642993000.0,37607500.0,1079.061,1593.202
1970-01-01 00:00:00.000000051,TECH,BIO-TECHNE CORPORATION,2018-06-30,10-K,2020-08-26,121.99,126.15,136.178,,642993000.0,37607500.0,1079.061,1593.202
1970-01-01 00:00:00.000000056,TECH,BIO-TECHNE CORPORATION,2019-03-31,10-K,2019-08-28,100.886,44.654,146.719,,714006000.0,37934040.0,1165.589,1884.41
1970-01-01 00:00:00.000000060,TECH,BIO-TECHNE CORPORATION,2019-06-30,10-K,2021-08-25,100.886,96.072,146.719,,714006000.0,37934040.0,1165.589,1884.41
1970-01-01 00:00:00.000000063,TECH,BIO-TECHNE CORPORATION,2020-03-31,10-K,2020-08-26,146.625,36.432,157.419,,738691000.0,38453046.0,1381.192,2027.589
1970-01-01 00:00:00.000000066,TECH,BIO-TECHNE CORPORATION,2020-06-30,10-K,2022-08-24,146.625,229.296,157.419,,738691000.0,38453046.0,1381.192,2027.589
1970-01-01 00:00:00.000000069,TECH,BIO-TECHNE CORPORATION,2021-06-30,10-K,2023-08-23,199.091,140.41,237.296,,931032000.0,38955484.0,1562.971,2262.957
1970-01-01 00:00:00.000000072,TECH,BIO-TECHNE CORPORATION,2022-06-30,10-K,2024-08-22,172.567,272.051,296.59,,1105599000.0,156644212.0,1701.77,2294.805
1970-01-01 00:00:00.000000075,TECH,BIO-TECHNE CORPORATION,2023-06-30,10-K,2025-08-22,180.571,285.263,298.944,1136702000.0,1136702000.0,157641914.0,1966.516,2638.692
1970-01-01 00:00:00.000000077,TECH,BIO-TECHNE CORPORATION,2024-06-30,10-K,2025-08-22,151.791,168.105,206.686,1159060000.0,1159060000.0,158216258.0,2068.85,2703.867
1970-01-01 00:00:00.000000078,TECH,BIO-TECHNE CORPORATION,2025-06-30,10-K,2025-08-22,162.186,73.4,102.255,1219635000.0,1219635000.0,154972196.0,,2557.868
