date,open,high,low,close,volume,dividends,stock_splits,ticker,pe_ratio,eps,market_cap_usd_m,revenue_ttm_usd_m,debt_to_equity,beta,52w_high,52w_low,sector,industry,long_name,daily_return,log_return,rolling_vol_30d,rolling_vol_60d,sma_20,sma_50,price_vs_52w_high_pct,close_norm,volume_norm
2025-03-04,124.00179606341585,124.74580683979634,120.48014202782724,122.07728576660156,2524100,0.0,0.0,A,26.376368,4.57,34172.954624,7064.999936,48.552,1.312,160.27,96.43,Healthcare,Diagnostics & Research,"Agilent Technologies, Inc.",,,,,,,-23.830232877892584,0.4014713796038279,0.3606378409334956
2025-03-05,121.50191649711246,126.28342518739196,121.31343135556071,125.4997329711914,2046900,0.0,0.0,A,26.376368,4.57,34172.954624,7064.999936,48.552,1.312,160.27,96.43,Healthcare,Diagnostics & Research,"Agilent Technologies, Inc.",0.028035085995712583,0.027649296796570272,,,,,-21.69480690635091,0.4602629998644844,0.2752344477056339
2025-03-06,124.99380255645903,128.46585262747178,124.76563593595203,125.53941345214844,2300000,0.0,0.0,A,26.376368,4.57,34172.954624,7064.999936,48.552,1.312,160.27,96.43,Healthcare,Diagnostics & Research,"Agilent Technologies, Inc.",0.00031617980387377287,0.00031612982957321623,,,,,-21.670048385756267,0.46094464069887253,0.3205311761758179
2025-03-07,124.94419880424539,127.07703864415284,123.40658117113809,125.6882095336914,2056100,0.0,0.0,A,26.376368,4.57,34172.954624,7064.999936,48.552,1.312,160.27,96.43,Healthcare,Diagnostics & Research,"Agilent Technologies, Inc.",0.0011852539170871257,0.0011845520581957314,,,,,-21.577207503780247,0.46350069553314904,0.276880950676498
2025-03-10,124.2101090871229,125.63861209519436,120.64878139754333,120.92654418945312,3412300,0.0,0.0,A,26.376368,4.57,34172.954624,7064.999936,48.552,1.312,160.27,96.43,Healthcare,Diagnostics & Research,"Agilent Technologies, Inc.",-0.03788474163093147,-0.03862102429876056,,,,,-24.548234735475685,0.3817036643469996,0.5195969647075668
2025-03-11,121.6110394647989,122.29553181033565,118.3473188080494,120.0634994506836,2106600,0.0,0.0,A,26.376368,4.57,34172.954624,7064.999936,48.552,1.312,160.27,96.43,Healthcare,Diagnostics & Research,"Agilent Technologies, Inc.",-0.007136933785335198,-0.007162523524804043,,,,,-25.08672898815525,0.36687807449373655,0.28591882024482784
2025-03-12,121.1249537937135,122.71217528159096,118.12907370837412,118.8929214477539,1807100,0.0,0.0,A,26.376368,4.57,34172.954624,7064.999936,48.552,1.312,160.27,96.43,Healthcare,Diagnostics & Research,"Agilent Technologies, Inc.",-0.00974965754192847,-0.00979749665025764,,,,,-25.81710772586641,0.3467696043495002,0.23231798983463384
2025-03-13,118.04971337588316,119.12109074228177,116.23432521089704,116.39305114746094,1984800,0.0,0.0,A,26.376368,4.57,34172.954624,7064.999936,48.552,1.312,160.27,96.43,Healthcare,Diagnostics & Research,"Agilent Technologies, Inc.",-0.02102623326815556,-0.021250432794461146,,,,,-27.376894523328797,0.30382623178304713,0.2641205526523015
2025-03-14,117.86121887050997,121.07535071478625,116.56168253395624,120.21229553222656,2978800,0.0,0.0,A,26.376368,4.57,34172.954624,7064.999936,48.552,1.312,160.27,96.43,Healthcare,Diagnostics & Research,"Agilent Technologies, Inc.",0.03281333676807674,0.03228647368155751,,,,,-24.993888106179227,0.369434129328013,0.44201446059130933
2025-03-17,120.13292633455607,122.5137620913199,119.81548207155211,121.51182556152344,2015400,0.0,0.0,A,26.376368,4.57,34172.954624,7064.999936,48.552,1.312,160.27,96.43,Healthcare,Diagnostics & Research,"Agilent Technologies, Inc.",0.01081029210484119,0.010752278617817948,,,,,-24.183050126958612,0.3917577683595457,0.2695969647075668
2025-03-18,121.12495188719099,122.21616616990157,120.45038181940227,122.1169662475586,1415400,0.0,0.0,A,26.376368,4.57,34172.954624,7064.999936,48.552,1.312,160.27,96.43,Healthcare,Diagnostics & Research,"Agilent Technologies, Inc.",0.00498009706659186,0.004967737401100038,,,,,-23.805474357297943,0.40215302043821605,0.1622163361729544
2025-03-19,121.58127332448748,122.255843368639,120.34125541747869,121.23406982421875,1706100,0.0,0.0,A,26.376368,4.57,34172.954624,7064.999936,48.552,1.312,160.27,96.43,Healthcare,Diagnostics & Research,"Agilent Technologies, Inc.",-0.0072299243133014945,-0.0072561868768824984,,,,,-24.35635501078259,0.38698641357840075,0.2142422506979741
