date,open,high,low,close,volume,dividends,stock_splits,ticker,pe_ratio,eps,market_cap_usd_m,revenue_ttm_usd_m,debt_to_equity,beta,52w_high,52w_low,sector,industry,long_name,daily_return,log_return,rolling_vol_30d,rolling_vol_60d,sma_20,sma_50,price_vs_52w_high_pct,close_norm,volume_norm
2025-03-04,139.9949951171875,143.22999572753906,137.82000732421875,141.4199981689453,4799500,0.0,0.0,ABNB,33.63275,4.03,81258.119168,12241.000448,27.698,1.163,143.88,99.88,Consumer Cyclical,Travel Services,"Airbnb, Inc.",,,,,,,-1.7097594044027542,0.968555064209763,0.20830918235701065
2025-03-05,141.8699951171875,142.7899932861328,139.2100067138672,142.5800018310547,3881600,0.0,0.0,ABNB,33.63275,4.03,81258.119168,12241.000448,27.698,1.163,143.88,99.88,Consumer Cyclical,Travel Services,"Airbnb, Inc.",0.008202543325757983,0.008169085303320653,,,,,-0.9035294474182012,1.0,0.15110097289481392
2025-03-06,140.3249969482422,140.3249969482422,134.61000061035156,134.77000427246094,5924300,0.0,0.0,ABNB,33.63275,4.03,81258.119168,12241.000448,27.698,1.163,143.88,99.88,Consumer Cyclical,Travel Services,"Airbnb, Inc.",-0.054776248129439264,-0.056333605048842474,,,,,-6.331662307158088,0.7882895720300477,0.2784124550480215
2025-03-07,134.7100067138672,134.72999572753906,130.3699951171875,134.38999938964844,5616600,0.0,0.0,ABNB,33.63275,4.03,81258.119168,12241.000448,27.698,1.163,143.88,99.88,Consumer Cyclical,Travel Services,"Airbnb, Inc.",-0.0028196547508023695,-0.002823637465608162,,,,,-6.595774680533471,0.7779885449468341,0.25923502172029744
2025-03-10,134.57000732421875,135.94000244140625,130.1999969482422,132.14999389648438,7493000,0.0,0.0,ABNB,33.63275,4.03,81258.119168,12241.000448,27.698,1.163,143.88,99.88,Consumer Cyclical,Travel Services,"Airbnb, Inc.",-0.016667947788803983,-0.016808421153301775,,,,,-8.152631431412024,0.7172673324170062,0.37618183971230734
2025-03-11,129.97999572753906,130.7689971923828,123.69999694824219,125.44000244140625,9318400,0.0,0.0,ABNB,33.63275,4.03,81258.119168,12241.000448,27.698,1.163,143.88,99.88,Consumer Cyclical,Travel Services,"Airbnb, Inc.",-0.05077557143388289,-0.05211001879918817,,,,,-12.81623405518053,0.5353754493566615,0.48995007759474973
2025-03-12,127.0,127.4800033569336,123.53099822998047,126.55000305175781,4834100,0.0,0.0,ABNB,33.63275,4.03,81258.119168,12241.000448,27.698,1.163,143.88,99.88,Consumer Cyclical,Travel Services,"Airbnb, Inc.",0.008848856734278598,0.008809935041330135,,,,,-12.044757400779945,0.5654649215365671,0.21046563082350156
2025-03-13,124.98999786376953,126.22000122070312,119.1500015258789,119.37999725341797,7669700,0.0,0.0,ABNB,33.63275,4.03,81258.119168,12241.000448,27.698,1.163,143.88,99.88,Consumer Cyclical,Travel Services,"Airbnb, Inc.",-0.05665749210142157,-0.05832585137271865,,,,,-17.028080863623874,0.37110314552765256,0.387194684915456
2025-03-14,121.87999725341797,124.44999694824219,121.56999969482422,122.86000061035156,4418200,0.0,0.0,ABNB,33.63275,4.03,81258.119168,12241.000448,27.698,1.163,143.88,99.88,Consumer Cyclical,Travel Services,"Airbnb, Inc.",0.029150640283114537,0.028733840970193433,,,,,-14.6093962952797,0.46543774608365324,0.1845446216554793
2025-03-17,123.9000015258789,128.0,123.75,126.94000244140625,5266200,0.0,0.0,ABNB,33.63275,4.03,81258.119168,12241.000448,27.698,1.163,143.88,99.88,Consumer Cyclical,Travel Services,"Airbnb, Inc.",0.03320854477279678,0.032669052407437914,,,,,-11.773698608975359,0.5760368758900788,0.23739630661456287
2025-03-18,126.0,126.06999969482422,123.0,124.55999755859375,3918000,0.0,0.0,ABNB,33.63275,4.03,81258.119168,12241.000448,27.698,1.163,143.88,99.88,Consumer Cyclical,Travel Services,"Airbnb, Inc.",-0.01874905338773003,-0.01892704518558167,,,,,-13.427858243957635,0.5115206134289755,0.15336960654164253
2025-03-19,125.0999984741211,127.08000183105469,124.12000274658203,126.0,4353100,0.0,0.0,ABNB,33.63275,4.03,81258.119168,12241.000448,27.698,1.163,143.88,99.88,Consumer Cyclical,Travel Services,"Airbnb, Inc.",0.011560713468454109,0.01149439902597812,,,,,-12.427022518765634,0.5505556490817634,0.18048725763326665
2025-03-20,124.69999694824219,127.7699966430664,124.36000061035156,126.1500015258789,3260600,0.0,0.0,ABNB,33.63275,4.03,81258.119168,12241.000448,27.698,1.163,143.88,99.88,Consumer Cyclical,Travel Services,"Airbnb, Inc.",0.0011904883006261802,0.001189780231338969,,,,,-12.32276791362322,0.5546218330980471,0.11239708567831523
2025-03-21,124.65499877929688,129.25,123.30000305175781,128.8000030517578,8704200,0.0,0.0,ABNB,33.63275,4.03,81258.119168,12241.000448,27.698,1.163,143.88,99.88,Consumer Cyclical,Travel Services,"Airbnb, Inc.",0.021006749851963047,0.02078915018120768,,,,,-10.480954231472188,0.6264570613366931,0.4516700010595267
2025-03-24,130.2449951171875,130.72000122070312,128.69000244140625,129.82000732421875,3706200,0.0,0.0,ABNB,33.63275,4.03,81258.119168,12241.000448,27.698,1.163,143.88,99.88,Consumer Cyclical,Travel Services,"Airbnb, Inc.",0.007919287642027761,0.007888094659557846,,,,,-9.772027158591358,0.6541069471956545,0.14016915032190913
2025-03-25,129.5500030517578,130.75999450683594,128.5500030517578,129.8800048828125,4362900,0.0,0.0,ABNB,33.63275,4.03,81258.119168,12241.000448,27.698,1.163,143.88,99.88,Consumer Cyclical,Travel Services,"Airbnb, Inc.",0.0004621595687013258,0.0004620528058609003,,,,,-9.730327437578188,0.655733338076284,0.18109804361510512
2025-03-26,129.97000122070312,131.0,127.8499984741211,128.63999938964844,3502100,0.0,0.0,ABNB,33.63275,4.03,81258.119168,12241.000448,27.698,1.163,143.88,99.88,Consumer Cyclical,Travel Services,"Airbnb, Inc.",-0.009547316342364498,-0.009593184143435608,,,,,-10.592160557653294,0.6221197432354011,0.12744859737362027
2025-03-27,126.01499938964844,127.08999633789062,123.43000030517578,125.6500015258789,4904500,0.0,0.0,ABNB,33.63275,4.03,81258.119168,12241.000448,27.698,1.163,143.88,99.88,Consumer Cyclical,Travel Services,"Airbnb, Inc.",-0.023243142707991438,-0.02351752455252371,,,,,-12.670279729024944,0.5410680242535747,0.2148533178767085
2025-03-28,125.54000091552734,125.54000091552734,119.94000244140625,120.69000244140625,3997100,0.0,0.0,ABNB,33.63275,4.03,81258.119168,12241.000448,27.698,1.163,143.88,99.88,Consumer Cyclical,Travel Services,"Airbnb, Inc.",-0.03947472363103066,-0.040274981274940946,,,,,-16.117596301496903,0.4066142653341733,0.15829952196648156
2025-03-31,118.80999755859375,119.94999694824219,115.68000030517578,119.45999908447266,7090000,0.0,0.0,ABNB,33.63275,4.03,81258.119168,12241.000448,27.698,1.163,143.88,99.88,Consumer Cyclical,Travel Services,"Airbnb, Inc.",-0.010191427061497893,-0.010243715218265292,,,128.30650100708007,,-16.97247770053332,0.3732718045782986,0.3510648243367051
2025-04-01,119.66999816894531,121.3499984741211,117.80000305175781,121.18000030517578,3916400,0.0,0.0,ABNB,33.63275,4.03,81258.119168,12241.000448,27.698,1.163,143.88,99.88,Consumer Cyclical,Travel Services,"Airbnb, Inc.",0.014398135224217512,0.014295466394932763,,,127.2945011138916,,-15.777036207133872,0.4198969400936374,0.15326988638134237
2025-04-02,119.4800033569336,124.58999633789062,119.08000183105469,122.80000305175781,5184800,0.0,0.0,ABNB,33.63275,4.03,81258.119168,12241.000448,27.698,1.163,143.88,99.88,Consumer Cyclical,Travel Services,"Airbnb, Inc.",0.013368565295446944,0.013279994529279143,,,126.30550117492676,,-14.651096016292872,0.4638113552030238,0.23232304345929236
2025-04-03,116.62000274658203,117.18000030517578,111.80000305175781,113.97000122070312,7950600,0.0,0.0,ABNB,33.63275,4.03,81258.119168,12241.000448,27.698,1.163,143.88,99.88,Consumer Cyclical,Travel Services,"Airbnb, Inc.",-0.06710253801635489,-0.07462177398610517,,,125.26550102233887,,-20.78815594891359,0.22445104137411,0.40470180555815244
2025-04-04,109.26000213623047,110.41999816894531,104.7300033569336,106.66000366210938,10259900,0.0,0.0,ABNB,33.63275,4.03,81258.119168,12241.000448,27.698,1.163,143.88,99.88,Consumer Cyclical,Travel Services,"Airbnb, Inc.",-0.06413966377378488,-0.06628902707150776,,,123.87900123596191,,-25.868776993251753,0.026294422248630163,0.5486291594213738
2025-04-07,103.01000213623047,110.91000366210938,99.87999725341797,106.30000305175781,9975600,0.0,0.0,ABNB,33.63275,4.03,81258.119168,12241.000448,27.698,1.163,143.88,99.88,Consumer Cyclical,Travel Services,"Airbnb, Inc.",-0.0033752165572018544,-0.0033809254500586287,,,122.58650169372558,,-26.118985924549754,0.01653566333543319,0.5309101334380395
2025-04-08,110.73999786376953,112.97000122070312,104.1500015258789,105.69000244140625,7661500,0.0,0.0,ABNB,33.63275,4.03,81258.119168,12241.000448,27.698,1.163,143.88,99.88,Consumer Cyclical,Travel Services,"Airbnb, Inc.",-0.005738481588326461,-0.005755009935872365,,,121.59900169372558,,-26.542950763548617,0.0,0.3866836190939177
