date,open,high,low,close,volume,dividends,stock_splits,ticker,pe_ratio,eps,market_cap_usd_m,revenue_ttm_usd_m,debt_to_equity,beta,52w_high,52w_low,sector,industry,long_name,daily_return,log_return,rolling_vol_30d,rolling_vol_60d,sma_20,sma_50,price_vs_52w_high_pct,close_norm,volume_norm
2025-03-04,79.96909909672144,80.42925548817051,77.73685806292161,78.17742919921875,8103800,0.0,0.0,AIG,14.41989,5.43,42248.8064,26610.999296,24.408,0.58,88.07,71.25,Financial Services,Insurance - Diversified,"American International Group, Inc.",,,,,,,-11.232622687386447,0.4277164023712371,0.4691458265670672
2025-03-05,79.13690051832613,80.25302097169596,78.23617304184974,79.60684204101562,4689200,0.0,0.0,AIG,14.41989,5.43,42248.8064,26610.999296,24.408,0.58,88.07,71.25,Financial Services,Insurance - Diversified,"American International Group, Inc.",0.018284213953292383,0.01811906772168389,,,,,-9.609580968529997,0.5249553913880207,0.23810490418967198
2025-03-06,79.21522385037986,80.00825481092984,78.66694880012622,79.57746887207031,4287300,0.0,0.0,AIG,14.41989,5.43,42248.8064,26610.999296,24.408,0.58,88.07,71.25,Financial Services,Insurance - Diversified,"American International Group, Inc.",-0.000368977944511073,-0.0003690460336222761,,,,,-9.642933039547726,0.5229572162150099,0.2109112807188481
2025-03-07,79.02920063745411,80.0963653795076,78.53967388174104,79.81243896484375,4439100,0.0,0.0,AIG,14.41989,5.43,42248.8064,26610.999296,24.408,0.58,88.07,71.25,Financial Services,Insurance - Diversified,"American International Group, Inc.",0.0029527213682956077,0.0029483706487605497,,,,,-9.376133797157085,0.5389415795860196,0.22118247266428495
2025-03-10,79.18585438012512,81.19291729614724,78.81381669224389,80.20407104492188,5444400,0.0,0.0,AIG,14.41989,5.43,42248.8064,26610.999296,24.408,0.58,88.07,71.25,Financial Services,Insurance - Diversified,"American International Group, Inc.",0.004906905303954323,0.004894905682119254,,,,,-8.931451067421504,0.5655832232174461,0.28920374580491504
2025-03-11,80.20406956938507,80.44883297075863,78.98025256251731,79.9201431274414,6174600,0.0,0.0,AIG,14.41989,5.43,42248.8064,26610.999296,24.408,0.58,88.07,71.25,Financial Services,Insurance - Diversified,"American International Group, Inc.",-0.0035400686496505074,-0.003546349520195753,,,,,-9.253839982466888,0.5462683948892388,0.33861102089422973
2025-03-12,79.99847031549804,80.03763335661004,77.83476271376756,78.69632720947266,4357000,0.0,0.0,AIG,14.41989,5.43,42248.8064,26610.999296,24.408,0.58,88.07,71.25,Financial Services,Insurance - Diversified,"American International Group, Inc.",-0.015312984562818488,-0.015431439128734577,,,,,-10.643434529950422,0.4630155940704541,0.2156273681931363
2025-03-13,79.05857393757762,80.39008735935631,78.49072108749257,79.8418197631836,6233900,0.0,0.0,AIG,14.41989,5.43,42248.8064,26610.999296,24.408,0.58,88.07,71.25,Financial Services,Insurance - Diversified,"American International Group, Inc.",0.014555857869476885,0.014450938274644122,,,,,-9.342773063263769,0.5409402737655689,0.34262341669373175
2025-03-14,79.84181874341097,81.7901331859993,78.91171340368534,81.38871765136719,6241300,0.0,0.0,AIG,14.41989,5.43,42248.8064,26610.999296,24.408,0.58,88.07,71.25,Financial Services,Insurance - Diversified,"American International Group, Inc.",0.019374531952951468,0.01918923524203791,,,,,-7.586331723211997,0.6461714444678575,0.3431241203854065
2025-03-17,81.29035020245037,82.9234408900413,81.15262056683454,82.53976440429688,4710100,0.4,0.0,AIG,14.41989,5.43,42248.8064,26610.999296,24.408,0.58,88.07,71.25,Financial Services,Insurance - Diversified,"American International Group, Inc.",0.014142583716090229,0.014043510388239746,,,,,-6.279363683096535,0.7244739609229597,0.23951905380534805
