date,open,high,low,close,volume,dividends,stock_splits,ticker,pe_ratio,eps,market_cap_usd_m,revenue_ttm_usd_m,debt_to_equity,beta,52w_high,52w_low,sector,industry,long_name,daily_return,log_return,rolling_vol_30d,rolling_vol_60d,sma_20,sma_50,price_vs_52w_high_pct,close_norm,volume_norm
2025-03-04,80.55000305175781,82.7300033569336,79.9000015258789,82.18000030517578,3101400,0.0,0.0,AKAM,33.543976,3.07,14920.578048,4208.175104,114.024,0.704,113.5,67.51,Technology,Software - Infrastructure,"Akamai Technologies, Inc.",,,,,,,-27.59471338751032,0.32078071737676384,0.12202392061299903
2025-03-05,81.7300033569336,82.9800033569336,81.12999725341797,82.81999969482422,2424900,0.0,0.0,AKAM,33.543976,3.07,14920.578048,4208.175104,114.024,0.704,113.5,67.51,Technology,Software - Infrastructure,"Akamai Technologies, Inc.",0.0077877754596227255,0.007757607263845419,,,,,-27.030837273282625,0.3354764543411865,0.08595103899497165
2025-03-06,81.86000061035156,83.44999694824219,81.7300033569336,82.80999755859375,2233100,0.0,0.0,AKAM,33.543976,3.07,14920.578048,4208.175104,114.024,0.704,113.5,67.51,Technology,Software - Infrastructure,"Akamai Technologies, Inc.",-0.00012076957579476577,-0.00012077686902719089,,,,,-27.039649728111232,0.3352467841797727,0.07572372385182657
2025-03-07,82.33999633789062,88.01000213623047,82.12999725341797,87.5199966430664,4500000,0.0,0.0,AKAM,33.543976,3.07,14920.578048,4208.175104,114.024,0.704,113.5,67.51,Technology,Software - Infrastructure,"Akamai Technologies, Inc.",0.056877179366416675,0.055318502753896014,,,,,-22.889870799060436,0.4433983055212286,0.1966012040290716
2025-03-10,86.4800033569336,87.37999725341797,83.80999755859375,84.1500015258789,3873400,0.0,0.0,AKAM,33.543976,3.07,14920.578048,4208.175104,114.024,0.704,113.5,67.51,Technology,Software - Infrastructure,"Akamai Technologies, Inc.",-0.03850543014679697,-0.03926636154782225,,,,,-25.8590294926177,0.3660161038900975,0.16318913067821283
2025-03-11,83.83000183105469,84.16000366210938,80.55000305175781,80.6500015258789,4424300,0.0,0.0,AKAM,33.543976,3.07,14920.578048,4208.175104,114.024,0.704,113.5,67.51,Technology,Software - Infrastructure,"Akamai Technologies, Inc.",-0.04159239377938262,-0.04248211527867895,,,,,-28.94272993314634,0.285648715721597,0.19256466723899818
2025-03-12,81.33000183105469,81.70999908447266,79.31999969482422,79.66000366210938,4648000,0.0,0.0,AKAM,33.543976,3.07,14920.578048,4208.175104,114.024,0.704,113.5,67.51,Technology,Software - Infrastructure,"Akamai Technologies, Inc.",-0.012275236764277775,-0.012351199765736669,,,,,-29.814974747040196,0.26291627497772496,0.20449298005193642
2025-03-13,79.20999908447266,80.52999877929688,78.5999984741211,78.66000366210938,2447200,0.0,0.0,AKAM,33.543976,3.07,14920.578048,4208.175104,114.024,0.704,113.5,67.51,Technology,Software - Infrastructure,"Akamai Technologies, Inc.",-0.012553351167816418,-0.012632810165398587,,,,,-30.696032015762665,0.23995416407243914,0.08714013767949791
2025-03-14,79.75,81.51000213623047,79.27999877929688,80.7300033569336,2371000,0.0,0.0,AKAM,33.543976,3.07,14920.578048,4208.175104,114.024,0.704,113.5,67.51,Technology,Software - Infrastructure,"Akamai Technologies, Inc.",0.026315784368839745,0.025975481429309628,,,,,-28.8722437383845,0.2874857266389007,0.08307693948394183
2025-03-17,80.5199966430664,83.69000244140625,80.37999725341797,82.79000091552734,2590600,0.0,0.0,AKAM,33.543976,3.07,14920.578048,4208.175104,114.024,0.704,113.5,67.51,Technology,Software - Infrastructure,"Akamai Technologies, Inc.",0.025517124649256262,0.025196997219988214,,,,,-27.057267915834938,0.33478761904394844,0.09478662877192234
