date,open,high,low,close,volume,dividends,stock_splits,ticker,pe_ratio,eps,market_cap_usd_m,revenue_ttm_usd_m,debt_to_equity,beta,52w_high,52w_low,sector,industry,long_name,daily_return,log_return,rolling_vol_30d,rolling_vol_60d,sma_20,sma_50,price_vs_52w_high_pct,close_norm,volume_norm
2025-03-04,123.96265418820472,124.86560402603799,122.3155041088439,122.83148193359375,1165000,0.0,0.0,ALLE,21.053762,7.44,13493.829632,4067.300096,104.0,1.008,183.11,116.57,Industrials,Security & Protection Services,Allegion plc,,,,,,,-32.91929335722039,0.0769604667436954,0.3049200040081499
2025-03-05,123.89319722352614,126.52267952437072,123.62528362096587,125.50065612792969,754400,0.0,0.0,ALLE,21.053762,7.44,13493.829632,4067.300096,104.0,1.008,183.11,116.57,Industrials,Security & Protection Services,Allegion plc,0.02173037524515875,0.021497636275256714,,,,,-31.46160443016237,0.12023087843187892,0.16777447476535623
2025-03-06,125.47088176717473,127.03864948343119,124.49847424617874,126.3639144897461,815900,0.0,0.0,ALLE,21.053762,7.44,13493.829632,4067.300096,104.0,1.008,183.11,116.57,Industrials,Security & Protection Services,Allegion plc,0.006878516722147232,0.006854967652769856,,,,,-30.99016193012611,0.13422529842452235,0.18831624302748923
2025-03-07,126.36390616294311,131.0969679252052,126.24484018799241,130.2833251953125,942700,0.0,0.0,ALLE,21.053762,7.44,13493.829632,4067.300096,104.0,1.008,183.11,116.57,Industrials,Security & Protection Services,Allegion plc,0.03101685098465712,0.030545549212271712,,,,,-28.849694066237515,0.1977634950565805,0.2306690270216106
2025-03-10,130.06503437760932,134.33174201369513,129.7276706702682,131.2755889892578,1117600,0.0,0.0,ALLE,21.053762,7.44,13493.829632,4067.300096,104.0,1.008,183.11,116.57,Industrials,Security & Protection Services,Allegion plc,0.007616199482610497,0.007587342662246977,,,,,-28.307799142997215,0.2138492428352018,0.2890878118841645
2025-03-11,130.7596071396289,131.4839504043946,124.96483074022724,124.98467254638672,1178500,0.0,0.0,ALLE,21.053762,7.44,13493.829632,4067.300096,104.0,1.008,183.11,116.57,Industrials,Security & Protection Services,Allegion plc,-0.047921449001351424,-0.04910773604146042,,,,,-31.743393290160714,0.11186618569466986,0.3094291726510571
2025-03-12,123.49628639212267,125.53041595862524,122.05751699066796,122.98031616210938,1048300,0.0,0.0,ALLE,21.053762,7.44,13493.829632,4067.300096,104.0,1.008,183.11,116.57,Industrials,Security & Protection Services,Allegion plc,-0.016036817502829814,-0.01616679879129807,,,,,-32.83801203532884,0.07937324233355027,0.2659407461839073
2025-03-13,122.75209867423705,125.5899539788073,122.75209867423705,124.02218627929688,1069400,0.0,0.0,ALLE,21.053762,7.44,13493.829632,4067.300096,104.0,1.008,183.11,116.57,Industrials,Security & Protection Services,Allegion plc,0.008471844517086158,0.008436159844012352,,,,,-32.269026115833725,0.0962631661878962,0.2729884097665253
2025-03-14,125.28751885362719,126.44325627459583,124.53031183993517,126.19417572021484,1084900,0.51,0.0,ALLE,21.053762,7.44,13493.829632,4067.300096,104.0,1.008,183.11,116.57,Industrials,Security & Protection Services,Allegion plc,0.017512910440287355,0.017361326647518823,,,,,-31.082859636166877,0.13147363596178444,0.27816560339356694
2025-03-17,126.11447007553954,127.87796468467052,125.96502022032475,126.90156555175781,982200,0.0,0.0,ALLE,21.053762,7.44,13493.829632,4067.300096,104.0,1.008,183.11,116.57,Industrials,Security & Protection Services,Allegion plc,0.005605566401981399,0.005589913682300888,,,,,-30.69654002962274,0.14294124616866127,0.24386252045826515
2025-03-18,126.67240848910238,128.09715719210809,126.58274313649476,127.50932312011719,1027800,0.0,0.0,ALLE,21.053762,7.44,13493.829632,4067.300096,104.0,1.008,183.11,116.57,Industrials,Security & Protection Services,Allegion plc,0.004789204654149781,0.004777772898355676,,,,,-30.36463157658392,0.15279370175036305,0.2590934900965296
2025-03-19,127.03108487682546,128.77464878689952,126.16428179647932,128.17684936523438,1255000,0.0,0.0,ALLE,21.053762,7.44,13493.829632,4067.300096,104.0,1.008,183.11,116.57,Industrials,Security & Protection Services,Allegion plc,0.005235117156793034,0.005221461569303385,,,,,-30.000082264630894,0.16361507695329322,0.3349811282941982
