date,open,high,low,close,volume,dividends,stock_splits,ticker,pe_ratio,eps,market_cap_usd_m,revenue_ttm_usd_m,debt_to_equity,beta,52w_high,52w_low,sector,industry,long_name,daily_return,log_return,rolling_vol_30d,rolling_vol_60d,sma_20,sma_50,price_vs_52w_high_pct,close_norm,volume_norm
2025-03-04,49.0048412118593,49.24816217857714,48.37220892606291,48.46953582763672,7269940,0.0,0.0,AMCR,34.49624,1.33,21198.657536,19608.999936,138.731,0.635,52.25,38.35,Consumer Cyclical,Packaging & Containers,Amcor plc,,,,,,,-7.23533812892494,0.86013515309377,0.12491274303432377
2025-03-05,48.664192985048054,49.345492429395385,48.5181989209796,49.00484085083008,4994500,0.0,0.0,AMCR,34.49624,1.33,21198.657536,19608.999936,138.731,0.635,52.25,38.35,Consumer Cyclical,Packaging & Containers,Amcor plc,0.011044154107375137,0.010983612781377551,,,,,-6.210830907502243,0.9067566579842654,0.07360835285905226
2025-03-06,48.66419185505146,49.24816067219881,48.51819779437303,49.19949722290039,5295140,0.0,0.0,AMCR,34.49624,1.33,21198.657536,19608.999936,138.731,0.635,52.25,38.35,Consumer Cyclical,Packaging & Containers,Amcor plc,0.003972186598112604,0.003964318294292266,,,,,-5.838282826984898,0.9237099324899001,0.08038688881794094
2025-03-07,49.05350741427974,50.270112224030896,48.956176801829706,50.07545471191406,5257840,0.0,0.0,AMCR,34.49624,1.33,21198.657536,19608.999936,138.731,0.635,52.25,38.35,Consumer Cyclical,Packaging & Containers,Amcor plc,0.017804195946253376,0.017647557728700934,,,,,-4.161809163800837,1.0,0.07954588498855514
2025-03-10,50.22145069207856,50.85408674919153,49.68614525832801,49.929466247558594,6134060,0.0,0.0,AMCR,34.49624,1.33,21198.657536,19608.999936,138.731,0.635,52.25,38.35,Consumer Cyclical,Packaging & Containers,Amcor plc,-0.0029153697194632677,-0.0029196276874782203,,,,,-4.441212923332835,0.9872853763555177,0.09930203446266844
2025-03-11,49.97812782167981,49.97812782167981,48.420875034332276,48.6641960144043,6301280,0.0,0.0,AMCR,34.49624,1.33,21198.657536,19608.999936,138.731,0.635,52.25,38.35,Consumer Cyclical,Packaging & Containers,Amcor plc,-0.025341152795042454,-0.02566776951629161,,,,,-6.862782747551585,0.8770887598341485,0.10307234707258517
2025-03-12,48.518197343970634,48.7615183009871,48.08022259156751,48.323543548583984,4320140,0.0,0.0,AMCR,34.49624,1.33,21198.657536,19608.999936,138.731,0.635,52.25,38.35,Consumer Cyclical,Packaging & Containers,Amcor plc,-0.007000063572805804,-0.00702467895791898,,,,,-7.5147491893129486,0.8474201972145439,0.05840354475222629
2025-03-13,48.22621597549814,48.71285792018084,46.71762668953848,46.86362075805664,4546840,0.0,0.0,AMCR,34.49624,1.33,21198.657536,19608.999936,138.731,0.635,52.25,38.35,Consumer Cyclical,Packaging & Containers,Amcor plc,-0.03021141835468988,-0.030677188307492536,,,,,-10.308859793193033,0.7202706384222837,0.06351495408524938
2025-03-14,47.39892463911455,47.64224560367593,46.9609461603474,47.59358215332031,3810680,0.0,0.0,AMCR,34.49624,1.33,21198.657536,19608.999936,138.731,0.635,52.25,38.35,Consumer Cyclical,Packaging & Containers,Amcor plc,0.015576291021819566,0.01545622577658107,,,,,-8.91180449125299,0.7838454178184138,0.04691674016995041
2025-03-17,47.59358229563568,48.080224226213616,47.59358229563568,47.88556671142578,3392560,0.0,0.0,AMCR,34.49624,1.33,21198.657536,19608.999936,138.731,0.635,52.25,38.35,Consumer Cyclical,Packaging & Containers,Amcor plc,0.006134956540250647,0.006116214310490004,,,,,-8.352982370476973,0.8092753295768659,0.03748938035378979
2025-03-18,47.83690467532324,48.32354662028977,47.49625308617664,48.274879455566406,5087320,0.0,0.0,AMCR,34.49624,1.33,21198.657536,19608.999936,138.731,0.635,52.25,38.35,Consumer Cyclical,Packaging & Containers,Amcor plc,0.008130064461526532,0.008097193529133451,,,,,-7.6078862094422846,0.8431818785881352,0.0757011672141083
2025-03-19,48.031557062929195,48.22621457771702,47.39892478084784,47.88556671142578,4378160,0.0,0.0,AMCR,34.49624,1.33,21198.657536,19608.999936,138.731,0.635,52.25,38.35,Consumer Cyclical,Packaging & Containers,Amcor plc,-0.008064499560251792,-0.00809719352913351,,,,,-8.352982370476973,0.8092753295768659,0.05971172282678297
2025-03-20,47.78823956106184,47.88557018190137,47.106943779102885,47.301597595214844,5892580,0.0,0.0,AMCR,34.49624,1.33,21198.657536,19608.999936,138.731,0.635,52.25,38.35,Consumer Cyclical,Packaging & Containers,Amcor plc,-0.012195096692289908,-0.012270067021046435,,,,,-9.470626612029006,0.7584155060599618,0.09385738018062868
2025-03-21,47.00961384613851,47.00961384613851,45.014382499527,45.939002990722656,12382660,0.0,0.0,AMCR,34.49624,1.33,21198.657536,19608.999936,138.731,0.635,52.25,38.35,Consumer Cyclical,Packaging & Containers,Amcor plc,-0.02880652396040917,-0.029229576121632815,,,,,-12.078463175650418,0.6397425845205188,0.24018934085141153
2025-03-24,46.32831013546915,46.57163109986297,45.793004756359416,46.47430419921875,4989920,0.0,0.0,AMCR,34.49624,1.33,21198.657536,19608.999936,138.731,0.635,52.25,38.35,Consumer Cyclical,Packaging & Containers,Amcor plc,0.011652434176775639,0.01158506738535599,,,,,-11.053963255083731,0.6863637571762705,0.07350508750949229
2025-03-25,46.52297187317065,46.912286936658376,45.64701854949866,45.939002990722656,5035760,0.0,0.0,AMCR,34.49624,1.33,21198.657536,19608.999936,138.731,0.635,52.25,38.35,Consumer Cyclical,Packaging & Containers,Amcor plc,-0.011518218889333909,-0.011585067385355917,,,,,-12.078463175650418,0.6397425845205188,0.0745386428858742
