date,open,high,low,close,volume,dividends,stock_splits,ticker,pe_ratio,eps,market_cap_usd_m,revenue_ttm_usd_m,debt_to_equity,beta,52w_high,52w_low,sector,industry,long_name,daily_return,log_return,rolling_vol_30d,rolling_vol_60d,sma_20,sma_50,price_vs_52w_high_pct,close_norm,volume_norm
2025-03-04,96.0,103.18000030517578,95.88999938964844,100.75,54156900,0.0,0.0,AMD,77.42146,2.61,329457.139712,34638.999552,6.359,2.022,267.08,76.48,Technology,Semiconductors,"Advanced Micro Devices, Inc.",,,,,,,-62.277220308521784,0.12110467671832222,0.1917790079650382
2025-03-05,100.36000061035156,101.83999633789062,98.87000274658203,101.66999816894531,27855500,0.0,0.0,AMD,77.42146,2.61,329457.139712,34638.999552,6.359,2.022,267.08,76.48,Technology,Semiconductors,"Advanced Micro Devices, Inc.",0.009131495473402529,0.009090055450493567,,,,,-61.93275491652489,0.12604771470883172,0.08260053432338686
2025-03-06,99.05000305175781,101.08000183105469,98.2699966430664,98.8499984741211,28985000,0.0,0.0,AMD,77.42146,2.61,329457.139712,34638.999552,6.359,2.022,267.08,76.48,Technology,Semiconductors,"Advanced Micro Devices, Inc.",-0.027736793012804184,-0.028128722096966773,,,,,-62.98861821397293,0.11089620017840454,0.087289147324149
2025-03-07,98.87999725341797,100.6500015258789,96.38999938964844,100.30999755859375,33254400,0.0,0.0,AMD,77.42146,2.61,329457.139712,34638.999552,6.359,2.022,267.08,76.48,Technology,Semiconductors,"Advanced Micro Devices, Inc.",0.014769844279308497,0.01466183237646143,,,,,-62.44196586843127,0.11874059724816263,0.10501164785133257
2025-03-10,98.56999969482422,101.29000091552734,95.83000183105469,96.62999725341797,38733200,0.0,0.0,AMD,77.42146,2.61,329457.139712,34638.999552,6.359,2.022,267.08,76.48,Technology,Semiconductors,"Advanced Micro Devices, Inc.",-0.036686276490298986,-0.03737614296926297,,,,,-63.81983029301409,0.09896840429431805,0.1277544304175792
2025-03-11,96.79000091552734,98.16000366210938,94.7300033569336,96.76000213623047,34078300,0.0,0.0,AMD,77.42146,2.61,329457.139712,34638.999552,6.359,2.022,267.08,76.48,Technology,Semiconductors,"Advanced Micro Devices, Inc.",0.0013453884560459262,0.0013444842319280256,,,,,-63.77115391035253,0.09966690467875972,0.10843169942400005
2025-03-12,99.05000305175781,101.72000122070312,98.16999816894531,100.79000091552734,34241300,0.0,0.0,AMD,77.42146,2.61,329457.139712,34638.999552,6.359,2.022,267.08,76.48,Technology,Semiconductors,"Advanced Micro Devices, Inc.",0.041649428382845244,0.04080544563085445,,,,,-62.26224317974863,0.12131959676031914,0.10910832086634112
2025-03-13,99.72000122070312,100.06999969482422,97.2699966430664,98.11000061035156,28575200,0.0,0.0,AMD,77.42146,2.61,329457.139712,34638.999552,6.359,2.022,267.08,76.48,Technology,Semiconductors,"Advanced Micro Devices, Inc.",-0.026589942264430566,-0.0269498490539064,,,,,-63.26568795478824,0.10692028188097791,0.08558804629917129
2025-03-14,99.63999938964844,101.22000122070312,99.58000183105469,100.97000122070312,24715300,0.0,0.0,AMD,77.42146,2.61,329457.139712,34638.999552,6.359,2.022,267.08,76.48,Technology,Semiconductors,"Advanced Micro Devices, Inc.",0.029150959051668757,0.028734150709596368,,,,,-62.194847528567045,0.12228671645340201,0.06956540148142737
2025-03-17,102.5999984741211,106.1500015258789,102.5999984741211,104.58999633789062,43689500,0.0,0.0,AMD,77.42146,2.61,329457.139712,34638.999552,6.359,2.022,267.08,76.48,Technology,Semiconductors,"Advanced Micro Devices, Inc.",0.03585218454414796,0.03522445464623268,,,,,-60.83945022544158,0.1417365088483479,0.1483282884217203
