date,open,high,low,close,volume,dividends,stock_splits,ticker,pe_ratio,eps,market_cap_usd_m,revenue_ttm_usd_m,debt_to_equity,beta,52w_high,52w_low,sector,industry,long_name,daily_return,log_return,rolling_vol_30d,rolling_vol_60d,sma_20,sma_50,price_vs_52w_high_pct,close_norm,volume_norm
2025-03-04,82.72000122070312,86.94999694824219,81.44999694824219,85.5199966430664,17937700,0.0,0.0,ANET,49.02909,2.75,169789.407232,9005.700096,0.179,1.46,164.94,59.43,Technology,Computer Hardware,"Arista Networks, Inc.",,,,,,,-48.15084476593525,0.21656763010106408,0.6690823537140675
2025-03-05,87.19000244140625,88.38999938964844,85.37000274658203,87.81999969482422,10270900,0.0,0.0,ANET,49.02909,2.75,169789.407232,9005.700096,0.179,1.46,164.94,59.43,Technology,Computer Hardware,"Arista Networks, Inc.",0.02689433047287526,0.026539034194966934,,,,,-46.7563964503309,0.24011875794451948,0.35428479923792944
2025-03-06,83.63999938964844,86.52999877929688,83.30000305175781,84.33999633789062,9461900,0.0,0.0,ANET,49.02909,2.75,169789.407232,9005.700096,0.179,1.46,164.94,59.43,Technology,Computer Hardware,"Arista Networks, Inc.",-0.03962654713079772,-0.04043305676093329,,,,,-48.86625661580537,0.20448489046240492,0.321067391509647
2025-03-07,85.80999755859375,86.43000030517578,80.20999908447266,83.36000061035156,12894400,0.0,0.0,ANET,49.02909,2.75,169789.407232,9005.700096,0.179,1.46,164.94,59.43,Technology,Computer Hardware,"Arista Networks, Inc.",-0.011619584658421278,-0.011687619570690961,,,,,-49.46040947596001,0.1944501191399611,0.46200528029497384
2025-03-10,80.0,80.58000183105469,76.0,77.55999755859375,15811700,0.0,0.0,ANET,49.02909,2.75,169789.407232,9005.700096,0.179,1.46,164.94,59.43,Technology,Computer Hardware,"Arista Networks, Inc.",-0.06957777122469899,-0.07211678643012825,,,,,-52.976841543231636,0.13506036604377128,0.5817891413156393
2025-03-11,77.80999755859375,81.13999938964844,76.70999908447266,79.12999725341797,11291100,0.0,0.0,ANET,49.02909,2.75,169789.407232,9005.700096,0.179,1.46,164.94,59.43,Technology,Computer Hardware,"Arista Networks, Inc.",0.020242389688552187,0.02004023601455321,,,,,-52.02498044536318,0.15113654624654632,0.3961740444349551
2025-03-12,82.44000244140625,83.0,79.33999633789062,80.25,11498000,0.0,0.0,ANET,49.02909,2.75,169789.407232,9005.700096,0.179,1.46,164.94,59.43,Technology,Computer Hardware,"Arista Networks, Inc.",0.014153959123683002,0.014054727098767652,,,,,-51.34594397962896,0.16260493445134253,0.4046693246067494
2025-03-13,79.6500015258789,80.76000213623047,78.47000122070312,80.13999938964844,6973800,0.0,0.0,ANET,49.02909,2.75,169789.407232,9005.700096,0.179,1.46,164.94,59.43,Technology,Computer Hardware,"Arista Networks, Inc.",-0.0013707241165303863,-0.0013716644181932054,,,,,-51.4126352675831,0.1614785714079249,0.21890641231466618
2025-03-14,82.0,84.25,81.80000305175781,83.51000213623047,8580100,0.0,0.0,ANET,49.02909,2.75,169789.407232,9005.700096,0.179,1.46,164.94,59.43,Technology,Computer Hardware,"Arista Networks, Inc.",0.04205144462500865,0.04119131315374053,,,,,-49.36946639006277,0.1959860758466218,0.28486082768418414
2025-03-17,83.87999725341797,85.73999786376953,83.7699966430664,85.08999633789062,6639600,0.0,0.0,ANET,49.02909,2.75,169789.407232,9005.700096,0.179,1.46,164.94,59.43,Technology,Computer Hardware,"Arista Networks, Inc.",0.018919819916693337,0.018743066077722442,,,,,-48.411545811876664,0.21216459587370515,0.20518421495645606
