date,open,high,low,close,volume,dividends,stock_splits,ticker,pe_ratio,eps,market_cap_usd_m,revenue_ttm_usd_m,debt_to_equity,beta,52w_high,52w_low,sector,industry,long_name,daily_return,log_return,rolling_vol_30d,rolling_vol_60d,sma_20,sma_50,price_vs_52w_high_pct,close_norm,volume_norm
2025-03-04,62.03257808497112,63.709669343805885,60.96082855561259,62.56845474243164,9394900,0.0,0.0,APH,39.626865,3.35,163178.283008,23094.700032,118.935,1.214,167.04,56.45,Technology,Electronic Components,Amphenol Corporation,,,,,,,-62.54283121262474,0.035156113966864626,0.20299930953570486
2025-03-05,63.01500936902866,64.2852319685521,62.26081564695212,64.21576690673828,7778800,0.0,0.0,APH,39.626865,3.35,163178.283008,23094.700032,118.935,1.214,167.04,56.45,Technology,Electronic Components,Amphenol Corporation,0.026328158032477234,0.025987537746902795,,,,,-61.55665295334154,0.050485737634903605,0.15763917346371695
2025-03-06,62.33028690849133,62.836390092840745,61.00052107276342,61.27838134765625,9130300,0.0,0.0,APH,39.626865,3.35,163178.283008,23094.700032,118.935,1.214,167.04,56.45,Technology,Electronic Components,Amphenol Corporation,-0.04574243523943344,-0.04682165994722799,,,,,-63.31514526601039,0.023150897181265194,0.19557260821484104
2025-03-07,61.27838330548335,62.82647014126647,59.551670919972864,62.449371337890625,8120400,0.0,0.0,APH,39.626865,3.35,163178.283008,23094.700032,118.935,1.214,167.04,56.45,Technology,Electronic Components,Amphenol Corporation,0.019109349243265683,0.018929058829923174,,,,,-62.614121564960115,0.034047942840421834,0.1672270841636681
2025-03-10,60.841743562614056,61.724945543089994,60.226476114062116,61.318077087402344,8764500,0.0,0.0,APH,39.626865,3.35,163178.283008,23094.700032,118.935,1.214,167.04,56.45,Technology,Electronic Components,Amphenol Corporation,-0.01811538252910927,-0.01828147501485927,,,,,-63.29138105399764,0.023520299389733778,0.18530546028146244
2025-03-11,61.586014162461,62.37990335442568,60.583725981836245,61.169219970703125,7502600,0.0,0.0,APH,39.626865,3.35,163178.283008,23094.700032,118.935,1.214,167.04,56.45,Technology,Electronic Components,Amphenol Corporation,-0.002427622061387247,-0.002430573513464748,,,,,-63.38049570719401,0.02213505885745807,0.14988688735327635
2025-03-12,62.727226978425215,63.352416356192855,61.65547754495714,62.35013198852539,9807600,0.0,0.0,APH,39.626865,3.35,163178.283008,23094.700032,118.935,1.214,167.04,56.45,Technology,Electronic Components,Amphenol Corporation,0.019305657623031047,0.01912166767523779,,,,,-62.67353209499198,0.033124437319250376,0.21458283045452758
2025-03-13,62.29059429962913,62.70738473068804,60.891363332333135,61.149375915527344,7136700,0.0,0.0,APH,39.626865,3.35,163178.283008,23094.700032,118.935,1.214,167.04,56.45,Technology,Electronic Components,Amphenol Corporation,-0.01925827636129185,-0.01944613273643469,,,,,-63.392375529497514,0.02195039325218673,0.13961693265447034
2025-03-14,62.231047146841384,62.9653970115157,61.59593579661616,62.51883316040039,7577700,0.0,0.0,APH,39.626865,3.35,163178.283008,23094.700032,118.935,1.214,167.04,56.45,Technology,Electronic Components,Amphenol Corporation,0.02239527753749826,0.022148185633496086,,,,,-62.572537619492095,0.03469434345679742,0.15199476818924335
2025-03-17,62.12188983010395,64.08677087484573,62.12188983010395,63.37226867675781,6834900,0.0,0.0,APH,39.626865,3.35,163178.283008,23094.700032,118.935,1.214,167.04,56.45,Technology,Electronic Components,Amphenol Corporation,0.013650854841897209,0.013558521262146924,,,,,-62.06162076343522,0.04263627794509425,0.13114611459461886
