date,open,high,low,close,volume,dividends,stock_splits,ticker,pe_ratio,eps,market_cap_usd_m,revenue_ttm_usd_m,debt_to_equity,beta,52w_high,52w_low,sector,industry,long_name,daily_return,log_return,rolling_vol_30d,rolling_vol_60d,sma_20,sma_50,price_vs_52w_high_pct,close_norm,volume_norm
2025-03-04,692.2100691132187,715.0401713318721,686.6784783139937,702.0736694335938,2044700,0.0,0.0,ASML,48.77553,28.69,549474.79552,32667.29984,23.916,1.431,1547.22,578.51,Technology,Semiconductor Equipment & Materials,ASML Holding N.V.,,,,,,,-54.6235396754441,0.11948058111198948,0.17186878539366277
2025-03-05,725.2706295060483,734.1231232222854,713.0575413903742,733.330078125,1754300,0.0,0.0,ASML,48.77553,28.69,549474.79552,32667.29984,23.916,1.431,1547.22,578.51,Technology,Semiconductor Equipment & Materials,ASML Holding N.V.,0.04452012666508742,0.04355757101513224,,,,,-52.60337391418156,0.15286323720208747,0.14436826455046498
2025-03-06,712.6115626708297,724.8246529811847,704.8297117155408,708.6364135742188,1427900,0.0,0.0,ASML,48.77553,28.69,549474.79552,32667.29984,23.916,1.431,1547.22,578.51,Technology,Semiconductor Equipment & Materials,ASML Holding N.V.,-0.033673328406109704,-0.034253332584133434,,,,,-54.199376069710915,0.12648976226318248,0.11345858823083771
2025-03-07,719.8580719934454,727.6300600198788,709.2906102782334,725.865478515625,1426400,0.0,0.0,ASML,48.77553,28.69,549474.79552,32667.29984,23.916,1.431,1547.22,578.51,Technology,Semiconductor Equipment & Materials,ASML Holding N.V.,0.024312982809486572,0.02402212719159265,,,,,-53.08582628743004,0.14489085099258164,0.11331654008598648
2025-03-10,691.9227117674379,692.9338792792113,670.1334798179497,677.1817626953125,2321500,0.0,0.0,ASML,48.77553,28.69,549474.79552,32667.29984,23.916,1.431,1547.22,578.51,Technology,Semiconductor Equipment & Materials,ASML Holding N.V.,-0.06706988727425,-0.06942498691493033,,,,,-56.23235462989668,0.09289537836925395,0.19808140305687608
2025-03-11,692.755295300052,695.9076903976079,675.3476922453674,684.2200317382812,1616800,0.0,0.0,ASML,48.77553,28.69,549474.79552,32667.29984,23.916,1.431,1547.22,578.51,Technology,Semiconductor Equipment & Materials,ASML Holding N.V.,0.010393471045284874,0.010339830280777852,,,,,-55.77745687502221,0.10041243246368702,0.13134718460576905
2025-03-12,698.029267236557,702.1531388322519,690.6934625502408,697.2659301757812,1306300,0.0,0.0,ASML,48.77553,28.69,549474.79552,32667.29984,23.916,1.431,1547.22,578.51,Technology,Semiconductor Equipment & Materials,ASML Holding N.V.,0.019066817445196005,0.018887323675944843,,,,,-54.934273718295955,0.11434579074630857,0.1019432186215648
2025-03-13,691.7839291622922,699.1791499724189,682.2870507821322,688.5621337890625,1399500,0.0,0.0,ASML,48.77553,28.69,549474.79552,32667.29984,23.916,1.431,1547.22,578.51,Technology,Semiconductor Equipment & Materials,ASML Holding N.V.,-0.012482750138852361,-0.012561314145607195,,,,,-55.49681791929638,0.1050499102014667,0.11076914335498779
2025-03-14,701.5384293913486,713.7812868746138,699.2385561276509,707.8035888671875,1367500,0.0,0.0,ASML,48.77553,28.69,549474.79552,32667.29984,23.916,1.431,1547.22,578.51,Technology,Semiconductor Equipment & Materials,ASML Holding N.V.,0.02794439910925961,0.027561079100655708,,,,,-54.253203237601156,0.12560028385084637,0.10773878293149491
2025-03-17,711.8184246850712,728.1752302097168,710.9857484686954,723.9918823242188,1423300,0.0,0.0,ASML,48.77553,28.69,549474.79552,32667.29984,23.916,1.431,1547.22,578.51,Technology,Semiconductor Equipment & Materials,ASML Holding N.V.,0.022871166113949792,0.02261354171120103,,,,,-53.206920649667225,0.1428898016101352,0.1130229739199606
2025-03-18,723.5656762793335,727.8184242567984,713.7416451198153,724.76513671875,1007300,0.0,0.0,ASML,48.77553,28.69,549474.79552,32667.29984,23.916,1.431,1547.22,578.51,Technology,Semiconductor Equipment & Materials,ASML Holding N.V.,0.0010680429068470332,0.0010674729548076562,,,,,-53.15694363317757,0.1437156573819114,0.07362828841455331
2025-03-19,722.7824515180135,740.2693784406555,718.7676112820668,728.5321044921875,1080500,0.0,0.0,ASML,48.77553,28.69,549474.79552,32667.29984,23.916,1.431,1547.22,578.51,Technology,Semiconductor Equipment & Materials,ASML Holding N.V.,0.005197501345735045,0.005184040955733758,,,,,-52.913476784672675,0.14773887677748196,0.08056023788329325
