date,open,high,low,close,volume,dividends,stock_splits,ticker,pe_ratio,eps,market_cap_usd_m,revenue_ttm_usd_m,debt_to_equity,beta,52w_high,52w_low,sector,industry,long_name,daily_return,log_return,rolling_vol_30d,rolling_vol_60d,sma_20,sma_50,price_vs_52w_high_pct,close_norm,volume_norm
2025-03-04,221.02257577257458,222.2001285293631,215.22167701301532,215.23133850097656,892900,0.0,0.0,AVB,24.100136,7.39,25218.060288,3041.18912,80.256,0.745,223.25,166.73,Real Estate,REIT - Residential,"AvalonBay Communities, Inc.",,,,,,,-3.591785665855963,0.9695801317991747,0.3413917877182862
2025-03-05,212.6832059828388,217.31618426379924,212.3550246601698,216.65985107421875,807800,0.0,0.0,AVB,24.100136,7.39,25218.060288,3041.18912,80.256,0.745,223.25,166.73,Real Estate,REIT - Residential,"AvalonBay Communities, Inc.",0.006637103050101123,0.006615174456400011,,,,,-2.951914412444009,1.0,0.29676438198122607
2025-03-06,214.59429396484558,215.482281892196,209.4111414380751,210.89755249023438,612500,0.0,0.0,AVB,24.100136,7.39,25218.060288,3041.18912,80.256,0.745,223.25,166.73,Real Estate,REIT - Residential,"AvalonBay Communities, Inc.",-0.02659606085490407,-0.02695613480126935,,,,,-5.533011202582587,0.8772930902100722,0.1943468456657402
2025-03-07,210.9651389651828,213.8993595104148,209.7200146442506,210.84930419921875,548000,0.0,0.0,AVB,24.100136,7.39,25218.060288,3041.18912,80.256,0.745,223.25,166.73,Real Estate,REIT - Residential,"AvalonBay Communities, Inc.",-0.00022877596466108763,-0.00022880213787403506,,,,,-5.554622979073348,0.8762656532234454,0.16052231370286854
2025-03-10,211.23539694549672,214.6425738820566,208.49419996023963,208.8416748046875,784200,0.0,0.0,AVB,24.100136,7.39,25218.060288,3041.18912,80.256,0.745,223.25,166.73,Real Estate,REIT - Residential,"AvalonBay Communities, Inc.",-0.009521631584965329,-0.009567252138004391,,,,,-6.453897063969764,0.8335136167893992,0.2843882741622529
2025-03-11,209.02506302831688,209.79723097346695,204.15076852292805,205.53102111816406,593400,0.0,0.0,AVB,24.100136,7.39,25218.060288,3041.18912,80.256,0.745,223.25,166.73,Real Estate,REIT - Residential,"AvalonBay Communities, Inc.",-0.015852457080798743,-0.015979451179002215,,,,,-7.936832645839166,0.7630139581311305,0.1843305889139441
2025-03-12,205.09665460363212,206.3900272751827,202.28790124792593,202.7318878173828,643100,0.0,0.0,AVB,24.100136,7.39,25218.060288,3041.18912,80.256,0.745,223.25,166.73,Real Estate,REIT - Residential,"AvalonBay Communities, Inc.",-0.013619030769919549,-0.013712620474970601,,,,,-9.19064375481173,0.7034070161403787,0.21039383292254443
2025-03-13,202.73188887406945,204.84569265323967,199.83627048679557,200.62774658203125,652500,0.0,0.0,AVB,24.100136,7.39,25218.060288,3041.18912,80.256,0.745,223.25,166.73,Real Estate,REIT - Residential,"AvalonBay Communities, Inc.",-0.010378935736281125,-0.010433172496079049,,,,,-10.133148227533596,0.6585997808004456,0.21532329959620325
2025-03-14,201.40957720276393,202.44235491238118,199.6142930708089,202.336181640625,995700,0.0,0.0,AVB,24.100136,7.39,25218.060288,3041.18912,80.256,0.745,223.25,166.73,Real Estate,REIT - Residential,"AvalonBay Communities, Inc.",0.008515447577412738,0.008479395674504961,,,,,-9.36789176231803,0.694980538159926,0.3953012743195763
2025-03-17,202.18173168776633,205.29934340176956,201.93078339295056,204.3824005126953,932900,0.0,0.0,AVB,24.100136,7.39,25218.060288,3041.18912,80.256,0.745,223.25,166.73,Real Estate,REIT - Residential,"AvalonBay Communities, Inc.",0.010112965735928903,0.010062171862025229,,,,,-8.451332357135358,0.7385543292236937,0.36236824164874926
2025-03-18,204.14112391341456,204.95189363681948,201.87288331211403,202.9346160888672,856800,0.0,0.0,AVB,24.100136,7.39,25218.060288,3041.18912,80.256,0.745,223.25,166.73,Real Estate,REIT - Residential,"AvalonBay Communities, Inc.",-0.007083703979385403,-0.00710891252755546,,,,,-9.099836018424552,0.7077240711069578,0.3224605380460433
2025-03-19,202.9731925157979,204.94222128721879,201.54469155370217,203.50405883789062,609800,0.0,0.0,AVB,24.100136,7.39,25218.060288,3041.18912,80.256,0.745,223.25,166.73,Real Estate,REIT - Residential,"AvalonBay Communities, Inc.",0.0028060404873166966,0.002802110905036741,,,,,-8.844766477988522,0.7198502320506401,0.19293093502543396
2025-03-20,203.99633824099604,204.84570969028252,202.11417435042682,204.14111328125,627600,0.0,0.0,AVB,24.100136,7.39,25218.060288,3041.18912,80.256,0.745,223.25,166.73,Real Estate,REIT - Residential,"AvalonBay Communities, Inc.",0.0031304262283380346,0.0031255366458132023,,,,,-8.55941174412094,0.73341616949266,0.20226545702449
2025-03-21,202.9635653882742,203.8129515857802,200.71463309924363,202.26861572265625,1486900,0.0,0.0,AVB,24.100136,7.39,25218.060288,3041.18912,80.256,0.745,223.25,166.73,Real Estate,REIT - Residential,"AvalonBay Communities, Inc.",-0.009172564646563686,-0.009214891647918173,,,,,-9.398156451217805,0.6935417364594886,0.6528921285856626
2025-03-24,203.77433779136962,207.17186789857416,202.2010616265146,206.901611328125,512700,0.0,0.0,AVB,24.100136,7.39,25218.060288,3041.18912,80.256,0.745,223.25,166.73,Real Estate,REIT - Residential,"AvalonBay Communities, Inc.",0.02290516296320222,0.022646777846327192,,,,,-7.322906459966405,0.7922003820557902,0.1420105931092349
2025-03-25,207.00777834093358,209.3339288563774,203.31103676600137,205.26075744628906,816500,0.0,0.0,AVB,24.100136,7.39,25218.060288,3041.18912,80.256,0.745,223.25,166.73,Real Estate,REIT - Residential,"AvalonBay Communities, Inc.",-0.00793059982135036,-0.007962214286831241,,,,,-8.05789140143827,0.7572587513293806,0.3013267607111018
2025-03-26,206.4575996770205,207.2973390834889,205.08700864442756,206.6409912109375,712800,0.0,0.0,AVB,24.100136,7.39,25218.060288,3041.18912,80.256,0.745,223.25,166.73,Real Estate,REIT - Residential,"AvalonBay Communities, Inc.",0.006724294413702481,0.006701787186499733,,,,,-7.4396455942049275,0.7866505326783124,0.2469453038963763
2025-03-27,207.27802734010754,209.758614294304,205.21248670217804,205.7240447998047,659400,0.0,0.0,AVB,24.100136,7.39,25218.060288,3041.18912,80.256,0.745,223.25,166.73,Real Estate,REIT - Residential,"AvalonBay Communities, Inc.",-0.004437388756990623,-0.004447263188435738,,,,,-7.850371870188271,0.7671243559429042,0.21894173789920815
2025-03-28,207.22978424940115,207.50970231669916,204.22799214572436,206.1487579345703,452400,0.0,0.0,AVB,24.100136,7.39,25218.060288,3041.18912,80.256,0.745,223.25,166.73,Real Estate,REIT - Residential,"AvalonBay Communities, Inc.",0.002064479799524177,0.002062351689559533,,,,,-7.6601308243806,0.7761685308593396,0.11038858880906183
2025-03-31,207.48199290988987,210.04146130697973,205.08797819625542,208.86390686035156,880000,1.75,0.0,AVB,24.100136,7.39,25218.060288,3041.18912,80.256,0.745,223.25,166.73,Real Estate,REIT - Residential,"AvalonBay Communities, Inc.",0.0131708235983794,0.013084842440177089,,,206.52387161254882,,-6.443938696371081,0.8339870436361781,0.3346268813257119
