date,open,high,low,close,volume,dividends,stock_splits,ticker,pe_ratio,eps,market_cap_usd_m,revenue_ttm_usd_m,debt_to_equity,beta,52w_high,52w_low,sector,industry,long_name,daily_return,log_return,rolling_vol_30d,rolling_vol_60d,sma_20,sma_50,price_vs_52w_high_pct,close_norm,volume_norm
2025-03-04,288.4998845351488,288.69776049243893,274.65717345309037,280.48516845703125,5901200,0.0,0.0,AXP,20.247885,15.37,214377.51296,66972.99968,190.921,1.152,387.49,220.43,Financial Services,Credit Services,American Express Company,,,,,,,-27.61486271722335,0.32899461009827435,0.5648874469456234
2025-03-05,280.02011531345005,283.10725804310465,277.67507536289475,281.18768310546875,2569200,0.0,0.0,AXP,20.247885,15.37,214377.51296,66972.99968,190.921,1.152,387.49,220.43,Financial Services,Credit Services,American Express Company,0.0025046409844131645,0.0025015095987574593,,,,,-27.43356393572254,0.3335468385149373,0.1946734517010733
2025-03-06,276.8537797669216,279.1889453930365,271.6392821206788,272.73760986328125,2944200,0.0,0.0,AXP,20.247885,15.37,214377.51296,66972.99968,190.921,1.152,387.49,220.43,Financial Services,Credit Services,American Express Company,-0.030051363377171847,-0.03051216082194047,,,,,-29.61428427487645,0.27879116385174685,0.2363391924623897
2025-03-07,270.7784646622813,271.2831042130036,261.9226927858733,270.33319091796875,3817000,0.0,0.0,AXP,20.247885,15.37,214377.51296,66972.99968,190.921,1.152,387.49,220.43,Financial Services,Credit Services,American Express Company,-0.008815868653090364,-0.008854958332374471,,,,,-30.2347954997629,0.2632107567061325,0.33331481522632833
2025-03-10,264.8911207654809,265.7618595766112,254.73917467159833,258.56842041015625,4284100,0.0,0.0,AXP,20.247885,15.37,214377.51296,66972.99968,190.921,1.152,387.49,220.43,Financial Services,Credit Services,American Express Company,-0.04351951925645148,-0.04449489726922993,,,,,-33.27094366044124,0.18697615755535446,0.38521366191862405
2025-03-11,254.74903198834238,257.4997583981124,250.87030996519988,252.70083618164062,4925600,0.0,0.0,AXP,20.247885,15.37,214377.51296,66972.99968,190.921,1.152,387.49,220.43,Financial Services,Credit Services,American Express Company,-0.02269257869622332,-0.022954017985858888,,,,,-34.785198022751395,0.1489547672233226,0.45648985578098267
2025-03-12,257.4403891829722,260.0526054089501,252.3149400017977,258.00439453125,5514900,0.0,0.0,AXP,20.247885,15.37,214377.51296,66972.99968,190.921,1.152,387.49,220.43,Financial Services,Credit Services,American Express Company,0.020987498220216283,0.020770294465266747,,,,,-33.41650248232212,0.18332132325488681,0.521966178529366
2025-03-13,256.9159848305892,258.75641548744994,250.85054150966565,253.72988891601562,4194000,0.0,0.0,AXP,20.247885,15.37,214377.51296,66972.99968,190.921,1.152,387.49,220.43,Financial Services,Credit Services,American Express Company,-0.016567569025327744,-0.016706346131689833,,,,,-34.51962917339399,0.15562293152435977,0.3752027732717051
2025-03-14,257.4107294374729,263.85219167745055,256.2728444684636,262.8330383300781,4336800,0.0,0.0,AXP,20.247885,15.37,214377.51296,66972.99968,190.921,1.152,387.49,220.43,Financial Services,Credit Services,American Express Company,0.035877323924875304,0.035248723625967544,,,,,-32.1703686985269,0.21461047795629862,0.39106908735361434
2025-03-17,262.3976294102843,263.63446727650563,258.51889257547,261.5961608886719,2975800,0.0,0.0,AXP,20.247885,15.37,214377.51296,66972.99968,190.921,1.152,387.49,220.43,Financial Services,Credit Services,American Express Company,-0.004705943549809466,-0.004717051364355934,,,,,-32.48957111443602,0.20659562922791674,0.23985022555054333
