date,open,high,low,close,volume,dividends,stock_splits,ticker,pe_ratio,eps,market_cap_usd_m,revenue_ttm_usd_m,debt_to_equity,beta,52w_high,52w_low,sector,industry,long_name,daily_return,log_return,rolling_vol_30d,rolling_vol_60d,sma_20,sma_50,price_vs_52w_high_pct,close_norm,volume_norm
2025-03-04,3425.72998046875,3563.570068359375,3411.199951171875,3473.659912109375,308200,0.0,0.0,AZO,25.90605,143.48,61823.61088,19287.7056,,0.355,4388.11,3210.72,Consumer Cyclical,Auto Parts,"AutoZone, Inc.",,,,,,,-20.83926993376704,0.20614261285578628,0.7814972611077298
2025-03-05,3474.929931640625,3570.5,3469.60009765625,3555.8798828125,167100,0.0,0.0,AZO,25.90605,143.48,61823.61088,19287.7056,,0.355,4388.11,3210.72,Consumer Cyclical,Auto Parts,"AutoZone, Inc.",0.023669551073926876,0.023393770507797854,,,,,-18.965570990415,0.28024001739052373,0.352099817407182
2025-03-06,3544.81005859375,3615.7900390625,3532.27001953125,3615.7900390625,180300,0.0,0.0,AZO,25.90605,143.48,61823.61088,19287.7056,,0.355,4388.11,3210.72,Consumer Cyclical,Auto Parts,"AutoZone, Inc.",0.01684819460285447,0.016707838081068658,,,,,-17.600287160930325,0.33423160903708776,0.3922702373706634
2025-03-07,3589.949951171875,3636.9599609375,3549.800048828125,3614.969970703125,198900,0.0,0.0,AZO,25.90605,143.48,61823.61088,19287.7056,,0.355,4388.11,3210.72,Consumer Cyclical,Auto Parts,"AutoZone, Inc.",-0.0002268019853242098,-0.000226827708783978,,,,,-17.618975579392373,0.3334925557821291,0.44887401095556906
2025-03-10,3622.0400390625,3704.429931640625,3622.0400390625,3690.1201171875,188900,0.0,0.0,AZO,25.90605,143.48,61823.61088,19287.7056,,0.355,4388.11,3210.72,Consumer Cyclical,Auto Parts,"AutoZone, Inc.",0.02078859495194041,0.020575460889175598,,,,,-15.906389830986456,0.40121856878453793,0.4184418746195983
2025-03-11,3680.0,3680.0,3524.570068359375,3562.760009765625,208100,0.0,0.0,AZO,25.90605,143.48,61823.61088,19287.7056,,0.355,4388.11,3210.72,Consumer Cyclical,Auto Parts,"AutoZone, Inc.",-0.03451381076422655,-0.035123481477114145,,,,,-18.80878077884043,0.28644045197760004,0.4768715763846622
2025-03-12,3562.760009765625,3573.7900390625,3492.8701171875,3547.1298828125,115900,0.0,0.0,AZO,25.90605,143.48,61823.61088,19287.7056,,0.355,4388.11,3210.72,Consumer Cyclical,Auto Parts,"AutoZone, Inc.",-0.004387083864835772,-0.004396735355531131,,,,,-19.164973466651926,0.2723544357716737,0.19628727936701157
2025-03-13,3559.699951171875,3565.02001953125,3502.989990234375,3545.64990234375,158400,0.0,0.0,AZO,25.90605,143.48,61823.61088,19287.7056,,0.355,4388.11,3210.72,Consumer Cyclical,Auto Parts,"AutoZone, Inc.",-0.00041723323296427584,-0.0004173202989683499,,,,,-19.198700526109185,0.2710206635681729,0.3256238587948874
2025-03-14,3550.0,3578.06005859375,3520.919921875,3554.909912109375,164200,0.0,0.0,AZO,25.90605,143.48,61823.61088,19287.7056,,0.355,4388.11,3210.72,Consumer Cyclical,Auto Parts,"AutoZone, Inc.",0.0026116537223552783,0.002608249280965634,,,,,-18.987675511567044,0.27936587074510827,0.34327449786975045
2025-03-17,3555.179931640625,3627.43994140625,3550.52001953125,3620.820068359375,129200,0.0,0.0,AZO,25.90605,143.48,61823.61088,19287.7056,,0.355,4388.11,3210.72,Consumer Cyclical,Auto Parts,"AutoZone, Inc.",0.018540598180979195,0.01837081664727975,,,,,-17.485658555519908,0.3387647183588837,0.23676202069385271
2025-03-18,3634.2099609375,3634.2099609375,3585.9599609375,3614.27001953125,87200,0.0,0.0,AZO,25.90605,143.48,61823.61088,19287.7056,,0.355,4388.11,3210.72,Consumer Cyclical,Auto Parts,"AutoZone, Inc.",-0.0018089959469024253,-0.0018106341560442986,,,,,-17.634926664754296,0.3328617532569828,0.10894704808277542
2025-03-19,3616.0,3620.47998046875,3571.3701171875,3591.610107421875,134600,0.0,0.0,AZO,25.90605,143.48,61823.61088,19287.7056,,0.355,4388.11,3210.72,Consumer Cyclical,Auto Parts,"AutoZone, Inc.",-0.006269568124938729,-0.006289304402376417,,,,,-18.151320103145196,0.31244042909533193,0.25319537431527694
2025-03-20,3584.090087890625,3610.0,3567.090087890625,3573.3798828125,81300,0.0,0.0,AZO,25.90605,143.48,61823.61088,19287.7056,,0.355,4388.11,3210.72,Consumer Cyclical,Auto Parts,"AutoZone, Inc.",-0.005075780517407313,-0.005088706047992639,,,,,-18.566766037941157,0.29601118062822385,0.09099208764455265
