date,open,high,low,close,volume,dividends,stock_splits,ticker,pe_ratio,eps,market_cap_usd_m,revenue_ttm_usd_m,debt_to_equity,beta,52w_high,52w_low,sector,industry,long_name,daily_return,log_return,rolling_vol_30d,rolling_vol_60d,sma_20,sma_50,price_vs_52w_high_pct,close_norm,volume_norm
2025-03-04,32.10878816244495,32.526037743738655,31.68183673809869,31.72064781188965,4740500,0.0,0.0,BF-B,15.356725,1.71,12163.879936,3888.999936,64.03,0.396,38.85,25.16,Consumer Defensive,Beverages - Wineries & Distilleries,Brown-Forman Corporation,,,,,,,-18.35097088316693,0.5473665674684837,0.16216505022338465
2025-03-05,34.25325246282643,35.10715896155694,33.70015490269816,34.922794342041016,6142800,0.0,0.0,BF-B,15.356725,1.71,12163.879936,3888.999936,64.03,0.396,38.85,25.16,Consumer Defensive,Beverages - Wineries & Distilleries,Brown-Forman Corporation,0.07352709068885256,0.0961719296402731,,,,,-10.1086374722239,0.8183372344398789,0.2335209289545191
2025-03-06,33.622531197530144,34.82575962533623,33.25379823345634,34.71902084350586,4589100,0.0,0.0,BF-B,15.356725,1.71,12163.879936,3888.999936,64.03,0.396,38.85,25.16,Consumer Defensive,Beverages - Wineries & Distilleries,Brown-Forman Corporation,-0.005834971180695203,-0.005852061137063424,,,,,-10.633150981966903,0.8010936010554455,0.1544610781490113
2025-03-07,34.81374360890881,36.44456788920527,34.58913554285692,36.063716888427734,5473100,0.227,0.0,BF-B,15.356725,1.71,12163.879936,3888.999936,64.03,0.396,38.85,25.16,Consumer Defensive,Beverages - Wineries & Distilleries,Brown-Forman Corporation,0.03873081706373638,0.03799959968966811,,,,,-7.171899901086916,0.9148838916418832,0.19944331932302745
2025-03-10,36.26879626690965,37.93868343520688,36.13208088123127,37.06956100463867,5453000,0.0,0.0,BF-B,15.356725,1.71,12163.879936,3888.999936,64.03,0.396,38.85,25.16,Consumer Defensive,Beverages - Wineries & Distilleries,Brown-Forman Corporation,0.02789075012214548,0.027508887185222833,,,,,-4.582854556914619,1.0,0.19842053307008883
2025-03-11,37.05002598329424,37.0695572828895,34.77468359605719,35.18482971191406,3592100,0.0,0.0,BF-B,15.356725,1.71,12163.879936,3888.999936,64.03,0.396,38.85,25.16,Consumer Defensive,Beverages - Wineries & Distilleries,Brown-Forman Corporation,-0.05084309718393387,-0.05218115914276739,,,,,-9.434157755690963,0.8405110788520643,0.1037288446077284
2025-03-12,34.41336370683871,34.520780266292256,32.54816744411654,33.39775848388672,4241900,0.0,0.0,BF-B,15.356725,1.71,12163.879936,3888.999936,64.03,0.396,38.85,25.16,Consumer Defensive,Beverages - Wineries & Distilleries,Brown-Forman Corporation,-0.05079095856536764,-0.05212622914495823,,,,,-14.034083696559286,0.6892863057118204,0.1367938449639226
2025-03-13,33.46611639911271,34.19852337209389,33.46611639911271,33.93485641479492,3162700,0.0,0.0,BF-B,15.356725,1.71,12163.879936,3888.999936,64.03,0.396,38.85,25.16,Consumer Defensive,Beverages - Wineries & Distilleries,Brown-Forman Corporation,0.016081855648106824,0.015953912493759635,,,,,-12.651592239910114,0.7347363759059138,0.08187887361211467
2025-03-14,34.247353503905835,34.37430510283285,33.86650243233971,33.97392272949219,2878900,0.0,0.0,BF-B,15.356725,1.71,12163.879936,3888.999936,64.03,0.396,38.85,25.16,Consumer Defensive,Beverages - Wineries & Distilleries,Brown-Forman Corporation,0.0011512149696391027,0.0011505528298140727,,,,,-12.551035445322558,0.7380422287923937,0.06743774233928009
2025-03-17,34.266881790269,35.37037602952812,34.188756590045706,34.930931091308594,2771700,0.0,0.0,BF-B,15.356725,1.71,12163.879936,3888.999936,64.03,0.396,38.85,25.16,Consumer Defensive,Beverages - Wineries & Distilleries,Brown-Forman Corporation,0.028168909708670364,0.027779462590845842,,,,,-10.087693458665143,0.8190257789381565,0.06198288232360753
2025-03-18,34.843043589695476,34.921165068036004,34.34500473006749,34.46219253540039,2582300,0.0,0.0,BF-B,15.356725,1.71,12163.879936,3888.999936,64.03,0.396,38.85,25.16,Consumer Defensive,Beverages - Wineries & Distilleries,Brown-Forman Corporation,-0.013419011210520915,-0.013509859788915937,,,,,-11.294227708107107,0.7793603863854771,0.05234528449740996
2025-03-19,34.227820057203424,34.50125453969688,33.81767392128526,34.04227828979492,2320600,0.0,0.0,BF-B,15.356725,1.71,12163.879936,3888.999936,64.03,0.396,38.85,25.16,Consumer Defensive,Beverages - Wineries & Distilleries,Brown-Forman Corporation,-0.012184780326269795,-0.012259623347285267,,,,,-12.375088057155931,0.7438265836281356,0.03902870925392577
2025-03-20,34.25711862839743,34.51101808333025,34.003215448249954,34.100868225097656,2188000,0.0,0.0,BF-B,15.356725,1.71,12163.879936,3888.999936,64.03,0.396,38.85,25.16,Consumer Defensive,Beverages - Wineries & Distilleries,Brown-Forman Corporation,0.0017210932477542684,0.0017196138639656046,,,,,-12.224277412876049,0.7487845559436755,0.03228137307782335
2025-03-21,33.8957941537781,34.48172197313897,33.76884629268227,33.83720397949219,8046100,0.0,0.0,BF-B,15.356725,1.71,12163.879936,3888.999936,64.03,0.396,38.85,25.16,Consumer Defensive,Beverages - Wineries & Distilleries,Brown-Forman Corporation,-0.0077318924510965115,-0.007761938506986117,,,,,-12.902949859736973,0.7264728735095659,0.3303701366768097
2025-03-24,33.368460752505655,33.86649959296327,32.80206794939035,33.04620361328125,2845000,0.0,0.0,BF-B,15.356725,1.71,12163.879936,3888.999936,64.03,0.396,38.85,25.16,Consumer Defensive,Beverages - Wineries & Distilleries,Brown-Forman Corporation,-0.023376646802446888,-0.023654214884438005,,,,,-14.938986838400902,0.6595371805958928,0.06571274462910005
2025-03-25,33.16338813272868,33.38799249948853,32.86066228958979,32.909488677978516,2746800,0.0,0.0,BF-B,15.356725,1.71,12163.879936,3888.999936,64.03,0.396,38.85,25.16,Consumer Defensive,Beverages - Wineries & Distilleries,Brown-Forman Corporation,-0.0041370844561336995,-0.00414566586622225,,,,,-15.290891433774737,0.6479681481187369,0.06071584860728061
2025-03-26,32.77277559470585,33.554009039260684,32.77277559470585,33.378231048583984,2486300,0.0,0.0,BF-B,15.356725,1.71,12163.879936,3888.999936,64.03,0.396,38.85,25.16,Consumer Defensive,Beverages - Wineries & Distilleries,Brown-Forman Corporation,0.01424338053964136,0.014142896624794666,,,,,-14.084347365292194,0.6876338634770884,0.0474603352296435
2025-03-27,33.32940184252061,34.0325100206437,33.261044154719954,33.68095779418945,1771000,0.0,0.0,BF-B,15.356725,1.71,12163.879936,3888.999936,64.03,0.396,38.85,25.16,Consumer Defensive,Beverages - Wineries & Distilleries,Brown-Forman Corporation,0.009069586257127726,0.009028704560481026,,,,,-13.305127942884292,0.713251075992006,0.011062374695962792
2025-03-28,33.77860878410051,34.19852240137437,33.32940008080758,33.61259460449219,2084700,0.0,0.0,BF-B,15.356725,1.71,12163.879936,3888.999936,64.03,0.396,38.85,25.16,Consumer Defensive,Beverages - Wineries & Distilleries,Brown-Forman Corporation,-0.0020297281958252533,-0.0020317908857055388,,,,,-13.481094969132082,0.7074660755449201,0.027024964126153815
2025-03-31,33.593068496695906,33.91532563261286,33.10479717392541,33.143856048583984,3646700,0.0,0.0,BF-B,15.356725,1.71,12163.879936,3888.999936,64.03,0.396,38.85,25.16,Consumer Defensive,Beverages - Wineries & Distilleries,Brown-Forman Corporation,-0.013945325001645581,-0.014043474600079597,,,34.1065957069397,,-14.687629218574047,0.6678006829922407,0.10650715950377057
2025-04-01,33.09503104431735,33.34893422888821,32.32356142805048,32.71417999267578,3616000,0.0,0.0,BF-B,15.356725,1.71,12163.879936,3888.999936,64.03,0.396,38.85,25.16,Consumer Defensive,Beverages - Wineries & Distilleries,Brown-Forman Corporation,-0.012963973029522013,-0.013048738724972654,,,34.156272315979,,-15.793616492469035,0.6314408205203692,0.10494499343584943
2025-04-02,32.74347387903272,34.02274609225858,32.362622841373955,33.70048522949219,2921600,0.0,0.0,BF-B,15.356725,1.71,12163.879936,3888.999936,64.03,0.396,38.85,25.16,Consumer Defensive,Beverages - Wineries & Distilleries,Brown-Forman Corporation,0.030149165806302447,0.02970361292713836,,,34.095156860351565,,-13.254864274151387,0.714903518226738,0.06961052706567204
2025-04-03,33.866500558415765,34.12040001700594,31.962241580737953,32.13801956176758,4663700,0.0,0.0,BF-B,15.356725,1.71,12163.879936,3888.999936,64.03,0.396,38.85,25.16,Consumer Defensive,Beverages - Wineries & Distilleries,Brown-Forman Corporation,-0.04636329883930734,-0.04747249645623126,,,33.96610679626465,,-17.276654924665184,0.5826852202454679,0.1582570908091715
2025-04-04,31.932947350838084,31.962242440059068,30.985699730401723,31.268898010253906,4058000,0.0,0.0,BF-B,15.356725,1.71,12163.879936,3888.999936,64.03,0.396,38.85,25.16,Consumer Defensive,Beverages - Wineries & Distilleries,Brown-Forman Corporation,-0.027043407259220387,-0.02741580956847184,,,33.726365852355954,,-19.51377603538248,0.5091387899758509,0.12743611402285748
2025-04-07,30.966166161750806,33.729783615824154,30.702501065031267,31.991535186767578,8127500,0.0,0.0,BF-B,15.356725,1.71,12163.879936,3888.999936,64.03,0.396,38.85,25.16,Consumer Defensive,Beverages - Wineries & Distilleries,Brown-Forman Corporation,0.023110413941568986,0.02284741266198758,,,33.4724645614624,,-17.653706082966337,0.570289482442438,0.33451216657677
2025-04-08,32.59699445039967,32.59699445039967,30.204464231181145,30.722030639648438,3959300,0.0,0.0,BF-B,15.356725,1.71,12163.879936,3888.999936,64.03,0.396,38.85,25.16,Consumer Defensive,Beverages - Wineries & Distilleries,Brown-Forman Corporation,-0.03968251413093282,-0.04049133474727888,,,33.24932460784912,,-20.92141405495898,0.4628620144558836,0.1224137755569351
2025-04-09,30.565787065433636,33.651661979719165,30.47789806968565,33.319637298583984,4120500,0.0,0.0,BF-B,15.356725,1.71,12163.879936,3888.999936,64.03,0.396,38.85,25.16,Consumer Defensive,Beverages - Wineries & Distilleries,Brown-Forman Corporation,0.07352709068885256,0.0811669241968403,,,33.245418548583984,,-14.235167828612655,0.6826755683558765,0.13061641953572628
2025-04-10,33.016909119521834,33.28057608829205,31.93294615631584,32.850894927978516,3200700,0.0,0.0,BF-B,15.356725,1.71,12163.879936,3888.999936,64.03,0.396,38.85,25.16,Consumer Defensive,Beverages - Wineries & Distilleries,Brown-Forman Corporation,-0.014068051413794636,-0.014167944422379323,,,33.19122047424317,,-15.4417118970952,0.643009852997525,0.08381249936393889
2025-04-11,32.85089857288195,33.63213205302126,32.352863393422865,33.505184173583984,2237500,0.0,0.0,BF-B,15.356725,1.71,12163.879936,3888.999936,64.03,0.396,38.85,25.16,Consumer Defensive,Beverages - Wineries & Distilleries,Brown-Forman Corporation,0.01991693824597207,0.019721190888141202,,,33.16778354644775,,-13.757569694764522,0.6983768362397142,0.034800175044015426
2025-04-14,33.563770093490454,34.022746334560544,33.27080804129843,33.64189529418945,1892700,0.0,0.0,BF-B,15.356725,1.71,12163.879936,3888.999936,64.03,0.396,38.85,25.16,Consumer Defensive,Beverages - Wineries & Distilleries,Brown-Forman Corporation,0.004080297541335431,0.004071995702309434,,,33.1033317565918,,-13.405674918431268,0.7099455459111981,0.017255065590620896
2025-04-15,33.38799326085206,33.436823375568935,32.528638375013166,32.65558624267578,1856500,0.0,0.0,BF-B,15.356725,1.71,12163.879936,3888.999936,64.03,0.396,38.85,25.16,Consumer Defensive,Beverages - Wineries & Distilleries,Brown-Forman Corporation,-0.029317880068547297,-0.029756238201344588,0.5497123751950423,,33.013001441955566,,-15.944436955789499,0.6264825253991573,0.015413032637567296
2025-04-16,32.75324022933297,32.938781985265415,32.089190952544456,32.24543762207031,1747100,0.0,0.0,BF-B,15.356725,1.71,12163.879936,3888.999936,64.03,0.396,38.85,25.16,Consumer Defensive,Beverages - Wineries & Distilleries,Brown-Forman Corporation,-0.012559830270922112,-0.01263937165848753,0.4629257214160141,,32.92315940856933,,-17.00016056095158,0.5917751051620178,0.009846225867841769
2025-04-17,32.49934043116561,33.075500783230346,32.30403486792862,32.997379302978516,1796800,0.0,0.0,BF-B,15.356725,1.71,12163.879936,3888.999936,64.03,0.396,38.85,25.16,Consumer Defensive,Beverages - Wineries & Distilleries,Brown-Forman Corporation,0.02331932007626225,0.02305157910068448,0.4686387817256655,,32.86798496246338,,-15.064660738794041,0.6554055908005548,0.012375204811675028
2025-04-21,32.6262907612224,33.46611806132136,32.25520350008723,33.38799285888672,2462500,0.0,0.0,BF-B,15.356725,1.71,12163.879936,3888.999936,64.03,0.396,38.85,25.16,Consumer Defensive,Beverages - Wineries & Distilleries,Brown-Forman Corporation,0.011837714514284059,0.011768196854156296,0.4549715522275446,,32.84552440643311,,-14.05922044044603,0.6884599231916184,0.04624927489034306
2025-04-22,33.67118955611526,34.13992957317036,33.58330057009152,33.89579391479492,2061000,0.0,0.0,BF-B,15.356725,1.71,12163.879936,3888.999936,64.03,0.396,38.85,25.16,Consumer Defensive,Beverages - Wineries & Distilleries,Brown-Forman Corporation,0.015209092024621285,0.015094593272954092,0.4491371933060152,,32.88800392150879,,-12.75213921545709,0.7314308458251059,0.02581899227567397
2025-04-23,34.178990704847465,34.5207791218102,33.358694778922555,33.76884460449219,1654300,0.0,0.0,BF-B,15.356725,1.71,12163.879936,3888.999936,64.03,0.396,38.85,25.16,Consumer Defensive,Beverages - Wineries & Distilleries,Brown-Forman Corporation,-0.0037452821026069394,-0.0037523132328219923,0.42528184025369903,,32.930971717834474,,-13.07890706694418,0.7206881958681519,0.005124108242334191
2025-04-24,33.720016279927876,34.03250962775603,33.32940145774995,33.79814147949219,1718600,0.0,0.0,BF-B,15.356725,1.71,12163.879936,3888.999936,64.03,0.396,38.85,25.16,Consumer Defensive,Beverages - Wineries & Distilleries,Brown-Forman Corporation,0.0008675711397037045,0.000867195017388671,0.3982480591273665,,32.95196723937988,,-13.003496835283949,0.7231673434287579,0.0083960065539736
2025-04-25,33.61259602080494,33.84696789447627,32.723942363709334,33.163387298583984,2031400,0.0,0.0,BF-B,15.356725,1.71,12163.879936,3888.999936,64.03,0.396,38.85,25.16,Consumer Defensive,Beverages - Wineries & Distilleries,Brown-Forman Corporation,-0.018780742168718167,-0.018959339974994667,0.3993612149670991,,32.92608871459961,,-14.637355730800557,0.6694534480326447,0.02431279958477931
2025-04-28,33.23174647046468,33.81767431821532,32.987610798538924,33.309871673583984,2465800,0.0,0.0,BF-B,15.356725,1.71,12163.879936,3888.999936,64.03,0.396,38.85,25.16,Consumer Defensive,Beverages - Wineries & Distilleries,Brown-Forman Corporation,0.0044170510593848356,0.004407324520582005,0.39958817578477795,,32.9109525680542,,-14.260304572499399,0.6818491858356744,0.04641719502142254
2025-04-29,33.05596966084954,33.583303624960344,32.88995918615625,33.53447723388672,1570100,0.0,0.0,BF-B,15.356725,1.71,12163.879936,3888.999936,64.03,0.396,38.85,25.16,Consumer Defensive,Beverages - Wineries & Distilleries,Brown-Forman Corporation,0.0067429128068619,0.00672028104931824,0.39103074812309385,,32.93048362731933,,-13.682169282144871,0.7008556609946482,0.0008396006553973601
2025-04-30,33.63212470773194,34.03250701168538,33.34893019411677,34.022743225097656,2657300,0.0,0.0,BF-B,15.356725,1.71,12163.879936,3888.999936,64.03,0.396,38.85,25.16,Consumer Defensive,Beverages - Wineries & Distilleries,Brown-Forman Corporation,0.014560119360308432,0.014455138616940349,0.391760434210884,,32.99591178894043,,-12.425371363970001,0.7421734957820597,0.056161651112852505
2025-05-01,33.92509249555757,33.92509249555757,33.23174439933731,33.35869598388672,2097200,0.0,0.0,BF-B,15.356725,1.71,12163.879936,3888.999936,64.03,0.396,38.85,25.16,Consumer Defensive,Beverages - Wineries & Distilleries,Brown-Forman Corporation,-0.01951774543332785,-0.019710731860688994,0.3942882399356868,,32.97882232666016,,-14.13463067210626,0.6859807756310125,0.027661025228727574
