date,open,high,low,close,volume,dividends,stock_splits,ticker,pe_ratio,eps,market_cap_usd_m,revenue_ttm_usd_m,debt_to_equity,beta,52w_high,52w_low,sector,industry,long_name,daily_return,log_return,rolling_vol_30d,rolling_vol_60d,sma_20,sma_50,price_vs_52w_high_pct,close_norm,volume_norm
2025-03-04,4813.6532418457045,4931.309300545747,4755.306984369413,4862.27197265625,389700,0.0,0.0,BKNG,25.707602,165.46,137109.118976,26916.999168,,1.227,5839.41,3765.45,Consumer Cyclical,Travel Services,Booking Holdings Inc.,,,,,,,-16.733506079274274,0.5153004783564576,0.38831258644536654
2025-03-05,4858.510324705581,4912.97575470301,4806.526940973451,4881.19189453125,213100,0.0,0.0,BKNG,25.707602,165.46,137109.118976,26916.999168,,1.227,5839.41,3765.45,Consumer Cyclical,Travel Services,Booking Holdings Inc.,0.00389116898055053,0.0038836179643809278,,,,,-16.40950208101075,0.5251340801504022,0.1847625633932688
2025-03-06,4780.489657564502,4835.779040388494,4651.686925068837,4661.33544921875,305600,0.0,0.0,BKNG,25.707602,165.46,137109.118976,26916.999168,,1.227,5839.41,3765.45,Consumer Cyclical,Travel Services,Booking Holdings Inc.,-0.045041549290209426,-0.04608744655803551,,,,,-20.174547613222053,0.41086401342819084,0.2913785154449055
2025-03-07,4653.75549180333,4700.186295842943,4576.898259049858,4648.4140625,296900,9.6,0.0,BKNG,25.707602,165.46,137109.118976,26916.999168,,1.227,5839.41,3765.45,Consumer Cyclical,Travel Services,Booking Holdings Inc.,-0.0027720353661557784,-0.0027758845712588277,,,,,-20.395826590357586,0.4041481415309792,0.2813508529276164
2025-03-10,4558.676470984388,4558.676470984388,4382.383071100634,4427.251953125,360800,0.0,0.0,BKNG,25.707602,165.46,137109.118976,26916.999168,,1.227,5839.41,3765.45,Consumer Cyclical,Travel Services,Booking Holdings Inc.,-0.04757797098136629,-0.048747034629958566,,,,,-24.183231642837203,0.2891994578170003,0.3550023052097741
2025-03-11,4376.5049717541315,4405.777931926288,4285.0066336652135,4330.154296875,403400,0.0,0.0,BKNG,25.707602,165.46,137109.118976,26916.999168,,1.227,5839.41,3765.45,Consumer Cyclical,Travel Services,Booking Holdings Inc.,-0.021931811714818505,-0.022175889204810235,,,,,-25.846030731272506,0.23873309262817397,0.4041032733978792
2025-03-12,4391.414834672527,4398.6756434142935,4277.665887876513,4377.01220703125,305700,0.0,0.0,BKNG,25.707602,165.46,137109.118976,26916.999168,,1.227,5839.41,3765.45,Consumer Cyclical,Travel Services,Booking Holdings Inc.,0.01082130264735981,0.010763171346787271,,,,,-25.043588187312587,0.2630874230750587,0.29149377593361
2025-03-13,4358.640626545608,4377.012172371691,4256.539086260099,4272.45361328125,319100,0.0,0.0,BKNG,25.707602,165.46,137109.118976,26916.999168,,1.227,5839.41,3765.45,Consumer Cyclical,Travel Services,Booking Holdings Inc.,-0.02388812020721276,-0.024178068203435342,,,,,-26.834155962995403,0.20874324650470374,0.30693868142000924
2025-03-14,4338.677905956205,4441.625,4329.9251105868225,4441.625,252900,0.0,0.0,BKNG,25.707602,165.46,137109.118976,26916.999168,,1.227,5839.41,3765.45,Consumer Cyclical,Travel Services,Booking Holdings Inc.,0.03959583930715316,0.0388320215716806,,,,,-23.937092959733945,0.2966698279627253,0.2306362378976487
2025-03-17,4450.228787261119,4583.115184425118,4437.934951180917,4539.01220703125,284200,0.0,0.0,BKNG,25.707602,165.46,137109.118976,26916.999168,,1.227,5839.41,3765.45,Consumer Cyclical,Travel Services,Booking Holdings Inc.,0.02192603090788836,0.021689112359727966,,,,,-22.269335309025227,0.3472866867477065,0.26671277086214845
