date,open,high,low,close,volume,dividends,stock_splits,ticker,pe_ratio,eps,market_cap_usd_m,revenue_ttm_usd_m,debt_to_equity,beta,52w_high,52w_low,sector,industry,long_name,daily_return,log_return,rolling_vol_30d,rolling_vol_60d,sma_20,sma_50,price_vs_52w_high_pct,close_norm,volume_norm
2025-03-04,131.55999755859375,134.19000244140625,127.44999694824219,130.38999938964844,2961500,0.0,0.0,BLDR,24.676092,3.89,10616.98048,15190.637568,117.187,1.564,151.03,94.17,Industrials,Building Products & Equipment,"Builders FirstSource, Inc.",,,,,,,-13.666159445376127,0.6537894688827837,0.3222712024175885
2025-03-05,131.1199951171875,135.41000366210938,130.38999938964844,133.6999969482422,1760200,0.0,0.0,BLDR,24.676092,3.89,10616.98048,15190.637568,117.187,1.564,151.03,94.17,Industrials,Building Products & Equipment,"Builders FirstSource, Inc.",0.02538536370954625,0.02506850652807167,,,,,-11.474543502455017,0.7146797753006109,0.15574315894535473
2025-03-06,131.67999267578125,134.77999877929688,131.67999267578125,134.27000427246094,2083800,0.0,0.0,BLDR,24.676092,3.89,10616.98048,15190.637568,117.187,1.564,151.03,94.17,Industrials,Building Products & Equipment,"Builders FirstSource, Inc.",0.00426333086932984,0.004254268622054751,,,,,-11.097130191047516,0.7251655596607754,0.20060162466383874
2025-03-07,134.0,135.6999969482422,131.1999969482422,134.50999450683594,1048800,0.0,0.0,BLDR,24.676092,3.89,10616.98048,15190.637568,117.187,1.564,151.03,94.17,Industrials,Building Products & Equipment,"Builders FirstSource, Inc.",0.0017873704233151155,0.001785774977618783,,,,,-10.938227831003154,0.7295803903818556,0.05712661842579501
2025-03-10,133.39999389648438,139.17999267578125,132.85000610351562,135.5800018310547,1865100,0.0,0.0,BLDR,24.676092,3.89,10616.98048,15190.637568,117.187,1.564,151.03,94.17,Industrials,Building Products & Equipment,"Builders FirstSource, Inc.",0.007954853675682605,0.007923380626007405,,,,,-10.229754465301804,0.7492641130093367,0.17028473204136516
2025-03-11,135.47999572753906,136.7899932861328,128.8000030517578,130.0,1649400,0.0,0.0,BLDR,24.676092,3.89,10616.98048,15190.637568,117.187,1.564,151.03,94.17,Industrials,Building Products & Equipment,"Builders FirstSource, Inc.",-0.04115652570950612,-0.04202743505258215,,,,,-13.924385883599285,0.6466150882622288,0.14038370900219024
2025-03-12,131.0,131.58999633789062,128.4499969482422,129.4600067138672,1670400,0.0,0.0,BLDR,24.676092,3.89,10616.98048,15190.637568,117.187,1.564,151.03,94.17,Industrials,Building Products & Equipment,"Builders FirstSource, Inc.",-0.004153794508713893,-0.004162445477666616,,,,,-14.28192629685017,0.6366814384409989,0.14329479608528098
2025-03-13,129.27999877929688,129.49000549316406,122.48999786376953,122.80000305175781,1730900,0.0,0.0,BLDR,24.676092,3.89,10616.98048,15190.637568,117.187,1.564,151.03,94.17,Industrials,Building Products & Equipment,"Builders FirstSource, Inc.",-0.05144448722939843,-0.052814964413425994,,,,,-18.691648644800495,0.5141648333526314,0.151681499348471
2025-03-14,125.81999969482422,126.36000061035156,123.33000183105469,126.19000244140625,1919900,0.0,0.0,BLDR,24.676092,3.89,10616.98048,15190.637568,117.187,1.564,151.03,94.17,Industrials,Building Products & Equipment,"Builders FirstSource, Inc.",0.027605857535847322,0.027231686447395268,,,,,-16.447061880814243,0.5765268435770852,0.17788128309628767
2025-03-17,126.12999725341797,129.6199951171875,126.0,128.14999389648438,1018000,0.0,0.0,BLDR,24.676092,3.89,10616.98048,15190.637568,117.187,1.564,151.03,94.17,Industrials,Building Products & Equipment,"Builders FirstSource, Inc.",0.01553206606829427,0.015412678170292212,,,,,-15.149312125746956,0.612582604393638,0.05285702403726191
2025-03-18,127.51000213623047,129.08999633789062,126.2300033569336,127.72000122070312,1306900,0.0,0.0,BLDR,24.676092,3.89,10616.98048,15190.637568,117.187,1.564,151.03,94.17,Industrials,Building Products & Equipment,"Builders FirstSource, Inc.",-0.003355385846749104,-0.0033610277779453444,,,,,-15.434018922927152,0.6046725122191696,0.09290526490892456
2025-03-19,127.66999816894531,129.97000122070312,126.06999969482422,128.2899932861328,1623900,0.0,0.0,BLDR,24.676092,3.89,10616.98048,15190.637568,117.187,1.564,151.03,94.17,Industrials,Building Products & Equipment,"Builders FirstSource, Inc.",0.004462825399169201,0.004452896523496369,,,,,-15.056615714670722,0.6151580158805345,0.13684881754415149
2025-03-20,127.5,132.33999633789062,126.97000122070312,128.75999450683594,1488400,0.0,0.0,BLDR,24.676092,3.89,10616.98048,15190.637568,117.187,1.564,151.03,94.17,Industrials,Building Products & Equipment,"Builders FirstSource, Inc.",0.0036635844204531143,0.0036568898408397975,,,,,-14.745418455382417,0.623804100307716,0.11806537469849455
2025-03-21,126.87999725341797,127.0,124.33000183105469,126.45999908447266,4153200,0.0,0.0,BLDR,24.676092,3.89,10616.98048,15190.637568,117.187,1.564,151.03,94.17,Industrials,Building Products & Equipment,"Builders FirstSource, Inc.",-0.01786265548684207,-0.01802411837776058,,,,,-16.268291674188802,0.5814936684877001,0.48746846322326653
2025-03-24,128.27000427246094,131.89999389648438,127.7300033569336,131.72999572753906,1371800,0.0,0.0,BLDR,24.676092,3.89,10616.98048,15190.637568,117.187,1.564,151.03,94.17,Industrials,Building Products & Equipment,"Builders FirstSource, Inc.",0.041673230121930915,0.04082829541745811,,,,,-12.778920924624867,0.6784398760714799,0.10190191022761928
2025-03-25,130.4499969482422,132.35000610351562,129.24000549316406,130.85000610351562,992200,0.0,0.0,BLDR,24.676092,3.89,10616.98048,15190.637568,117.187,1.564,151.03,94.17,Industrials,Building Products & Equipment,"Builders FirstSource, Inc.",-0.006680252429701272,-0.006702665186979129,,,,,-13.361579750039315,0.6622516955961867,0.04928054562089329
2025-03-26,130.02000427246094,131.49000549316406,127.86000061035156,128.99000549316406,851100,0.0,0.0,BLDR,24.676092,3.89,10616.98048,15190.637568,117.187,1.564,151.03,94.17,Industrials,Building Products & Equipment,"Builders FirstSource, Inc.",-0.01421475371487646,-0.014316751058274289,,,,,-14.593123556138474,0.6280353540138174,0.029720812886412155
