date,open,high,low,close,volume,dividends,stock_splits,ticker,pe_ratio,eps,market_cap_usd_m,revenue_ttm_usd_m,debt_to_equity,beta,52w_high,52w_low,sector,industry,long_name,daily_return,log_return,rolling_vol_30d,rolling_vol_60d,sma_20,sma_50,price_vs_52w_high_pct,close_norm,volume_norm
2025-03-04,91.76207671244416,92.89377012869323,89.56526690966531,89.59379577636719,2583800,0.0,0.0,CCI,36.170635,2.52,39747.821568,4264.0,,0.951,115.76,77.01,Real Estate,REIT - Specialty,Crown Castle Inc.,,,,,,,-22.6038391703808,0.3405871538478101,0.1307286166842661
2025-03-05,88.51916284169279,90.63038593686267,88.47160989590358,89.99320983886719,2011400,0.0,0.0,CCI,36.170635,2.52,39747.821568,4264.0,,0.951,115.76,77.01,Real Estate,REIT - Specialty,Crown Castle Inc.,0.00445805492488538,0.0044481472331379945,,,,,-22.258802834427105,0.35270741465381944,0.08595564941921859
2025-03-06,90.28802768490722,90.99176631870418,88.3479849800206,90.51626586914062,2899100,0.0,0.0,CCI,36.170635,2.52,39747.821568,4264.0,,0.951,115.76,77.01,Real Estate,REIT - Specialty,Crown Castle Inc.,0.005812172176211661,0.005795346667199306,,,,,-21.80695761131598,0.3685796036884006,0.15539129414525402
2025-03-07,91.04881781364276,93.19808172999345,90.76352191678524,92.94131469726562,2669400,0.0,0.0,CCI,36.170635,2.52,39747.821568,4264.0,,0.951,115.76,77.01,Real Estate,REIT - Specialty,Crown Castle Inc.,0.02679130435662125,0.026438701296305944,,,,,-19.712064014110556,0.4421679597923683,0.13742422464703352
2025-03-10,93.80673442191274,96.1081550113333,93.283680989971,93.69261169433594,3772500,0.0,0.0,CCI,36.170635,2.52,39747.821568,4264.0,,0.951,115.76,77.01,Real Estate,REIT - Specialty,Crown Castle Inc.,0.008083563262661908,0.008051066275321208,,,,,-19.06305140434007,0.4649661444388186,0.22370839688685518
2025-03-11,93.93036244725339,94.90989953928151,92.27562279395613,92.84622192382812,3416100,0.0,0.0,CCI,36.170635,2.52,39747.821568,4264.0,,0.951,115.76,77.01,Real Estate,REIT - Specialty,Crown Castle Inc.,-0.009033687450928252,-0.0090747386213888,,,,,-19.794210501185105,0.43928235980218455,0.1958308889671086
2025-03-12,92.11395130731907,92.23757881708545,90.42117080091758,90.62088012695312,2965800,0.0,0.0,CCI,36.170635,2.52,39747.821568,4264.0,,0.951,115.76,77.01,Real Estate,REIT - Specialty,Crown Castle Inc.,-0.023968038233162514,-0.024259945393315524,,,,,-21.716585930413682,0.3717541341012215,0.1606085494153076
2025-03-13,90.93470826130046,92.00933666146861,89.4891828366831,90.43067169189453,3287400,0.0,0.0,CCI,36.170635,2.52,39747.821568,4264.0,,0.951,115.76,77.01,Real Estate,REIT - Specialty,Crown Castle Inc.,-0.002098947116736527,-0.0021011529934555112,,,,,-21.88089867666333,0.3659822395765688,0.18576401110720012
2025-03-14,97.09755281717128,100.24002495827708,96.00494208228142,99.80491638183594,8718500,1.565,0.0,CCI,36.170635,2.52,39747.821568,4264.0,,0.951,115.76,77.01,Real Estate,REIT - Specialty,Crown Castle Inc.,0.053377100763267765,0.09863394596720201,,,,,-13.782898771738136,0.6504446588271138,0.6105831280065704
2025-03-17,100.18200991505535,100.74282208422028,99.07972799743989,99.50517272949219,8458000,0.0,0.0,CCI,36.170635,2.52,39747.821568,4264.0,,0.951,115.76,77.01,Real Estate,REIT - Specialty,Crown Castle Inc.,-0.0030032954608867346,-0.0030078144027792806,,,,,-14.041834200507788,0.6413489068683252,0.5902068911572608
