date,open,high,low,close,volume,dividends,stock_splits,ticker,pe_ratio,eps,market_cap_usd_m,revenue_ttm_usd_m,debt_to_equity,beta,52w_high,52w_low,sector,industry,long_name,daily_return,log_return,rolling_vol_30d,rolling_vol_60d,sma_20,sma_50,price_vs_52w_high_pct,close_norm,volume_norm
2025-03-04,111.5487217576813,113.12817117894191,109.17954386008594,109.28813171386719,1583600,0.0,0.0,CHD,33.930466,3.02,24606.130176,6203.2,59.517,0.426,116.46,81.33,Consumer Defensive,Household & Personal Products,"Church & Dwight Co., Inc.",,,,,,,-6.158224528707545,0.9193594490254422,0.17527669217379882
2025-03-05,109.40659965338229,110.7984869484781,108.82417317340197,109.23878479003906,1563900,0.0,0.0,CHD,33.930466,3.02,24606.130176,6203.2,59.517,0.426,116.46,81.33,Consumer Defensive,Household & Personal Products,"Church & Dwight Co., Inc.",-0.0004515304915022611,-0.00045163246209101453,,,,,-6.2005969517095405,0.9177405257445845,0.17204177477092844
2025-03-06,109.23877845911368,110.26541493501439,108.59712501311904,109.4658203125,1716400,0.0,0.0,CHD,33.930466,3.02,24606.130176,6203.2,59.517,0.426,116.46,81.33,Consumer Defensive,Household & Personal Products,"Church & Dwight Co., Inc.",0.002078341707089759,0.002076184942775871,,,,,-6.00564974025416,0.9251888743827668,0.19708364806726
2025-03-07,109.3276194944645,112.38780417719255,108.88340193120406,110.8873291015625,1696800,0.0,0.0,CHD,33.930466,3.02,24606.130176,6203.2,59.517,0.426,116.46,81.33,Consumer Defensive,Household & Personal Products,"Church & Dwight Co., Inc.",0.012985868876736362,0.012902275393073911,,,,,-4.785051432627077,0.9718242772413628,0.19386515156491183
2025-03-10,111.9337246428983,114.96429614253627,111.48950703318127,111.74616241455078,2232400,0.0,0.0,CHD,33.930466,3.02,24606.130176,6203.2,59.517,0.426,116.46,81.33,Consumer Defensive,Household & Personal Products,"Church & Dwight Co., Inc.",0.007745098740737699,0.007715259436689947,,,,,-4.04760225437851,1.0,0.28181549476173273
2025-03-11,111.30194334662951,111.82513531210255,110.11735804863058,110.74913787841797,1535400,0.0,0.0,CHD,33.930466,3.02,24606.130176,6203.2,59.517,0.426,116.46,81.33,Consumer Defensive,Household & Personal Products,"Church & Dwight Co., Inc.",-0.008922226182892068,-0.008962267593200896,,,,,-4.903711249855766,0.9672906412818428,0.16736181812210582
2025-03-12,108.81430004429927,109.34735810172214,107.165742424031,107.62970733642578,1540400,0.0,0.0,CHD,33.930466,3.02,24606.130176,6203.2,59.517,0.426,116.46,81.33,Consumer Defensive,Household & Personal Products,"Church & Dwight Co., Inc.",-0.028166634989219896,-0.028570924392481687,,,,,-7.582253703910538,0.864951562456198,0.16818286314821504
2025-03-13,107.688940960112,108.98212160070675,107.29408423127417,108.350341796875,2196900,0.0,0.0,CHD,33.930466,3.02,24606.130176,6203.2,59.517,0.426,116.46,81.33,Consumer Defensive,Household & Personal Products,"Church & Dwight Co., Inc.",0.006695497723474109,0.0066731824312044954,,,,,-6.963470893976467,0.8885933989579621,0.2759860750763572
2025-03-14,107.55073173450387,108.13315817034787,106.78075062559893,107.69880676269531,938200,0.0,0.0,CHD,33.930466,3.02,24606.130176,6203.2,59.517,0.426,116.46,81.33,Consumer Defensive,Household & Personal Products,"Church & Dwight Co., Inc.",-0.00601322546264893,-0.006031377708494654,,,,,-7.52292051975329,0.8672185055846345,0.06929620020361917
2025-03-17,107.45202778565208,108.82417528342218,107.16575137894624,107.9159927368164,1616100,0.0,0.0,CHD,33.930466,3.02,24606.130176,6203.2,59.517,0.426,116.46,81.33,Consumer Defensive,Household & Personal Products,"Church & Dwight Co., Inc.",0.0020166052034322757,0.0020145745846716465,,,,,-7.336430760075209,0.8743437203397636,0.1806134848435088
