date,open,high,low,close,volume,dividends,stock_splits,ticker,pe_ratio,eps,market_cap_usd_m,revenue_ttm_usd_m,debt_to_equity,beta,52w_high,52w_low,sector,industry,long_name,daily_return,log_return,rolling_vol_30d,rolling_vol_60d,sma_20,sma_50,price_vs_52w_high_pct,close_norm,volume_norm
2025-03-04,376.4800109863281,377.489990234375,361.8599853515625,368.3599853515625,1316700,0.0,0.0,CHTR,6.4088397,36.2,30022.97344,54774.001664,482.329,1.023,437.06,180.38,Communication Services,Telecom Services,"Charter Communications, Inc.",,,,,,,-15.718668981018052,0.7590819257885019,0.0880257764723933
2025-03-05,368.20001220703125,380.2900085449219,367.69000244140625,378.4200134277344,1095500,0.0,0.0,CHTR,6.4088397,36.2,30022.97344,54774.001664,482.329,1.023,437.06,180.38,Communication Services,Telecom Services,"Charter Communications, Inc.",0.027310317288048003,0.026944044300763813,,,,,-13.416919089430657,0.8002373339692203,0.06378361791201806
2025-03-06,378.8900146484375,384.95001220703125,375.6700134277344,382.94000244140625,1408600,0.0,0.0,CHTR,6.4088397,36.2,30022.97344,54774.001664,482.329,1.023,437.06,180.38,Communication Services,Telecom Services,"Charter Communications, Inc.",0.011944370945737637,0.01187359993319193,,,,,-12.382738653410001,0.8187285341350169,0.09809745084716043
2025-03-07,381.95001220703125,391.6099853515625,371.0299987792969,379.5199890136719,1581700,0.0,0.0,CHTR,6.4088397,36.2,30022.97344,54774.001664,482.329,1.023,437.06,180.38,Communication Services,Telecom Services,"Charter Communications, Inc.",-0.008930938021440293,-0.008971057899136818,,,,,-13.165242984104728,0.8047373158664188,0.11706814545295136
2025-03-10,378.5,385.6400146484375,362.6600036621094,373.5199890136719,2029700,0.0,0.0,CHTR,6.4088397,36.2,30022.97344,54774.001664,482.329,1.023,437.06,180.38,Communication Services,Telecom Services,"Charter Communications, Inc.",-0.015809443965239645,-0.0159357461716269,,,,,-14.538052209382723,0.7801914152770165,0.16616618810687592
2025-03-11,371.3399963378906,376.5199890136719,355.7799987792969,355.8699951171875,1343700,0.0,0.0,CHTR,6.4088397,36.2,30022.97344,54774.001664,482.329,1.023,437.06,180.38,Communication Services,Telecom Services,"Charter Communications, Inc.",-0.04725314418404081,-0.04840603934806134,,,,,-18.57639795058173,0.7079855826792396,0.09098481029305394
2025-03-12,353.7300109863281,354.5,338.5400085449219,349.75,2413700,0.0,0.0,CHTR,6.4088397,36.2,30022.97344,54774.001664,482.329,1.023,437.06,180.38,Communication Services,Telecom Services,"Charter Communications, Inc.",-0.017197277660827237,-0.01734686835607113,,,,,-19.976662243170274,0.6829487840535543,0.2082502246673827
2025-03-13,348.0299987792969,354.5199890136719,344.4100036621094,345.3999938964844,1432400,0.0,0.0,CHTR,6.4088397,36.2,30022.97344,54774.001664,482.329,1.023,437.06,180.38,Communication Services,Telecom Services,"Charter Communications, Inc.",-0.012437472776313463,-0.012515465503874192,,,,,-20.97195032799058,0.6651529811568564,0.10070578436315017
2025-03-14,350.0,355.0,345.17999267578125,351.5,1211000,0.0,0.0,CHTR,6.4088397,36.2,30022.97344,54774.001664,482.329,1.023,437.06,180.38,Communication Services,Telecom Services,"Charter Communications, Inc.",0.017660701248720212,0.017506563209003123,,,,,-19.576259552464194,0.6901080050587967,0.07644170703373299
2025-03-17,347.739990234375,357.45001220703125,347.739990234375,354.0799865722656,878700,0.0,0.0,CHTR,6.4088397,36.2,30022.97344,54774.001664,482.329,1.023,437.06,180.38,Communication Services,Telecom Services,"Charter Communications, Inc.",0.007339933349262084,0.007313127129136314,,,,,-18.985954657880928,0.7006626873796008,0.04002367227056528
