date,open,high,low,close,volume,dividends,stock_splits,ticker,pe_ratio,eps,market_cap_usd_m,revenue_ttm_usd_m,debt_to_equity,beta,52w_high,52w_low,sector,industry,long_name,daily_return,log_return,rolling_vol_30d,rolling_vol_60d,sma_20,sma_50,price_vs_52w_high_pct,close_norm,volume_norm
2025-03-04,54.0,54.0,52.34000015258789,53.16999816894531,13484100,0.0,0.0,CMG,32.201756,1.14,48540.823552,11925.60128,179.319,1.019,58.42,29.75,Consumer Cyclical,Restaurants,"Chipotle Mexican Grill, Inc.",,,,,,,-8.986651542373654,0.8216671433360645,0.06938124121820484
2025-03-05,53.27000045776367,54.0,52.900001525878906,53.599998474121094,8788900,0.0,0.0,CMG,32.201756,1.14,48540.823552,11925.60128,179.319,1.019,58.42,29.75,Consumer Cyclical,Restaurants,"Chipotle Mexican Grill, Inc.",0.008087273274102413,0.00805474653036039,,,,,-8.250601721805731,0.83679202099036,0.02413319224638561
2025-03-06,52.790000915527344,53.5,51.400001525878906,51.470001220703125,13830700,0.0,0.0,CMG,32.201756,1.14,48540.823552,11925.60128,179.319,1.019,58.42,29.75,Consumer Cyclical,Restaurants,"Chipotle Mexican Grill, Inc.",-0.039738755859225705,-0.04054990222741407,,,,,-11.896608660213756,0.7618712651812158,0.07272145543136563
2025-03-07,51.38999938964844,51.38999938964844,48.0099983215332,50.22999954223633,24666800,0.0,0.0,CMG,32.201756,1.14,48540.823552,11925.60128,179.319,1.019,58.42,29.75,Consumer Cyclical,Restaurants,"Chipotle Mexican Grill, Inc.",-0.024091735944393622,-0.0243866887328505,,,,,-14.019172300177463,0.718255310838429,0.17714988946261678
2025-03-10,49.33000183105469,50.75,48.939998626708984,49.83000183105469,19063400,0.0,0.0,CMG,32.201756,1.14,48540.823552,11925.60128,179.319,1.019,58.42,29.75,Consumer Cyclical,Restaurants,"Chipotle Mexican Grill, Inc.",-0.007963323010690027,-0.0079951996092585,,,,,-14.703865403877634,0.7041857476990554,0.12314943844696422
2025-03-11,49.810001373291016,51.29999923706055,49.58000183105469,49.97999954223633,12357500,0.0,0.0,CMG,32.201756,1.14,48540.823552,11925.60128,179.319,1.019,58.42,29.75,Consumer Cyclical,Restaurants,"Chipotle Mexican Grill, Inc.",0.0030101887551639006,0.0030056672085264306,,,,,-14.447107938657435,0.7094617835593537,0.05852409946244331
2025-03-12,50.720001220703125,51.54999923706055,49.689998626708984,50.04999923706055,10527800,0.0,0.0,CMG,32.201756,1.14,48540.823552,11925.60128,179.319,1.019,58.42,29.75,Consumer Cyclical,Restaurants,"Chipotle Mexican Grill, Inc.",0.0014005541309591862,0.0013995742698146613,,,,,-14.327286482265414,0.7119239604632086,0.04089112212308872
2025-03-13,49.95000076293945,50.02000045776367,48.220001220703125,48.72999954223633,12552500,0.0,0.0,CMG,32.201756,1.14,48540.823552,11925.60128,179.319,1.019,58.42,29.75,Consumer Cyclical,Restaurants,"Chipotle Mexican Grill, Inc.",-0.026373620678235676,-0.02672764305614715,,,,,-16.5867861310573,0.6654941471639781,0.060403331348093496
2025-03-14,50.08000183105469,50.25,49.119998931884766,50.029998779296875,13840300,0.0,0.0,CMG,32.201756,1.14,48540.823552,11925.60128,179.319,1.019,58.42,29.75,Consumer Cyclical,Restaurants,"Chipotle Mexican Grill, Inc.",0.026677595921867026,0.02632795363915368,,,,,-14.361522116917369,0.7112204621794532,0.07281397146265918
2025-03-17,50.0099983215332,50.22999954223633,49.290000915527344,49.650001525878906,10426200,0.0,0.0,CMG,32.201756,1.14,48540.823552,11925.60128,179.319,1.019,58.42,29.75,Consumer Cyclical,Restaurants,"Chipotle Mexican Grill, Inc.",-0.007595388020981031,-0.007624379876802295,,,,,-15.011979585965584,0.6978543973238351,0.03991199412523201
2025-03-18,49.33000183105469,49.33000183105469,47.54999923706055,47.790000915527344,17984500,0.0,0.0,CMG,32.201756,1.14,48540.823552,11925.60128,179.319,1.019,58.42,29.75,Consumer Cyclical,Restaurants,"Chipotle Mexican Grill, Inc.",-0.03746224679131338,-0.038181989476522,,,,,-18.195821781021323,0.6324305328989436,0.11275198572169251
2025-03-19,47.75,49.09000015258789,47.75,48.9900016784668,16346600,0.0,0.0,CMG,32.201756,1.14,48540.823552,11925.60128,179.319,1.019,58.42,29.75,Consumer Cyclical,Restaurants,"Chipotle Mexican Grill, Inc.",0.025109871101709036,0.024799798164533125,,,,,-16.141729410361528,0.6746394906742198,0.09696740159089025
