date,open,high,low,close,volume,dividends,stock_splits,ticker,pe_ratio,eps,market_cap_usd_m,revenue_ttm_usd_m,debt_to_equity,beta,52w_high,52w_low,sector,industry,long_name,daily_return,log_return,rolling_vol_30d,rolling_vol_60d,sma_20,sma_50,price_vs_52w_high_pct,close_norm,volume_norm
2025-03-04,59.76421946044082,59.932571343059045,58.457032162283426,59.21955871582031,3838900,0.0,0.0,CTVA,44.57143,1.75,52707.094528,17400.999936,12.282,0.721,80.905,53.4,Basic Materials,Agricultural Inputs,"Corteva, Inc.",,,,,,,-26.803586038167836,0.16596060324433679,0.22311741950495914
2025-03-05,59.348299717528334,60.60597312692171,59.13043390210995,60.56636047363281,3807500,0.0,0.0,CTVA,44.57143,1.75,52707.094528,17400.999936,12.282,0.721,80.905,53.4,Basic Materials,Agricultural Inputs,"Corteva, Inc.",0.022742515935916696,0.022487760211662176,,,,,-25.138915427188913,0.2186959380516354,0.2208341816701085
2025-03-06,60.40791235648503,60.93276677958027,59.71470604931914,60.26927185058594,3258600,0.0,0.0,CTVA,44.57143,1.75,52707.094528,17400.999936,12.282,0.721,80.905,53.4,Basic Materials,Agricultural Inputs,"Corteva, Inc.",-0.004905175426154429,-0.0049172452851618574,,,,,-25.506122179610735,0.20706314360884892,0.18092114830865885
2025-03-07,60.011795918685046,60.60597439746319,59.38791361582333,59.97218704223633,3614200,0.0,0.0,CTVA,44.57143,1.75,52707.094528,17400.999936,12.282,0.721,80.905,53.4,Basic Materials,Agricultural Inputs,"Corteva, Inc.",-0.0049292914818369615,-0.004941480511109365,,,,,-25.873324216999784,0.19543049853424999,0.20677845321543875
2025-03-10,59.49684567444691,60.17024189648653,58.85810580217751,59.65529251098633,4015800,0.0,0.0,CTVA,44.57143,1.75,52707.094528,17400.999936,12.282,0.721,80.905,53.4,Basic Materials,Agricultural Inputs,"Corteva, Inc.",-0.005284024926868525,-0.005298034760582429,,,,,-26.265011419583058,0.18302218446194443,0.23598062883569412
2025-03-11,59.655292495146654,59.922668462378596,59.08092035179965,59.38791275024414,4442400,0.0,0.0,CTVA,44.57143,1.75,52707.094528,17400.999936,12.282,0.721,80.905,53.4,Basic Materials,Agricultural Inputs,"Corteva, Inc.",-0.004482079451591736,-0.004492154084504527,,,,,-26.5954974967627,0.17255266946343661,0.2670006689741427
2025-03-12,59.37801109038794,59.88306300772622,57.98664960985257,58.427330017089844,3371700,0.0,0.0,CTVA,44.57143,1.75,52707.094528,17400.999936,12.282,0.721,80.905,53.4,Basic Materials,Agricultural Inputs,"Corteva, Inc.",-0.01617471786210145,-0.01630695649826273,,,,,-27.78279461456048,0.1349401167999479,0.18914516738896484
2025-03-13,58.19956206979633,58.66500132458841,57.52616204154552,58.02130889892578,3304000,0.0,0.0,CTVA,44.57143,1.75,52707.094528,17400.999936,12.282,0.721,80.905,53.4,Basic Materials,Agricultural Inputs,"Corteva, Inc.",-0.006949164338765801,-0.00697342222796376,,,,,-28.284643842870306,0.11904196439480641,0.1842223902736977
2025-03-14,58.51645826398335,59.33840011806949,58.19956456389341,59.23937225341797,2987600,0.0,0.0,CTVA,44.57143,1.75,52707.094528,17400.999936,12.282,0.721,80.905,53.4,Basic Materials,Agricultural Inputs,"Corteva, Inc.",0.02099337946019242,0.020776054793426955,,,,,-26.779096157940835,0.1667364216102309,0.16121549693144469
2025-03-17,59.308685866121756,61.30907948475377,59.29383206585612,60.98228454589844,2802800,0.0,0.0,CTVA,44.57143,1.75,52707.094528,17400.999936,12.282,0.721,80.905,53.4,Basic Materials,Agricultural Inputs,"Corteva, Inc.",0.02942151859787656,0.02899701203772858,,,,,-24.624825973798362,0.23498185027153642,0.14777784241296066
