date,open,high,low,close,volume,dividends,stock_splits,ticker,pe_ratio,eps,market_cap_usd_m,revenue_ttm_usd_m,debt_to_equity,beta,52w_high,52w_low,sector,industry,long_name,daily_return,log_return,rolling_vol_30d,rolling_vol_60d,sma_20,sma_50,price_vs_52w_high_pct,close_norm,volume_norm
2025-03-04,250.15073427928613,252.06156547552163,241.0081973785272,245.2218017578125,13465600,0.0,0.0,JPM,14.920868,20.03,806048.5632,168235.008,,1.059,337.25,202.16,Financial Services,Banks - Diversified,JPMorgan Chase & Co.,,,,,,,-27.287827499536693,0.2977367251168392,0.40444716761398203
2025-03-05,246.20171662136084,247.96555280550595,242.85043534758472,246.47608947753906,7861400,0.0,0.0,JPM,14.920868,20.03,806048.5632,168235.008,,1.059,337.25,202.16,Financial Services,Banks - Diversified,JPMorgan Chase & Co.,0.005114911116122167,0.005101874393812963,,,,,-26.915911200136676,0.3075908262551299,0.16091759225461055
2025-03-06,243.12479583514724,244.3496799351284,238.95039620520294,241.58633422851562,9983200,0.0,0.0,JPM,14.920868,20.03,806048.5632,168235.008,,1.059,337.25,202.16,Financial Services,Banks - Diversified,JPMorgan Chase & Co.,-0.019838659641948864,-0.020038087849628076,,,,,-28.365801563079135,0.26917528410514463,0.253120057012741
2025-03-07,240.30266509821263,241.7627323707991,234.6094060276731,237.4119415283203,20498700,0.0,0.0,JPM,14.920868,20.03,806048.5632,168235.008,,1.059,337.25,202.16,Financial Services,Banks - Diversified,JPMorgan Chase & Co.,-0.017279092849046496,-0.017430118627946755,,,,,-29.603575529037712,0.23637986786074863,0.7100693539135423
2025-03-10,231.46392822638103,232.73779585541584,224.1048142516893,227.55409240722656,18887200,0.0,0.0,JPM,14.920868,20.03,806048.5632,168235.008,,1.059,337.25,202.16,Financial Services,Banks - Diversified,JPMorgan Chase & Co.,-0.041522128405313774,-0.04240880325778514,,,,,-32.526584905195975,0.15893332930542858,0.6400418904590569
2025-03-11,227.09352369484046,228.63198537977485,222.13519499810542,224.5359649658203,18143000,0.0,0.0,JPM,14.920868,20.03,806048.5632,168235.008,,1.059,337.25,202.16,Financial Services,Banks - Diversified,JPMorgan Chase & Co.,-0.013263340639047105,-0.013352084306653722,,,,,-33.42150779367819,0.1352219171723725,0.6077028037058282
2025-03-12,229.29831783730396,229.6118953635389,222.69373697492486,223.3208770751953,16054000,0.0,0.0,JPM,14.920868,20.03,806048.5632,168235.008,,1.059,337.25,202.16,Financial Services,Banks - Diversified,JPMorgan Chase & Co.,-0.005411551288943661,-0.005426246773510285,,,,,-33.78180071899324,0.1256757829179916,0.516925657471624
2025-03-13,224.69274861160986,224.88872708268002,219.72461138527686,220.6653289794922,16467900,0.0,0.0,JPM,14.920868,20.03,806048.5632,168235.008,,1.059,337.25,202.16,Financial Services,Banks - Diversified,JPMorgan Chase & Co.,-0.011891177083318438,-0.011962442647234391,,,,,-34.56921305278215,0.10481291461345421,0.5349116128695833
2025-03-14,223.53646161747008,228.45560073894006,223.00731822336598,227.76966857910156,11962100,0.0,0.0,JPM,14.920868,20.03,806048.5632,168235.008,,1.059,337.25,202.16,Financial Services,Banks - Diversified,JPMorgan Chase & Co.,0.03219508761283296,0.031687687578395116,,,,,-32.462663134439865,0.16062696734975615,0.339112826128522
2025-03-17,226.53496075554793,230.9347498826832,225.82944126080733,229.22970581054688,9586000,0.0,0.0,JPM,14.920868,20.03,806048.5632,168235.008,,1.059,337.25,202.16,Financial Services,Banks - Diversified,JPMorgan Chase & Co.,0.0064101477626652414,0.006389690143196889,,,,,-32.02973882563473,0.1720975050246913,0.23585979732665868
2025-03-18,229.6118912936414,231.42471087138168,228.82796244414868,230.2488250732422,10344900,0.0,0.0,JPM,14.920868,20.03,806048.5632,168235.008,,1.059,337.25,202.16,Financial Services,Banks - Diversified,JPMorgan Chase & Co.,0.004445842911553477,0.004435989346097997,,,,,-31.727553721796237,0.18010404461575827,0.2688376701256714
2025-03-19,231.00335075055796,237.46093622614148,230.1704235702104,234.30563354492188,10120600,0.0,0.0,JPM,14.920868,20.03,806048.5632,168235.008,,1.059,337.25,202.16,Financial Services,Banks - Diversified,JPMorgan Chase & Co.,0.017619236364785795,0.01746581708541211,,,,,-30.524645353618425,0.2119756800865424,0.2590907510733344
2025-03-20,231.8068565717067,236.90237127915813,231.45408936376478,234.20762634277344,8328500,0.0,0.0,JPM,14.920868,20.03,806048.5632,168235.008,,1.059,337.25,202.16,Financial Services,Banks - Diversified,JPMorgan Chase & Co.,-0.00041828786045661204,-0.00041837536722657854,,,,,-30.55370605106792,0.21120570293770918,0.18121534477064538
2025-03-21,233.03174101977692,237.4315299605366,231.74806491303318,236.77499389648438,19326900,0.0,0.0,JPM,14.920868,20.03,806048.5632,168235.008,,1.059,337.25,202.16,Financial Services,Banks - Diversified,JPMorgan Chase & Co.,0.010961929779150337,0.010902283324532318,,,,,-29.7924406533775,0.23137579560109645,0.6591489805496167
2025-03-24,240.54765810241156,243.69316735348227,239.49916498685462,243.07582092285156,9422700,0.0,0.0,JPM,14.920868,20.03,806048.5632,168235.008,,1.059,337.25,202.16,Financial Services,Banks - Diversified,JPMorgan Chase & Co.,0.026611032367386933,0.026263117596537624,,,,,-27.924145019169295,0.28087718654689403,0.2287636230901601
2025-03-25,244.30069841338116,246.76027542501896,242.64465260375079,246.08413696289062,9287700,0.0,0.0,JPM,14.920868,20.03,806048.5632,168235.008,,1.059,337.25,202.16,Financial Services,Banks - Diversified,JPMorgan Chase & Co.,0.012376039824190777,0.012300082700148662,,,,,-27.032131367563938,0.30451151705038454,0.22289722062887835
2025-03-26,247.52459140779072,249.55299175550442,244.7612456285821,245.9861297607422,12779300,0.0,0.0,JPM,14.920868,20.03,806048.5632,168235.008,,1.059,337.25,202.16,Financial Services,Banks - Diversified,JPMorgan Chase & Co.,-0.0003982670454016901,-0.0003983463747849685,,,,,-27.061192065013433,0.3037415399015513,0.3746241156941475
2025-03-27,244.51625533302644,245.60395298055695,242.21346731053447,243.13458251953125,8022500,0.0,0.0,JPM,14.920868,20.03,806048.5632,168235.008,,1.059,337.25,202.16,Financial Services,Banks - Diversified,JPMorgan Chase & Co.,-0.011592309062240624,-0.01166002369827981,,,,,-27.9067212692272,0.28133883717746494,0.16791816585840677
2025-03-28,241.97832221404934,244.49667631604888,236.2654605973164,237.9705047607422,11978400,0.0,0.0,JPM,14.920868,20.03,806048.5632,168235.008,,1.059,337.25,202.16,Financial Services,Banks - Diversified,JPMorgan Chase & Co.,-0.021239585522039972,-0.021468391143226545,,,,,-29.437952628393717,0.24076812623069874,0.3398211399071805
2025-03-31,234.59962314020567,240.92002258119433,232.5908100746605,240.37127685546875,13603000,0.0,0.0,JPM,14.920868,20.03,806048.5632,168235.008,,1.059,337.25,202.16,Financial Services,Banks - Diversified,JPMorgan Chase & Co.,0.010088527975936845,0.01003797847332681,,,235.79656677246095,,-28.726085439445885,0.2596293896069988,0.41041786167457545
2025-04-01,237.74510920532492,240.7534318549276,236.04008003784892,238.76422119140625,8054700,0.0,0.0,JPM,14.920868,20.03,806048.5632,168235.008,,1.059,337.25,202.16,Financial Services,Banks - Diversified,JPMorgan Chase & Co.,-0.006685722541752703,-0.006708172101672556,,,235.47368774414062,,-29.20260305666234,0.247003826269755,0.1693174114825051
2025-04-02,236.74561869740594,242.28208917285224,236.6084322682575,240.88082885742188,7758800,0.0,0.0,JPM,14.920868,20.03,806048.5632,168235.008,,1.059,337.25,202.16,Financial Services,Banks - Diversified,JPMorgan Chase & Co.,0.008864844386876625,0.008825782336800723,,,235.19392471313478,,-28.574995149763716,0.2636325994634735,0.15645912638403645
2025-04-03,229.56290134081743,230.41541595904243,222.73294584761328,224.0950164794922,17188500,0.0,0.0,JPM,14.920868,20.03,806048.5632,168235.008,,1.059,337.25,202.16,Financial Services,Banks - Diversified,JPMorgan Chase & Co.,-0.04773054691720911,-0.07223218249545858,,,234.3193588256836,,-33.552256047593126,0.13175767933226928,0.5662251655629139
2025-04-04,212.28342010564901,214.63982366441508,205.99309790894932,207.32412719726562,27170700,1.4,0.0,JPM,14.920868,20.03,806048.5632,168235.008,,1.059,337.25,202.16,Financial Services,Banks - Diversified,JPMorgan Chase & Co.,-0.04773054691720911,-0.07778674212814293,,,232.81496810913086,,-38.52509200970626,0.0,1.0
2025-04-07,202.87751892186455,218.92867162545016,199.318263676067,211.42564392089844,22914400,0.0,0.0,JPM,14.920868,20.03,806048.5632,168235.008,,1.059,337.25,202.16,Financial Services,Banks - Diversified,JPMorgan Chase & Co.,0.019783113422830345,0.019589970787201105,,,232.00854568481446,,-37.30892693227622,0.032222878355118785,0.8150431941040482
2025-04-08,220.3780027140348,224.63726902095286,210.25236301213724,213.82147216796875,19485700,0.0,0.0,JPM,14.920868,20.03,806048.5632,168235.008,,1.059,337.25,202.16,Financial Services,Banks - Diversified,JPMorgan Chase & Co.,0.01133177699090604,0.011268053355503566,,,231.4728210449219,,-36.598525672952185,0.05104530122134224,0.6660496080374059
2025-04-09,209.51290511747,234.14175911605213,208.03399049311142,231.0458984375,24022400,0.0,0.0,JPM,14.920868,20.03,806048.5632,168235.008,,1.059,337.25,202.16,Financial Services,Banks - Diversified,JPMorgan Chase & Co.,0.049614796886377974,0.07747496067686607,,,231.85907211303712,,-31.49120876575241,0.18636611784066903,0.863191149119605
2025-04-10,226.76690105221883,227.11198713675623,217.0060708942117,223.9175262451172,18896400,0.0,0.0,JPM,14.920868,20.03,806048.5632,168235.008,,1.059,337.25,202.16,Financial Services,Banks - Diversified,JPMorgan Chase & Co.,-0.03085262383184484,-0.03133858766722447,,,232.02168197631835,,-33.60488473087704,0.13036325706927254,0.6404416749230849
2025-04-11,223.12878393710992,235.22631016994242,221.83720086361387,232.8797607421875,20284500,0.0,0.0,JPM,14.920868,20.03,806048.5632,168235.008,,1.059,337.25,202.16,Financial Services,Banks - Diversified,JPMorgan Chase & Co.,0.040024711988196904,0.03924447439809309,,,232.27718658447264,,-30.947439364807266,0.20077354951673534,0.7007613286749752
2025-04-14,233.7670966934882,236.4094167729895,230.34587320126917,231.42054748535156,13017800,0.0,0.0,JPM,14.920868,20.03,806048.5632,168235.008,,1.059,337.25,202.16,Financial Services,Banks - Diversified,JPMorgan Chase & Co.,-0.006265951374157308,-0.006285664839690483,,,232.3867286682129,,-31.380119352008435,0.1893094852601463,0.38498809337574524
2025-04-15,232.781188206335,235.29533125171326,229.54729581572957,229.85293579101562,10912900,0.0,0.0,JPM,14.920868,20.03,806048.5632,168235.008,,1.059,337.25,202.16,Financial Services,Banks - Diversified,JPMorgan Chase & Co.,-0.00677386563712612,-0.006796912401046034,0.475369886730487,,232.36693420410157,,-31.844941203553557,0.17699380685669266,0.2935200152961012
2025-04-16,228.73880396905287,230.29659590484752,224.72600824712578,226.3824005126953,9322300,0.0,0.0,JPM,14.920868,20.03,806048.5632,168235.008,,1.059,337.25,202.16,Financial Services,Banks - Diversified,JPMorgan Chase & Co.,-0.015098938224899383,-0.01521408775334981,0.47645351565570726,,231.97077255249025,,-32.87401022603549,0.1497281284172756,0.22440075785228833
2025-04-17,227.5556737150443,231.04590571903626,227.30918793654973,228.69937133789062,9557900,0.0,0.0,JPM,14.920868,20.03,806048.5632,168235.008,,1.059,337.25,202.16,Financial Services,Banks - Diversified,JPMorgan Chase & Co.,0.010234765688269087,0.010182745118394206,0.47485460084850006,,231.6953598022461,,-32.18699144910582,0.16793102117215386,0.23463871651805113
2025-04-21,227.38804889454264,228.55145446439505,223.1583448139033,225.77110290527344,8716200,0.0,0.0,JPM,14.920868,20.03,806048.5632,168235.008,,1.059,337.25,202.16,Financial Services,Banks - Diversified,JPMorgan Chase & Co.,-0.012804007354663138,-0.012886685153133534,0.4737292404980039,,231.14516525268556,,-33.0552697093333,0.14492557127317512,0.19806278354278564
2025-04-22,228.71908031334866,232.6727218450888,228.1176544095649,232.27833557128906,10701400,0.0,0.0,JPM,14.920868,20.03,806048.5632,168235.008,,1.059,337.25,202.16,Financial Services,Banks - Diversified,JPMorgan Chase & Co.,0.028822256623097786,0.028414707843321393,0.46555406275614036,,230.60529098510742,,-31.125771513331635,0.19604855351467057,0.2843293181067598
