date,open,high,low,close,volume,dividends,stock_splits,ticker,pe_ratio,eps,market_cap_usd_m,revenue_ttm_usd_m,debt_to_equity,beta,52w_high,52w_low,sector,industry,long_name,daily_return,log_return,rolling_vol_30d,rolling_vol_60d,sma_20,sma_50,price_vs_52w_high_pct,close_norm,volume_norm
2025-03-04,380.487153157592,389.5974018138781,378.10539295987144,385.6575622558594,29342900,0.0,0.0,MSFT,25.61125,16.0,3045639.847936,305453.006848,31.539,1.108,555.45,344.79,Technology,Software - Infrastructure,Microsoft Corporation,,,,,,,-30.568446798837094,0.17978031962453883,0.19095215098610238
2025-03-05,386.3820118850688,398.61835249883035,385.85603973587394,397.9732666015625,23433100,0.0,0.0,MSFT,25.61125,16.0,3045639.847936,305453.006848,31.539,1.108,555.45,344.79,Technology,Software - Infrastructure,Microsoft Corporation,0.031934300143536154,0.03143500238120612,,,,,-28.351198739479255,0.24530369104660646,0.14290476213705108
2025-03-06,391.28447789138556,399.09468114787944,389.6966277473878,393.8746643066406,23304600,0.0,0.0,MSFT,25.61125,16.0,3045639.847936,305453.006848,31.539,1.108,555.45,344.79,Technology,Software - Infrastructure,Microsoft Corporation,-0.010298687471953394,-0.010352085892590259,,,,,-29.08908735140146,0.22349785412951598,0.14186004159369883
2025-03-07,389.3394000020522,391.80053909690844,382.61091150423107,390.3218688964844,22034100,0.0,0.0,MSFT,25.61125,16.0,3045639.847936,305453.006848,31.539,1.108,555.45,344.79,Technology,Software - Infrastructure,Microsoft Corporation,-0.009020116631290431,-0.00906104418340054,,,,,-29.72871205392306,0.20459587932468035,0.1315307229140955
2025-03-10,382.90859827837613,383.4643412864511,374.3540930979484,377.2717590332031,32840100,0.0,0.0,MSFT,25.61125,16.0,3045639.847936,305453.006848,31.539,1.108,555.45,344.79,Technology,Software - Infrastructure,Microsoft Corporation,-0.03343422673235408,-0.03400592960461345,,,,,-32.07817822788674,0.13516524249968218,0.21938481000720328
2025-03-11,376.1205440687611,383.0673615053873,374.04642649696916,377.5595397949219,30380200,0.0,0.0,MSFT,25.61125,16.0,3045639.847936,305453.006848,31.539,1.108,555.45,344.79,Technology,Software - Infrastructure,Microsoft Corporation,0.0007627943381085522,0.0007625035583681244,,,,,-32.02636784680496,0.13669632551441874,0.19938552545784777
2025-03-12,380.0405779726452,382.2933209136247,376.0709676751301,380.3581237792969,24253600,0.0,0.0,MSFT,25.61125,16.0,3045639.847936,305453.006848,31.539,1.108,555.45,344.79,Technology,Software - Infrastructure,Microsoft Corporation,0.0074122984308517825,0.00738496234587349,,,,,-31.52252699985654,0.15158566133450366,0.14957552638468155
2025-03-13,380.2489960755926,382.39258939479765,374.58238552740926,375.892333984375,20473000,0.0,0.0,MSFT,25.61125,16.0,3045639.847936,305453.006848,31.539,1.108,555.45,344.79,Technology,Software - Infrastructure,Microsoft Corporation,-0.011741013312793536,-0.01181048331043062,,,,,-32.32652192197768,0.12782627289744392,0.11883879108353373
2025-03-14,376.8946174814204,387.2652356448431,376.62667971124,385.60791015625,19952800,0.0,0.0,MSFT,25.61125,16.0,3045639.847936,305453.006848,31.539,1.108,555.45,344.79,Technology,Software - Infrastructure,Microsoft Corporation,0.025846699422922725,0.02551831981779818,,,,,-30.577385875191293,0.17951615503652438,0.11460950216017314
2025-03-17,383.7620820869245,389.7264008785539,382.6406623483486,385.74688720703125,22474300,0.0,0.0,MSFT,25.61125,16.0,3045639.847936,305453.006848,31.539,1.108,555.45,344.79,Technology,Software - Infrastructure,Microsoft Corporation,0.000360410269397482,0.0003603453372173529,,,,,-30.552365252132287,0.18025555610217764,0.13510960216066095
2025-03-18,384.1292790671939,384.4269877309022,378.2046343736099,380.6062316894531,19486900,0.0,0.0,MSFT,25.61125,16.0,3045639.847936,305453.006848,31.539,1.108,555.45,344.79,Technology,Software - Infrastructure,Microsoft Corporation,-0.013326499028413763,-0.013416093695738431,,,,,-31.477859089125378,0.15290567245961587,0.11082167880493726
2025-03-19,382.60095534567967,386.719419886704,381.0825806498319,384.8735656738281,19185500,0.0,0.0,MSFT,25.61125,16.0,3045639.847936,305453.006848,31.539,1.108,555.45,344.79,Technology,Software - Infrastructure,Microsoft Corporation,0.011211939345903366,0.011149551447065257,,,,,-30.709593001381208,0.17560921435957785,0.10837126034761145
2025-03-20,382.80932167745146,388.81337483302246,380.36802006472885,383.9009704589844,18470500,0.0,0.0,MSFT,25.61125,16.0,3045639.847936,305453.006848,31.539,1.108,555.45,344.79,Technology,Software - Infrastructure,Microsoft Corporation,-0.0025270512230189945,-0.0025302496064162376,,,,,-30.884693409130552,0.17043470580394116,0.10255822386125461
2025-03-21,380.3085198055768,388.76377892625936,379.8916973941909,388.2874450683594,39675900,0.0,0.0,MSFT,25.61125,16.0,3045639.847936,305453.006848,31.539,1.108,555.45,344.79,Technology,Software - Infrastructure,Microsoft Corporation,0.011426057621398034,0.011361273244653905,,,,,-30.09497793350268,0.19377211282474424,0.2749606908651587
2025-03-24,392.3959786933822,392.3959786933822,386.84845184017416,390.0935974121094,21004500,0.0,0.0,MSFT,25.61125,16.0,3045639.847936,305453.006848,31.539,1.108,555.45,344.79,Technology,Software - Infrastructure,Microsoft Corporation,0.0046515857432165575,0.004640800550818956,,,,,-29.769808729478918,0.20338140414438033,0.12315995037374167
2025-03-25,390.9272368910712,393.34867131877104,389.65696280253144,392.1578063964844,15775000,0.0,0.0,MSFT,25.61125,16.0,3045639.847936,305453.006848,31.539,1.108,555.45,344.79,Technology,Software - Infrastructure,Microsoft Corporation,0.005291573607126621,0.005277622425667818,,,,,-29.398180502928373,0.2143636369245267,0.0806434828137373
2025-03-26,391.99901639757354,392.30665877239477,385.61787512073846,387.0072326660156,16108400,0.0,0.0,MSFT,25.61125,16.0,3045639.847936,305453.006848,31.539,1.108,555.45,344.79,Technology,Software - Infrastructure,Microsoft Corporation,-0.013133931408371269,-0.013220944205326898,,,,,-30.32545995750912,0.18696098530955885,0.08335406514178118
2025-03-27,387.1660163642304,389.259971232933,384.4567464670721,387.6125793457031,13766800,0.0,0.0,MSFT,25.61125,16.0,3045639.847936,305453.006848,31.539,1.108,555.45,344.79,Technology,Software - Infrastructure,Microsoft Corporation,0.0015641740737437626,0.001562952027639864,,,,,-30.216476848374636,0.1901816176192422,0.06431657390198652
2025-03-28,385.1315521729189,386.1735929782764,374.06627026028934,375.92205810546875,21632000,0.0,0.0,MSFT,25.61125,16.0,3045639.847936,305453.006848,31.539,1.108,555.45,344.79,Technology,Software - Infrastructure,Microsoft Corporation,-0.030160324672558803,-0.030624504313062968,,,,,-32.32117056342268,0.12798441445167014,0.12826160127610378
2025-03-31,369.7096411618319,374.20522334023684,364.449889664545,372.5379943847656,35184700,0.0,0.0,MSFT,25.61125,16.0,3045639.847936,305453.006848,31.539,1.108,555.45,344.79,Technology,Software - Infrastructure,Microsoft Corporation,-0.009002035522357343,-0.009042798662691783,,,384.66316986083984,,-32.93041779012232,0.10998014462970603,0.23844669160987778
2025-04-01,371.80362246362756,379.9413357760227,370.3944277527412,379.2863464355469,19689500,0.0,0.0,MSFT,25.61125,16.0,3045639.847936,305453.006848,31.539,1.108,555.45,344.79,Technology,Software - Infrastructure,Microsoft Corporation,0.018114533691861334,0.017952420337894296,,,384.34460906982423,,-31.715483583482428,0.14588347305480612,0.11246884131142103
2025-04-02,375.0984230803946,382.1543912389325,373.75867347343586,379.23675537109375,16092600,0.0,0.0,MSFT,25.61125,16.0,3045639.847936,305453.006848,31.539,1.108,555.45,344.79,Technology,Software - Infrastructure,Microsoft Corporation,-0.00013074835126325457,-0.0001307568995740601,,,383.4077835083008,,-31.7244116714207,0.14561963319277568,0.08322560923061413
2025-04-03,371.9425583652147,374.61212363444304,366.54388609690864,370.2752990722656,30198000,0.0,0.0,MSFT,25.61125,16.0,3045639.847936,305453.006848,31.539,1.108,555.45,344.79,Technology,Software - Infrastructure,Microsoft Corporation,-0.023630241984480382,-0.02391391388900977,,,382.22781524658205,,-33.33778034525779,0.09794190294946988,0.19790421741894676
2025-04-04,361.36358655898334,371.74410993496775,356.7489202327306,357.1061706542969,49209900,0.0,0.0,MSFT,25.61125,16.0,3045639.847936,305453.006848,31.539,1.108,555.45,344.79,Technology,Software - Infrastructure,Microsoft Corporation,-0.03556577619669565,-0.036213646159083984,,,380.56703033447263,,-35.70867393027332,0.027878050455598675,0.35247326409722324
