date,open,high,low,close,volume,dividends,stock_splits,ticker,pe_ratio,eps,market_cap_usd_m,revenue_ttm_usd_m,debt_to_equity,beta,52w_high,52w_low,sector,industry,long_name,daily_return,log_return,rolling_vol_30d,rolling_vol_60d,sma_20,sma_50,price_vs_52w_high_pct,close_norm,volume_norm
2025-03-04,240.27999877929688,293.0400085449219,237.00999450683594,275.1499938964844,30130200,0.0,0.0,MSTR,,-15.23,48874.745856,477.232992,16.158,3.633,457.22,104.17,Technology,Software - Application,Strategy Inc,,,,,,,-39.82109402552724,0.4819580921864665,0.4397004962468646
2025-03-05,278.30999755859375,311.2799987792969,271.7699890136719,308.54998779296875,26199800,0.0,0.0,MSTR,,-15.23,48874.745856,477.232992,16.158,3.633,457.22,104.17,Technology,Software - Application,Strategy Inc,0.12138831414639228,0.11456748388123932,,,,,-32.51607808211173,0.5776847674788325,0.36629256712966857
2025-03-06,298.95001220703125,320.94000244140625,292.1700134277344,304.1099853515625,25309500,0.0,0.0,MSTR,,-15.23,48874.745856,477.232992,16.158,3.633,457.22,104.17,Technology,Software - Application,Strategy Inc,-0.014389896668495106,-0.014494435310307757,,,,,-33.48716474529494,0.56495941569215,0.34966446838830895
2025-03-07,298.1499938964844,310.44000244140625,281.44000244140625,287.17999267578125,22764500,0.0,0.0,MSTR,,-15.23,48874.745856,477.232992,16.158,3.633,457.22,104.17,Technology,Software - Application,Strategy Inc,-0.0556706240875634,-0.05728025853189639,,,,,-37.189975793757654,0.516436894502491,0.3021316016054716
2025-03-10,268.0,272.0,231.6199951171875,239.27000427246094,31478300,0.0,0.0,MSTR,,-15.23,48874.745856,477.232992,16.158,3.633,457.22,104.17,Technology,Software - Application,Strategy Inc,-0.15103092248383124,-0.1825165321004812,,,,,-47.66851750307053,0.37912357889651416,0.46487890792071257
2025-03-11,245.0,263.1000061035156,231.50999450683594,260.5899963378906,22076100,0.0,0.0,MSTR,,-15.23,48874.745856,477.232992,16.158,3.633,457.22,104.17,Technology,Software - Application,Strategy Inc,0.08910432433959525,0.08535563765409947,,,,,-43.005556113492275,0.4402281396939946,0.2892743813723458
2025-03-12,264.6000061035156,269.7699890136719,248.22000122070312,262.54998779296875,14328600,0.0,0.0,MSTR,,-15.23,48874.745856,477.232992,16.158,3.633,457.22,104.17,Technology,Software - Application,Strategy Inc,0.007521361075337296,0.007493216673828636,,,,,-42.576880321733796,0.44584560975035364,0.14457462286545678
2025-03-13,262.0,270.3999938964844,253.75999450683594,263.260009765625,13804700,0.0,0.0,MSTR,,-15.23,48874.745856,477.232992,16.158,3.633,457.22,104.17,Technology,Software - Application,Strategy Inc,0.002704330625283191,0.0027006805024960847,,,,,-42.421589220588565,0.4478805814643474,0.13478976278391316
2025-03-14,273.989990234375,298.70001220703125,272.6199951171875,297.489990234375,23714000,0.0,0.0,MSTR,,-15.23,48874.745856,477.232992,16.158,3.633,457.22,104.17,Technology,Software - Application,Strategy Inc,0.1300234718490827,0.12223840405638438,,,,,-34.935044347496834,0.54598605524831,0.3198653764621726
2025-03-17,292.1499938964844,296.80999755859375,281.6000061035156,294.2699890136719,12998700,0.0,0.0,MSTR,,-15.23,48874.745856,477.232992,16.158,3.633,457.22,104.17,Technology,Software - Application,Strategy Inc,-0.010823897698763796,-0.010882902238470795,,,,,-35.639300771254135,0.5367573107086975,0.11973613188923067
2025-03-18,283.20001220703125,290.989990234375,272.5,283.19000244140625,15398200,0.0,0.0,MSTR,,-15.23,48874.745856,477.232992,16.158,3.633,457.22,104.17,Technology,Software - Application,Strategy Inc,-0.03765245178213139,-0.03837961682740479,,,,,-38.062638895628744,0.5050013085928202,0.16455150078723393
2025-03-19,290.29998779296875,309.0799865722656,287.1199951171875,304.2300109863281,19378800,0.0,0.0,MSTR,,-15.23,48874.745856,477.232992,16.158,3.633,457.22,104.17,Technology,Software - Application,Strategy Inc,0.07429643830479216,0.07166597132117786,,,,,-33.4609135675762,0.5653034174007006,0.23889701336710129
2025-03-20,298.7900085449219,309.3999938964844,293.3999938964844,302.07000732421875,15058100,0.0,0.0,MSTR,,-15.23,48874.745856,477.232992,16.158,3.633,457.22,104.17,Technology,Software - Application,Strategy Inc,-0.007099903310349154,-0.0071252275615370265,,,,,-33.93333464760537,0.5591126986288978,0.15819946621244296
