date,open,high,low,close,volume,dividends,stock_splits,ticker,pe_ratio,eps,market_cap_usd_m,revenue_ttm_usd_m,debt_to_equity,beta,52w_high,52w_low,sector,industry,long_name,daily_return,log_return,rolling_vol_30d,rolling_vol_60d,sma_20,sma_50,price_vs_52w_high_pct,close_norm,volume_norm
2025-03-04,110.6197462594264,119.27737437091366,110.07989299750376,115.95828247070312,398163300,0.0,0.0,NVDA,37.588776,4.9,4476616.310784,215938.00704,7.255,2.375,212.19,86.62,Technology,Semiconductors,NVIDIA Corporation,,,,,,,-45.35167422088547,0.1921788675096415,0.6076744579456906
2025-03-05,117.54785129486386,118.24765683915241,114.47869104666965,117.26792907714844,284337900,0.0,0.0,NVDA,37.588776,4.9,4476616.310784,215938.00704,7.255,2.375,212.19,86.62,Technology,Semiconductors,NVIDIA Corporation,0.011294118699767708,0.011230816324945502,,,,,-44.734469542792574,0.20379584338055093,0.399732329685354
2025-03-06,113.49895407905146,115.31845609620828,110.18986163701831,110.53976440429688,321181900,0.0,0.0,NVDA,37.588776,4.9,4476616.310784,215938.00704,7.255,2.375,212.19,86.62,Technology,Semiconductors,NVIDIA Corporation,-0.057374294283181415,-0.059085993787739266,,,,,-47.90529035096051,0.1441149139791692,0.46704085461585143
2025-03-07,111.21957864470976,113.44897220636766,107.5305852358904,112.65918731689453,341755500,0.0,0.0,NVDA,37.588776,4.9,4476616.310784,215938.00704,7.255,2.375,212.19,86.62,Technology,Semiconductors,NVIDIA Corporation,0.019173398134321173,0.018991904763500322,,,,,-46.90645774216762,0.162914859487162,0.5046257712511267
2025-03-10,109.8699441866197,111.81940781621753,105.43115607331026,106.95074462890625,366487400,0.0,0.0,NVDA,37.588776,4.9,4476616.310784,215938.00704,7.255,2.375,212.19,86.62,Technology,Semiconductors,NVIDIA Corporation,-0.05067001479365574,-0.05199882194375943,,,,,-49.59670831381957,0.11227918369457297,0.5498072854116025
2025-03-11,106.960734969355,112.20929903890595,104.74134094243277,108.73025512695312,354865700,0.0,0.0,NVDA,37.588776,4.9,4476616.310784,215938.00704,7.255,2.375,212.19,86.62,Technology,Semiconductors,NVIDIA Corporation,0.01663859848962579,0.016501693527110502,,,,,-48.75806818089772,0.12806399954955439,0.5285761627271827
2025-03-12,114.09929300935045,116.7388133095112,112.85951254411586,115.718994140625,323857500,0.01,0.0,NVDA,37.588776,4.9,4476616.310784,215938.00704,7.255,2.375,212.19,86.62,Technology,Semiconductors,NVIDIA Corporation,0.06427593686331234,0.06229469645411482,,,,,-45.46444500653895,0.19005630502367987,0.4719287790894167
2025-03-13,117.00876245655117,117.73863334670654,113.76935252443205,115.55902862548828,299033100,0.0,0.0,NVDA,37.588776,4.9,4476616.310784,215938.00704,7.255,2.375,212.19,86.62,Technology,Semiconductors,NVIDIA Corporation,-0.0013823617836007385,-0.0013833181270945195,,,,,-45.53983287360937,0.18863736076774446,0.42657828114444224
2025-03-14,118.58847644066721,121.85787967708788,118.12856083227834,121.64791870117188,277593500,0.0,0.0,NVDA,37.588776,4.9,4476616.310784,215938.00704,7.255,2.375,212.19,86.62,Technology,Semiconductors,NVIDIA Corporation,0.05269073432087157,0.05134949041335229,,,,,-42.670286676482455,0.24264772412967933,0.387411310915914
2025-03-17,122.71772499646224,122.86769930249316,118.00858060635532,119.50830841064453,255501500,0.0,0.0,NVDA,37.588776,4.9,4476616.310784,215938.00704,7.255,2.375,212.19,86.62,Technology,Semiconductors,NVIDIA Corporation,-0.017588548274165672,-0.01774506477015367,,,,,-43.67863310681722,0.22366871025228677,0.34705250262244564
