date,open,high,low,close,volume,dividends,stock_splits,ticker,pe_ratio,eps,market_cap_usd_m,revenue_ttm_usd_m,debt_to_equity,beta,52w_high,52w_low,sector,industry,long_name,daily_return,log_return,rolling_vol_30d,rolling_vol_60d,sma_20,sma_50,price_vs_52w_high_pct,close_norm,volume_norm
2025-03-04,112.0,114.04000091552734,110.04000091552734,113.41000366210938,6554800,0.0,0.0,PDD,10.098803,10.02,143654.027264,418543.632384,2.727,0.047,139.41,87.11,Consumer Cyclical,Internet Retail,PDD Holdings Inc.,,,,,,,-18.650022478940265,0.5034150655234326,0.07884913594100341
2025-03-05,117.55999755859375,121.4000015258789,116.5999984741211,120.20999908447266,8997300,0.0,0.0,PDD,10.098803,10.02,143654.027264,418543.632384,2.727,0.047,139.41,87.11,Consumer Cyclical,Internet Retail,PDD Holdings Inc.,0.05995939690314267,0.058230602581971894,,,,,-13.772326888693309,0.640016000576266,0.12941734246217995
2025-03-06,121.9800033569336,124.38999938964844,118.87999725341797,119.81999969482422,7148300,0.0,0.0,PDD,10.098803,10.02,143654.027264,418543.632384,2.727,0.047,139.41,87.11,Consumer Cyclical,Internet Retail,PDD Holdings Inc.,-0.00324431738306874,-0.0032495915912694813,,,,,-14.052076827469891,0.6321815421704843,0.09113664078043772
2025-03-07,120.22000122070312,122.9800033569336,118.5,119.91999816894531,5717000,0.0,0.0,PDD,10.098803,10.02,143654.027264,418543.632384,2.727,0.047,139.41,87.11,Consumer Cyclical,Internet Retail,PDD Holdings Inc.,0.000834572478515927,0.0008342244165468101,,,,,-13.980347056204492,0.6341903501505418,0.06150377527633946
2025-03-10,118.05999755859375,118.19000244140625,113.33999633789062,115.62999725341797,7750100,0.0,0.0,PDD,10.098803,10.02,143654.027264,418543.632384,2.727,0.047,139.41,87.11,Consumer Cyclical,Internet Retail,PDD Holdings Inc.,-0.035773857413536,-0.03642942413769948,,,,,-17.057601855377683,0.5480111544247187,0.10359598435646393
2025-03-11,117.58999633789062,118.66000366210938,115.08999633789062,117.9800033569336,6494200,0.0,0.0,PDD,10.098803,10.02,143654.027264,418543.632384,2.727,0.047,139.41,87.11,Consumer Cyclical,Internet Retail,PDD Holdings Inc.,0.020323498740255852,0.020119732640666892,,,,,-15.371922131171653,0.5952189848983067,0.07759450612926
2025-03-12,117.7699966430664,119.43000030517578,117.01000213623047,117.86000061035156,5638500,0.0,0.0,PDD,10.098803,10.02,143654.027264,418543.632384,2.727,0.047,139.41,87.11,Consumer Cyclical,Internet Retail,PDD Holdings Inc.,-0.0010171447971482062,-0.0010176624399589522,,,,,-15.458001140268586,0.5928083233649027,0.05987855349050022
2025-03-13,117.13999938964844,120.22000122070312,116.9800033569336,118.76000213623047,5684300,0.0,0.0,PDD,10.098803,10.02,143654.027264,418543.632384,2.727,0.047,139.41,87.11,Consumer Cyclical,Internet Retail,PDD Holdings Inc.,0.007636191423876948,0.007607183294971014,,,,,-14.812422253618484,0.6108879017098701,0.06082677206109178
2025-03-14,123.30000305175781,123.83999633789062,121.9000015258789,122.54000091552734,7174500,0.0,0.0,PDD,10.098803,10.02,143654.027264,418543.632384,2.727,0.047,139.41,87.11,Consumer Cyclical,Internet Retail,PDD Holdings Inc.,0.03182888776779258,0.031332846885408244,,,,,-12.10099640231881,0.6868219774965075,0.09167907149112546
2025-03-17,123.0,130.00999450683594,122.87000274658203,128.89999389648438,10578100,0.0,0.0,PDD,10.098803,10.02,143654.027264,418543.632384,2.727,0.047,139.41,87.11,Consumer Cyclical,Internet Retail,PDD Holdings Inc.,0.05190136227713338,0.05059934782559852,,,,,-7.538918372796516,0.8145839735224181,0.16214537557115677
